ゆうげん	間違えた
23:15	あすか 11/19 8/11	なぎ自身も1回行ったことあるとこの方がいいやろし
23:15	ゆうげん	どこや

2024/03/05(火)
08:36	あすか 11/19 8/11	私が長年通ってたとこ
08:37	ゆうげん	とおい
08:37	ゆうげん	あと高い
08:37	あすか 11/19 8/11	遠くないでw
08:37	あすか 11/19 8/11	ドン・キホーテのよこ
08:38	ゆうげん	"ナギのカットなんて3000~4000円で済むやろ
それくらいの価格帯で"
08:38	ゆうげん	そこならいい
08:38	ゆうげん	スタバ超えたところやと思ってた
08:38	あすか 11/19 8/11	長年て言ったやんw
08:38	あすか 11/19 8/11	あそこは長年ちゃうw
08:39	ゆうげん	長年が定義ないからわからん
08:40	あすか 11/19 8/11	前一回連れていってるから伝わるかなって思ったんやけども。
08:45	ゆうげん	俺が連れていった訳でもないし行ったこともないからわからんて
08:50	あすか 11/19 8/11	"電話やと言った言わないになるから要件をトピック別に箇条書きで欲しいって言って


これどーいうことー？"
08:50	ゆうげん	そのままの文面を夫が言ってたって伝えて
08:56	ゆうげん	"電話だと伝え漏れ、聞いたのに忘れ、言ったか言ってないか不透明やから

まずどんな要件があって
例えば
補修について:
 ・壁の補修については～
 ・棚の補習については～
補修期間について:
 ・補習実施日は～
補修時の注意点について
 ・当日は以下のことを～

みたいに全部文面で"
08:56	ゆうげん	書かないと指示も認識も全部曖昧になる
10:33	ゆうげん	育休中のお金入ったから送った
10:33	ゆうげん	[写真]
19:31	あすか 11/19 8/11	今週か来週かどっち帰ってこーへんようにするかとか決めたー？
20:38	ゆうげん	今週なし
20:38	ゆうげん	来週再来週帰るでいきたい
20:38	ゆうげん	それが1番安かった
22:04	あすか 11/19 8/11	おけー

2024/03/06(水)
12:47	ゆうげん	ありがとう
12:47	ゆうげん	特に困り事ない?
23:28	あすか 11/19 8/11	べつに
23:28	あすか 11/19 8/11	ナギのこども園履いていく靴ってあるんやんな？
23:28	ゆうげん	まだない
23:29	ゆうげん	今週～来週に準備する
23:29	ゆうげん	15~15.5
23:30	あすか 11/19 8/11	"どんな靴の予定？
靴屋さんとか見に行ってサイズ測ってもらったりとかした方がいいかなとかも思ってるんやけど"
23:30	あすか 11/19 8/11	あと水筒ってあれ使わなあかんよな？
23:30	ゆうげん	"そんな要らんて
どうせすぐサイズアウトする"
23:30	ゆうげん	"水筒も一旦あれ使って
色違い待って"
23:30	あすか 11/19 8/11	？まだないんやろ
23:32	ゆうげん	靴まだない
23:32	ゆうげん	16cmは腐るほどある
23:33	あすか 11/19 8/11	まだないんなら靴屋さん見に行くのとパパが用意すんの何が違うん〜？？
23:33	ゆうげん	靴屋って?
23:33	あすか 11/19 8/11	わからんけどー
23:33	あすか 11/19 8/11	サイズも測ってもらえるやろ
23:37	ゆうげん	水筒はコップないと行かんの
23:38	あすか 11/19 8/11	靴どーする
23:38	あすか 11/19 8/11	水筒はコップないとあかんよ
23:38	ゆうげん	そんなに急ぎたいなら任せる
23:38	ゆうげん	靴
23:38	ゆうげん	コップのあの色在庫残ってる？
23:39	あすか 11/19 8/11	靴吐き慣らしといてあげたいからさ
23:39	あすか 11/19 8/11	コップあと2点？てなってる、Amazonでお気に入りしてるやつは
23:39	あすか 11/19 8/11	[写真]
23:39	あすか 11/19 8/11	[写真]
23:39	ゆうげん	とりあえず一旦あの水筒つかって
23:39	あすか 11/19 8/11	履き慣らす

2024/03/07(木)
22:21	あすか 11/19 8/11	"アフターフォローの人に連絡(伝言)したら

「お世話になります。
ご返信ありがとうございます。
先程、アイ工務店の担当の方へその旨をお伝えしました。
アイ工務店から、國松様に連絡すると返答いただいておりますので、また弊社に連絡あり次第、対応をさせていただければと思います。
お手数おかけいたしますが、よろしくお願いいたします。」

て返事来てた"
22:21	ゆうげん	それそのまま
22:22	あすか 11/19 8/11	靴って靴屋に見に行く場合なんの靴でもいいん？ブランドとかノーブランドとか
22:22	ゆうげん	松本さんに送って
22:22	ゆうげん	頑丈なやつがいいと思う
22:22	ゆうげん	ソール厚くて
22:23	あすか 11/19 8/11	松本さんに連絡いってるってことじゃないの？
22:23	ゆうげん	念の為確認
22:24	あすか 11/19 8/11	私的にはナギの足に馴染んでナギが自分で脱ぎ履きしやすいやつかなって思ってる、ブランドのものでもノーブランドのものでも
22:24	ゆうげん	"ニューバランスかナイキかな
ブランドだと"
22:24	あすか 11/19 8/11	私が確認したいのはブランドものやめてとかノーブランドやめてとかない？てこと
22:24	ゆうげん	馴染むは判別ムズいで
22:25	あすか 11/19 8/11	ニューバランスとかやと高いんかなーて、値段
22:26	あすか 11/19 8/11	多少はあるやん？プーマは細めとかニューバランスは履き心地良いとか、、ナギが嫌がらず履きやすいやつがいいなって
22:26	ゆうげん	ブランドでのラインによって全然ちゃうし
22:26	ゆうげん	そこははいてみないと
22:27	あすか 11/19 8/11	もちろん履いてみて決めるんやけど、ブランド物は高いからなしとかない？てことを聞きたい
22:30	ゆうげん	ものによるし
22:31	ゆうげん	16はいっぱいあるから
22:31	ゆうげん	16はかせて問題ないならそれはいてほしい
22:31	ゆうげん	メッセージありがとう
22:31	あすか 11/19 8/11	16どこにあんの
23:12	ゆうげん	玄関
23:46	ゆうげん	プチミグのサマールック
23:46	ゆうげん	どんなんあるよ

2024/03/08(金)
09:38	あすか 11/19 8/11	サマールックって？
09:41	ゆうげん	夏の新作
11:05	あすか 11/19 8/11	[写真]
11:05	あすか 11/19 8/11	[写真]
11:05	あすか 11/19 8/11	[写真]
11:35	ゆうげん	これいつからやっけ
11:35	ゆうげん	ノースリーブのやつ欲しいなぁ
11:37	ゆうげん	[写真]
11:37	ゆうげん	[写真]
12:12	あすか 11/19 8/11	今日のお昼12時からやったんちゃうかなー
12:13	あすか 11/19 8/11	[写真]
12:13	あすか 11/19 8/11	私はこれとノースリーブが気になってる
12:13	ゆうげん	うむ
12:24	ゆうげん	それも可愛い
12:24	ゆうげん	セットアップやっけ
13:25	ゆうげん	靴やけど
13:25	ゆうげん	ナギの
13:25	ゆうげん	ZOZOポイントで買ってもいい?
13:29	あすか 11/19 8/11	セットアップ
13:30	あすか 11/19 8/11	ナギの靴靴箱に15cmのもあったから履かせてみるあとで
13:30	ゆうげん	うい
17:53	ゆうげん	マスカラ次持ってくね
17:54	ゆうげん	一応汚れてもいい安めのニューバランスもセールであったから
17:54	ゆうげん	これも持ってく
17:54	ゆうげん	"15cm
black
装飾なし"

2024/03/09(土)
17:53	ゆうげん	ブルーノセットアップ
17:53	ゆうげん	買っていいよ
17:53	ゆうげん	まだクーポン使えるんやろ？

2024/03/10(日)
01:02	あすか 11/19 8/11	使えるー
01:21	ゆうげん	買っていいよ
09:29	あすか 11/19 8/11	ありがとう
09:29	あすか 11/19 8/11	"今月土日5回あるけど、
帰ってこーへんの今週だけ？"
09:29	ゆうげん	うん
09:29	ゆうげん	あとは基本帰るようにする
09:30	あすか 11/19 8/11	わかった
09:30	ゆうげん	問題ない?
09:45	あすか 11/19 8/11	"16日(土)23日(土)
予定はいると思う"
09:45	あすか 11/19 8/11	あとナギの美容室も土日で入れれたら入れる予定
09:46	ゆうげん	予定って
09:46	ゆうげん	どんなん?
09:47	あすか 11/19 8/11	"16日は短大の時の友だちが子ども連れて会いに来てくれる予定

23日はゆうかが来てくれる予定"
09:47	あすか 11/19 8/11	なぎの美容室は割とどこでも空いてるからいつ行こうか悩んでる
09:47	ゆうげん	俺は普通におったらいい?
09:49	あすか 11/19 8/11	普通におってもいいしちょいとナギと遊んでくるわーとかでもいい
09:49	ゆうげん	おけ
09:49	あすか 11/19 8/11	16日は天気も良さげやし暖かそうやし家の前とか屋上とかで遊ぶのも良さそうナギ
09:49	あすか 11/19 8/11	23日は天気微妙やわ
09:49	あすか 11/19 8/11	美容室はいつ入れてもいい？
09:50	ゆうげん	おけい
09:51	あすか 11/19 8/11	おけいは何に対しての返事？？
09:51	ゆうげん	これじゃ
09:57	あすか 11/19 8/11	これは？
12:31	ゆうげん	いつでいいで

2024/03/11(月)
14:00	ゆうげん	碧の児童手当入ったぽいから
14:00	ゆうげん	送る
22:20	あすか 11/19 8/11	お願いしときます
22:41	ゆうげん	あすか
22:41	ゆうげん	あすか
22:41	ゆうげん	うん

2024/03/12(火)
08:36	ゆうげん	これいいな
08:37	ゆうげん	スリコ
08:37	ゆうげん	[写真]
08:37	ゆうげん	[写真]
09:31	あすか 11/19 8/11	名前呼んだのどしたw
09:31	あすか 11/19 8/11	いらねぇww
09:45	ゆうげん	会いたかっただけだ
09:45	ゆうげん	これ絶対なぎハマるで
09:45	ゆうげん	男の子まじこういうの好き
09:58	あすか 11/19 8/11	"ほんまにいらんw
危ないし砂場遊び？のおもちゃもいっぱいあるしw"
10:01	ゆうげん	むぅ

2024/03/13(水)
11:07	ゆうげん	金曜日さ
11:08	ゆうげん	バスあまりに高いから
11:08	ゆうげん	13000円とか
11:08	ゆうげん	だから新幹線で帰ろうかな
11:08	ゆうげん	久々に
11:09	ゆうげん	新幹線は14700円
11:09	ゆうげん	ちなみに今月残業代89000
16:17	あすか 11/19 8/11	金曜日の夜に家着くって事？？
16:18	あすか 11/19 8/11	残業代そんなんなってたら残業減らせって言われそうw
16:18	ゆうげん	36時間残業で
16:19	ゆうげん	結構スレスレやったけど
16:19	ゆうげん	そんだけ頑張って結果出してるから
16:19	ゆうげん	今のとこ大丈夫
16:19	ゆうげん	金曜日の夜23:00くらいかな
16:19	ゆうげん	早くても22:00
16:26	あすか 11/19 8/11	金曜日新幹線で帰ってくるので決定？
16:26	ゆうげん	うん
16:27	ゆうげん	なんかあるの?
16:27	あすか 11/19 8/11	何もない、帰ってくる時間把握してたいだけー
16:27	あすか 11/19 8/11	"16日は友だち来てくれて
17日は朝からナギのカット
いれた"
16:28	ゆうげん	おけ
16:28	ゆうげん	ご飯あったら超嬉しい
16:28	あすか 11/19 8/11	おけー
16:40	ゆうげん	ありがとう
16:40	ゆうげん	肉じゃががいいなぁ
18:01	あすか 11/19 8/11	気が向いたらな
18:01	ゆうげん	作らんやつ
18:03	あすか 11/19 8/11	そういや
18:03	ゆうげん	ん?
18:03	あすか 11/19 8/11	"碧3/30やったかな？
100日迎える"
18:03	ゆうげん	ふむ
18:03	あすか 11/19 8/11	お食い初めの準備しとかな
18:03	ゆうげん	お食い初め容器あるで
18:03	ゆうげん	倉庫に
18:03	あすか 11/19 8/11	容器？どんな？
18:04	ゆうげん	1回の
18:04	ゆうげん	みあちゃんにあげるかぁ言うて置いてたやつ
18:04	あすか 11/19 8/11	セリアとかのシンプルなお皿にしよ思ってた
18:04	ゆうげん	１階
18:04	あすか 11/19 8/11	どんなんやったっけ
18:04	あすか 11/19 8/11	今あーりんちなんよな
18:04	ゆうげん	木製やったと思う
18:04	ゆうげん	ちょっと覚えてない
18:05	あすか 11/19 8/11	木製かー
18:05	ゆうげん	任せるけど基本あるもの使いたい

2024/03/14(木)
21:42	ゆうげん	あすか
21:42	ゆうげん	あすか
21:42	ゆうげん	うん
23:34	ゆうげん	やっぱり明日バスにする
23:34	ゆうげん	8000円の便があっts
23:52	あすか 11/19 8/11	あすかのあとのうんってなにw
23:52	あすか 11/19 8/11	あ、そーなん
23:52	ゆうげん	会いたいの略
23:53	ゆうげん	流石に6000円安いとね
23:54	あすか 11/19 8/11	おけ

2024/03/15(金)
09:15	ゆうげん	[写真]
09:15	ゆうげん	あおちゃんの
09:15	ゆうげん	児童手当
15:53	ゆうげん	あすか
15:53	ゆうげん	なぎと
15:53	ゆうげん	碧の
15:53	ゆうげん	写真くれちょ
17:08	あすか 11/19 8/11	[写真]
17:08	ゆうげん	すごい笑顔
17:08	ゆうげん	なぎ寝てるんか
17:09	あすか 11/19 8/11	ちゃうこれ朝
17:38	ゆうげん	あー朝ね
17:39	ゆうげん	明日は何時からお友達❓
17:39	ゆうげん	色々急がないと
19:12	あすか 11/19 8/11	13時

2024/03/17(日)
13:49	ゆうげん	ロフト
22:46	ゆうげん	なんかあったら言ってな
22:46	ゆうげん	あと
22:46	ゆうげん	構造はアレやけど
22:47	ゆうげん	極力あすかが
22:47	ゆうげん	過ごしやすいように
22:47	ゆうげん	家考えるから
22:47	ゆうげん	また意見くれ
22:47	ゆうげん	少しずつ
22:47	ゆうげん	変えていく

2024/03/18(月)
02:50	あすか 11/19 8/11	この家では叶わんかなきっと
09:29	ゆうげん	とりあえず
09:29	ゆうげん	できる可能な範囲で
09:38	ゆうげん	あと
09:38	ゆうげん	あおちゃんはさすがにプチミグ入らないよね
09:38	ゆうげん	小さいから
09:44	あすか 11/19 8/11	とりあえずせなあかんのはリビングのベビーサークル広げるのと、あとは寝室の環境を改善したいとは思ってるけど
09:45	あすか 11/19 8/11	でもやっぱ先のこと考えたり色んな視点からの心地良さを考えると色々諦められねーーってやっぱりずっと頭の中家のことでいっぱい
09:45	あすか 11/19 8/11	プチミグはsize80~やから1歳くらいからやなぁ
09:46	ゆうげん	とりあえずまずは希望を羅列して
09:46	ゆうげん	その中から実現可能なものから
09:46	ゆうげん	着手する
09:47	ゆうげん	だから希望すること
09:47	ゆうげん	全部書き出しtr
09:47	ゆうげん	て
09:47	ゆうげん	そっからや
09:47	ゆうげん	前の図面も
09:47	ゆうげん	まずはなぜそういう図面にしたかったかを
09:48	ゆうげん	言語化してくれたらあとはやる
16:39	ゆうげん	GoogleEarthめっちゃすごくなってた
18:07	あすか 11/19 8/11	GoogleEarthてなに
18:10	あすか 11/19 8/11	[動画]
18:10	あすか 11/19 8/11	[写真]
18:10	あすか 11/19 8/11	[写真]
18:10	あすか 11/19 8/11	[動画]
18:10	あすか 11/19 8/11	[写真]
18:10	あすか 11/19 8/11	[写真]
18:10	あすか 11/19 8/11	[写真]
18:13	ゆうげん	若干女の子みたいやな
18:13	ゆうげん	可愛いけど
18:14	あすか 11/19 8/11	可愛い似合ってる
18:23	ゆうげん	ナギは服いっぱいやな
18:30	あすか 11/19 8/11	[写真]
18:30	あすか 11/19 8/11	このブルマとかならアオもうちょいしたらいけんのかな
18:31	ゆうげん	ふむ
18:32	ゆうげん	これなぎ持ってたっけ
18:35	あすか 11/19 8/11	[写真]
18:35	あすか 11/19 8/11	持ってる
18:48	ゆうげん	さっきの写真
18:48	ゆうげん	ようみたら真ん中なぎやった
18:48	あすか 11/19 8/11	せやで
18:49	ゆうげん	なんかめっちゃ貢献してる気がする
18:49	あすか 11/19 8/11	なんか最近心からプチミグを応援してくれる、好きでいてくれるアンバサダーに出会えないらしくて
18:50	あすか 11/19 8/11	アンバサダー募集とめてんのよな
18:50	ゆうげん	なるほどね
18:51	あすか 11/19 8/11	チームプチミグの長年のファンはみんなまだ安定にプチミグ好きなんやし私もその一人なんやけどな
18:51	ゆうげん	"ファッション系はスピード早いし
ましてや対象年齢が低くてすぐ成長しちゃうからな"
18:52	ゆうげん	"プチミグも安くないし
中々難しいところ"
18:54	あすか 11/19 8/11	"プチミグは最近は特にsize幅広いしきょうだいでお揃いとかもしやすいし男の子の服もめっちゃかわいいしおすすめポイントはめっちゃあるんやけどなんせ値段はな……

でも海外子ども服(organic zooとか)毎回必死に買い求めてる人たちも一定数はおるからなぁ

私らがなんでプチミグ好きかとか、どうしたらまた根強いファンが増えるかとか、、そーいうのをママ会感覚でお話しよーってお誘いもらってる"
18:55	ゆうげん	"俺が見ても圧倒的に物は良いから
マーケティングとジャンル幅の増加かなぁ"
18:55	ゆうげん	結構アースカラーなカワイイ系に特化してるから
18:56	ゆうげん	"少しテイスト加えて
ブリティッシュスタイル
カジュアルなストリートスタイル
を入れる感じかな"
18:56	ゆうげん	"ブリティッシュ系は全然ないからいいと思うのよな

英国紳士スタイル"
19:01	ゆうげん	[写真]
19:01	ゆうげん	[写真]
19:01	ゆうげん	俺はこういうカチッとしたのを子供がきてるのめっちゃ好き
19:06	ゆうげん	"1、2品でもジャケットとか
少し黒色や紺色混ぜるだけでも購入層増えそう"
19:08	ゆうげん	グリーンと紺がいいかな
19:25	ゆうげん	[写真]
19:25	ゆうげん	売り切れてーら
20:32	あすか 11/19 8/11	ほんまや
20:58	ゆうげん	残念
20:58	ゆうげん	ブラウンのはあった
22:20	あすか 11/19 8/11	ブラウンの？
22:55	ゆうげん	そうそう
22:56	あすか 11/19 8/11	どれ？
22:56	ゆうげん	[写真]
22:58	ゆうげん	これや

2024/03/19(火)
08:09	あすか 11/19 8/11	あー、これか
08:09	あすか 11/19 8/11	これ可愛いよなぁ
08:10	あすか 11/19 8/11	でもナギに着せるにはサイズが……て感じやったんよな
08:10	ゆうげん	あお
08:10	あすか 11/19 8/11	わかってる
08:10	ゆうげん	これでデビューするか
08:10	あすか 11/19 8/11	せっかくならお揃いできるのがよかったなぁて
08:11	ゆうげん	うむ
08:11	あすか 11/19 8/11	だからうーんって感じ
08:11	ゆうげん	ワンサイズ上ならあるが
08:11	あすか 11/19 8/11	？
08:11	ゆうげん	ブルマやから行けそう感あるけどな
08:11	ゆうげん	2-3y
08:11	ゆうげん	はある
08:11	ゆうげん	お揃いの
08:14	あすか 11/19 8/11	2-3yて90くらいやろ？さすがにでかい、まだまだ着せれん
08:14	あすか 11/19 8/11	まだ碧はいいかなー
08:15	あすか 11/19 8/11	ブルマがベビーは着せやすいけどナギがもうブルマ卒業よなー
08:15	あすか 11/19 8/11	何でおそろいしよw
08:15	ゆうげん	ナギはな
08:16	あすか 11/19 8/11	悩むな
08:17	ゆうげん	シャツとか
08:17	ゆうげん	アイテム違いの素材一緒とか
08:20	あすか 11/19 8/11	とりあえずまだやな
20:05	ゆうげん	おけ
20:05	ゆうげん	たこ焼き食いたいなぁ
23:09	ゆうげん	あすか
23:09	ゆうげん	[スタンプ]

2024/03/22(金)
16:22	ゆうげん	☎ 通話時間 0:51
16:43	あすか 11/19 8/11	まだあと診察室に呼ばれて先生と話すのが残ってる
16:44	あすか 11/19 8/11	ミルクは17:20以降です
16:45	ゆうげん	17:20超えそう?
16:45	ゆうげん	一旦今寝た
16:45	あすか 11/19 8/11	わからんー
17:16	ゆうげん	☎ 通話をキャンセルしました
17:18	あすか 11/19 8/11	☎ 通話時間 0:27

2024/03/23(土)
17:19	ゆうげん	☎ 通話時間 5:01
17:19	ゆうげん	うめしゅは
17:19	あすか 11/19 8/11	梅酒飲めるんやって
17:20	ゆうげん	意外とリキュール系って
17:20	ゆうげん	置いてないねんな
17:20	あすか 11/19 8/11	せやなぁ
17:20	ゆうげん	梅酒にするわ
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	[写真]
22:10	あすか 11/19 8/11	この中のどれか。。。

2024/03/24(日)
10:48	ゆうげん	ナギ車におるって
11:01	ゆうげん	まだ?
11:02	あすか 11/19 8/11	もうすぐ
11:06	ゆうげん	"長すぎや
ダイソーでなんで20分～30分もかかるねん"
11:07	ゆうげん	あとから来た客がほとんど帰ってるぞ
11:07	ゆうげん	ナギが喚いてる
11:07	ゆうげん	はよしてくれ
16:11	あすか 11/19 8/11	まだかかるー
16:11	ゆうげん	どこいってるん
16:18	あすか 11/19 8/11	アリオ
16:18	あすか 11/19 8/11	[写真]
16:18	あすか 11/19 8/11	離れへん
16:19	ゆうげん	なるはやで
16:27	ゆうげん	次ミルク何時
16:38	あすか 11/19 8/11	17時以降
16:38	ゆうげん	うい
16:47	あすか 11/19 8/11	出ようとしてるけど混んでるわ
16:47	あすか 11/19 8/11	[写真]
16:48	ゆうげん	ふむ

2024/03/25(月)
08:52	ゆうげん	保育園の
08:52	ゆうげん	入園で
08:52	ゆうげん	お祝い金が会社から出るから
08:52	ゆうげん	在園証明書
08:52	ゆうげん	あったらpdfでほしいな
09:43	あすか 11/19 8/11	市からそういう通知きてたはずやけど置いてるはずのところにその封筒なかった
09:43	あすか 11/19 8/11	私が持ってる証明的なのはこれしかない
09:43	あすか 11/19 8/11	[写真]
09:43	あすか 11/19 8/11	[写真]
10:24	ゆうげん	封筒知らんで
10:24	ゆうげん	探して欲しい
10:24	ゆうげん	在園証明やで?
10:24	ゆうげん	無くしたらあかんやろ
14:05	あすか 11/19 8/11	"あるとしたら私は確実に
パントリーの引き出しに入れてるから"
14:05	ゆうげん	貰ってないってことか
14:05	あすか 11/19 8/11	もうあちこち探したけどそれらしきものはない
14:05	ゆうげん	俺はパントリーは絆創膏触ったくらいやから
14:05	ゆうげん	ほかはわからんな
14:05	ゆうげん	一応5月まであるから
14:06	ゆうげん	入園後でもいいから
14:06	ゆうげん	園の方に聞きたいな
14:06	ゆうげん	たぶん今後何個か使うものやから
14:09	あすか 11/19 8/11	今同じ園に入園してる子のママと話してるけどさっき送ったやつくらいやと思うって言ってる
14:09	あすか 11/19 8/11	これ
14:09	あすか 11/19 8/11	これで証明にならん？
14:10	ゆうげん	"これは園に通える権利の証明で
園に通ってる証明にはならんと思う"
14:16	ゆうげん	うーむ
14:16	ゆうげん	通ったら貰えるんかな
14:16	ゆうげん	入園式の時聞いてみるわ
15:55	ゆうげん	入園式の日
15:55	ゆうげん	おうちでごはん?
16:15	あすか 11/19 8/11	入園式の日のことはなんも決めてない
16:15	あすか 11/19 8/11	けど外食混みそうやし家でいいんじゃない
16:16	ゆうげん	まあナギも外食喜ぶにはまだ早いもんな
16:16	あすか 11/19 8/11	[写真]
16:16	あすか 11/19 8/11	[写真]
16:16	あすか 11/19 8/11	うん
16:16	ゆうげん	いいよ
16:16	あすか 11/19 8/11	これそろそろ頼んどかないと間に合わん
16:16	ゆうげん	頼んでいいよ
16:16	あすか 11/19 8/11	ほんで結局家族だけでするんか誰か呼ぶんかどーする
16:17	ゆうげん	今月手取り40万あった(通勤費込)
16:17	ゆうげん	あー
16:17	ゆうげん	聞いてみる母に
16:17	ゆうげん	いつやっけ
16:19	あすか 11/19 8/11	通勤費？
16:20	ゆうげん	定期代ね
16:21	あすか 11/19 8/11	3/30
16:21	あすか 11/19 8/11	100日ちょうど
16:28	ゆうげん	母に聞けばいいよな
16:32	あすか 11/19 8/11	そうやなぁ、一応
16:32	あすか 11/19 8/11	うちも一応母に声かけてみる
17:10	ゆうげん	今聞いてる
17:10	ゆうげん	土曜やんね
17:23	あすか 11/19 8/11	そう
17:25	あすか 11/19 8/11	ウチも来れるかまだわからんし無理に予定あけて貰えんでも大丈夫ってこと伝えてて！なにか先約あったらそっち優先してもらってな
17:26	ゆうげん	おけ
18:53	ゆうげん	[写真]
19:00	ゆうげん	厳しそうやった
19:00	ゆうげん	残念
20:06	あすか 11/19 8/11	了解です！
20:07	ゆうげん	時間聞かれてる
20:07	ゆうげん	[写真]
20:11	あすか 11/19 8/11	午前中やと思ってる！10時くらいかなぁ？
20:12	あすか 11/19 8/11	10時とか10時半とかからスタート？かなぁ
20:12	ゆうげん	おけい
20:13	ゆうげん	つたえておく
20:25	あすか 11/19 8/11	[写真]
20:26	あすか 11/19 8/11	30日仏滅で31日大安なんやけど30日でいいかなー？
20:26	あすか 11/19 8/11	31日は昼からまつ毛パーマとカットカラーあるけど
20:26	ゆうげん	うーん
20:26	ゆうげん	バタバタしそう
20:26	あすか 11/19 8/11	気にせんでいいか……仏滅……
20:28	ゆうげん	バタバタしやんなら
20:29	ゆうげん	31でも
20:29	ゆうげん	OK
21:00	あすか 11/19 8/11	まぁバタバタはするやろなぁ
21:01	ゆうげん	せっかくやし31にするか
21:01	ゆうげん	一生に一回やし
21:01	ゆうげん	ただタイミングズレたら終わるけど
21:02	ゆうげん	あおの
21:02	あすか 11/19 8/11	ミルクとか？ってこと？
21:03	ゆうげん	そう
21:06	あすか 11/19 8/11	最近は6~7時頃朝イチのミルク飲んでるから
21:06	あすか 11/19 8/11	10時頃スタートはできると思う
21:12	ゆうげん	任せるで
21:12	ゆうげん	サポートする
21:20	あすか 11/19 8/11	"31にするかなぁ、、
大安の方がいいよなーきっと"
22:23	ゆうげん	うむ
22:24	ゆうげん	おけいやで
22:31	あすか 11/19 8/11	31で母に連絡入れてみとく
22:52	ゆうげん	おれも
22:52	ゆうげん	言っとくね
23:30	ゆうげん	[写真]

2024/03/27(水)
01:05	ゆうげん	なんか知らんけど13万入ったから
01:05	ゆうげん	10万送った
08:04	あすか 11/19 8/11	"了解ですありがとう

うちの母はまだ未定"
08:04	あすか 11/19 8/11	なんか知らんけどてナニ？？？
08:06	ゆうげん	まじでわからん
08:06	あすか 11/19 8/11	どっから振り込まれてんの？
08:07	ゆうげん	会社
08:08	あすか 11/19 8/11	出産一時金の余りとかかな
08:08	ゆうげん	なんかな
08:08	あすか 11/19 8/11	ちょうどそれくらい余ってた気すんねんなぁ
08:08	ゆうげん	たぶんそれかも
08:09	あすか 11/19 8/11	出産一時金が50万で確か37万やったから出産入院にかかった費用
09:51	ゆうげん	これに加えて育児休暇時の給料も入るから
09:51	ゆうげん	あれ
09:51	ゆうげん	育休取った方が稼げる?
22:14	ゆうげん	あすか
22:14	ゆうげん	会いたい

2024/03/28(木)
18:21	あすか 11/19 8/11	お食い初めの料理届いた

