ゆうげん	なぎちゃんいるだけで幸せ度500%
11:27	ゆうげん	チクッとするくらいですよーって言われたけど
11:27	ゆうげん	普通に痛かった
11:28	あすか 11/19 8/11	パパ
11:28	あすか 11/19 8/11	お疲れ様
11:28	あすか 11/19 8/11	そりゃ痛いよね
11:28	あすか 11/19 8/11	無事に抜糸はできたんやね
11:29	あすか 11/19 8/11	がんばったーーー（ ;  ; ）
11:29	ゆうげん	220円やった
11:29	ゆうげん	これで頭は終わり
11:29	ゆうげん	あとは体調やね
11:30	あすか 11/19 8/11	うん、体調心配
11:30	ゆうげん	マフラーとダウンやから
11:30	ゆうげん	それなりに今は暖かい
11:31	あすか 11/19 8/11	どんな感じ？体調
11:31	あすか 11/19 8/11	"マシ？病院まで行って帰るのも
しんどいよね"
11:31	あすか 11/19 8/11	気をつけて帰ってね
11:31	ゆうげん	全然まし
11:31	ゆうげん	ただおうち帰ってからも温まらないと
11:31	あすか 11/19 8/11	今日も一日無理せずね
11:31	あすか 11/19 8/11	そだよ
11:32	あすか 11/19 8/11	寒いと風邪ひくしまた悪化しちゃう
11:35	ゆうげん	昨日のおじや
11:35	ゆうげん	鍋に入れっぱで
11:35	ゆうげん	すなんかすごい塊になってた
12:22	ゆうげん	お家ついて
12:22	ゆうげん	あったまってるよ
12:30	あすか 11/19 8/11	おじやちゃんと捨てた？
12:30	あすか 11/19 8/11	お風呂かな？
12:30	あすか 11/19 8/11	しっかりあったまってね
12:30	あすか 11/19 8/11	ママとなぎはスーパー行ってきたよ
12:30	ゆうげん	捨てたよ
12:31	ゆうげん	いやお布団
12:31	ゆうげん	スーパーいったんね
12:32	ゆうげん	どこのスーパー?
12:35	あすか 11/19 8/11	お布団か
12:35	あすか 11/19 8/11	お仕事も最低限で無理せずね
12:35	あすか 11/19 8/11	お昼やけど何か食べたん？
12:35	あすか 11/19 8/11	デイリーカナートよ〜
12:36	あすか 11/19 8/11	久々に梛と二人で買い物行った
12:36	あすか 11/19 8/11	生理1日目で🩸多いしなかなかに疲れた
12:37	ゆうげん	卵かけご飯食べた
12:37	ゆうげん	お疲れ様
12:38	あすか 11/19 8/11	卵かけご飯大丈夫？
12:38	ゆうげん	ん?
12:38	あすか 11/19 8/11	卵昨日までって言ってなかった？
12:38	ゆうげん	大丈夫
12:38	ゆうげん	さっき買ってきた
12:38	あすか 11/19 8/11	そうなんやね
12:38	あすか 11/19 8/11	それならよかったけど
12:38	ゆうげん	気をつけるよ
12:38	あすか 11/19 8/11	生物は尚怖いからね
12:39	あすか 11/19 8/11	気をつけよ
12:39	あすか 11/19 8/11	🚽こもって休憩中
12:39	ゆうげん	よしよし
12:39	ゆうげん	無理せずね
12:39	あすか 11/19 8/11	そろそろ出て梛にご飯食べさせないとーーー
12:40	あすか 11/19 8/11	生理って来なかったら不安になるけど来たらきたでしんどってなる。笑
12:41	ゆうげん	"まあ
体がしっかり機能しているって言うことやし"
12:41	ゆうげん	頑張るしかない
12:55	あすか 11/19 8/11	そだね
12:59	あすか 11/19 8/11	今日午前はお休み取ってたの？
13:03	ゆうげん	そそ
13:04	あすか 11/19 8/11	そかそか
13:04	あすか 11/19 8/11	じゃあ今からお仕事やね
13:04	あすか 11/19 8/11	無理せずファイト
13:05	あすか 11/19 8/11	(emoji)
13:41	あすか 11/19 8/11	大丈夫？
13:41	あすか 11/19 8/11	なぎ寝たよ
13:41	ゆうげん	頑張るよ
13:41	ゆうげん	大丈夫だよ
13:42	ゆうげん	あと15万送ったよ
13:42	ゆうげん	今貯金いくらやろ
13:43	あすか 11/19 8/11	"うん，無理はしない程度に
頑張ろう〜"
13:43	あすか 11/19 8/11	ありがと
13:43	あすか 11/19 8/11	今は127万
13:43	ゆうげん	15プラスで127?
13:43	あすか 11/19 8/11	うん、そだよ
13:44	ゆうげん	"おけ
思ったより増えてへんな"
13:44	ゆうげん	頑張らないと
13:45	あすか 11/19 8/11	"今月は私もちまちまメルカリ
頑張って食費くらい賄える
ようにするね"
13:45	ゆうげん	俺も毎月10位は
13:45	ゆうげん	遅れるようにするね
13:46	あすか 11/19 8/11	"無理はしちゃいけないけど
お互い頑張ろうね"
13:50	ゆうげん	[スタンプ]
14:04	あすか 11/19 8/11	[スタンプ]
14:04	ゆうげん	[スタンプ]
14:04	あすか 11/19 8/11	[スタンプ]
14:05	あすか 11/19 8/11	てしたい
14:29	ゆうげん	されたい
14:29	ゆうげん	電車待ちの時もやたらイチャイチャしてたよね
14:29	ゆうげん	バカップル
14:29	ゆうげん	でも結婚したんだから
14:29	ゆうげん	おそどりふーふ
14:30	ゆうげん	おし
14:30	あすか 11/19 8/11	"いや、ほんまに、
信号待ちでもイチャイチャ"
14:30	あすか 11/19 8/11	"他人からみれば
ちょっとうっとうしい
バカップルよね"
14:31	あすか 11/19 8/11	"二人の世界に入ってたから
周りの目気にしてなかったけど"
14:32	ゆうげん	"でもええねん
なぎちゃんも合わせて今度は幸せ家族"
14:33	あすか 11/19 8/11	ね
14:33	あすか 11/19 8/11	仲良し
14:33	あすか 11/19 8/11	[スタンプ]
14:34	ゆうげん	[スタンプ]
14:37	あすか 11/19 8/11	夫婦って実感する？？
15:08	ゆうげん	一応する
15:10	あすか 11/19 8/11	そうなんだね
15:10	あすか 11/19 8/11	夫婦
15:10	あすか 11/19 8/11	[スタンプ]
15:16	ゆうげん	まあ
15:16	ゆうげん	マイホーム持ってからが本番
15:30	あすか 11/19 8/11	来週結婚して2年だね
15:30	ゆうげん	"ね
はや2年"
15:30	ゆうげん	怒涛の2年
16:16	あすか 11/19 8/11	だね
16:16	あすか 11/19 8/11	平和とは言えない2年だった
16:17	あすか 11/19 8/11	"生理中お腹ゆるなること
多いけど今回それがひどめ"
16:19	ゆうげん	おトイレこもり中?
16:24	あすか 11/19 8/11	ううん
16:24	あすか 11/19 8/11	久々にあーりんちきた
16:24	あすか 11/19 8/11	1人で時間潰せないぃぃ
16:24	ゆうげん	なぎちゃん預けてるの?
16:25	あすか 11/19 8/11	"預けてるというか
普通に一緒におるよ"
16:25	あすか 11/19 8/11	なぎはヒナとかと遊んでる
16:25	あすか 11/19 8/11	なんか、生理中お腹ゆるくなるの私だけかと思ってたけど調べたらよくあることらしい
16:26	ゆうげん	"ままもなんかゲームしたらええのに
コツコツやるやつ"
16:26	ゆうげん	気が紛れるで
16:26	ゆうげん	それか本読も
16:26	あすか 11/19 8/11	"🩸出るだけで嫌やのに
生理痛やらお腹ゆるなるやら
やめて欲しいよね"
16:26	あすか 11/19 8/11	うん、なんかするー
16:28	あすか 11/19 8/11	"生理って女の人みんなあるし
なんてない事って思われるけど
なかなかに辛いw"
16:28	あすか 11/19 8/11	独り言の愚痴やからスルーしてね
16:28	あすか 11/19 8/11	（笑）
16:29	あすか 11/19 8/11	"生理前もイライラするけど
生理中も何かと不調で
余裕なくなる"
16:29	あすか 11/19 8/11	はァァァァァ
16:29	あすか 11/19 8/11	よし
16:29	あすか 11/19 8/11	スッキリ
16:29	ゆうげん	"さけぼ
それか歌お"
16:30	あすか 11/19 8/11	パパが居てくれて
16:30	あすか 11/19 8/11	[スタンプ]
16:30	あすか 11/19 8/11	てしてくれたら
16:30	あすか 11/19 8/11	一発
16:31	あすか 11/19 8/11	一緒に居たい一緒に居てあげたい
16:31	あすか 11/19 8/11	て気持ち
16:34	あすか 11/19 8/11	なんか別に何も無い
16:34	あすか 11/19 8/11	こともないけど
16:34	あすか 11/19 8/11	イライラしてる
16:35	あすか 11/19 8/11	あぁー
16:35	あすか 11/19 8/11	ゆー君大丈夫？
16:35	あすか 11/19 8/11	無理してない？
16:35	ゆうげん	大丈夫よ
16:36	ゆうげん	ママの方が心配
16:36	あすか 11/19 8/11	よかった
16:36	あすか 11/19 8/11	もうこれはどうしようもないよね
16:36	あすか 11/19 8/11	月に1度乗り越えるしかないやつ
16:39	ゆうげん	よしよし
16:39	ゆうげん	そばにいてあげたかった
16:41	あすか 11/19 8/11	こっちこそよ
16:41	あすか 11/19 8/11	そばにいてあげたかった
16:43	あすか 11/19 8/11	パパ
16:43	あすか 11/19 8/11	今年の抱負は
16:43	あすか 11/19 8/11	？
16:45	ゆうげん	"後悔のない家を建てる
笑顔で来年を迎えられる"
16:45	ゆうげん	"やりたいことは家族でお出かけ
動物園
ハーベスト
旅行"
16:47	あすか 11/19 8/11	いいね
16:48	あすか 11/19 8/11	"家族でやりたいこと
いっぱいだなぁぁ"
16:48	あすか 11/19 8/11	"またコロナ増えてきたけど
今年は過ごしやすい一年に
なってほしい"
16:49	あすか 11/19 8/11	[動画]
16:49	あすか 11/19 8/11	[写真]
16:49	あすか 11/19 8/11	またイチゴもらってる
16:57	ゆうげん	またええの買ってもらって
16:59	あすか 11/19 8/11	"じぃが買ってきてたのを
2個ほどもらってた"
16:59	あすか 11/19 8/11	いちご大好きマン
17:16	ゆうげん	いちごは確かに美味しい
17:16	ゆうげん	俺も大好き
17:17	あすか 11/19 8/11	 いちご狩りいつか行きたい
17:17	あすか 11/19 8/11	私もいちご好き
17:17	あすか 11/19 8/11	"コロナ
東京151
大阪124"
17:17	あすか 11/19 8/11	だって
17:18	ゆうげん	増えたなぁ
17:18	ゆうげん	１－２週間後が怖い
17:18	ゆうげん	年末年始が乗ってくるから
17:18	ゆうげん	てか沖縄何してるん
17:18	あすか 11/19 8/11	"ここから勢いよく
増えていくやろな"
17:18	あすか 11/19 8/11	沖縄やばい
17:20	あすか 11/19 8/11	米軍基地？とかのせいやっけ？
17:22	ゆうげん	"いや
米軍基地もあるけど"
17:22	ゆうげん	そもそもマスクせんし飲み歩くしで
17:22	ゆうげん	やばい
17:23	あすか 11/19 8/11	そうなのか
17:23	ゆうげん	ろくでもないでほんま
17:23	あすか 11/19 8/11	1月2月はまたやばそうやね
17:23	あすか 11/19 8/11	コロナ
17:24	あすか 11/19 8/11	そりゃ増えるね、、
17:48	ゆうげん	ね
17:48	ゆうげん	気をつけないと
18:17	あすか 11/19 8/11	ホンマに気をつけよ
18:17	あすか 11/19 8/11	"コロナも怖いけど
そばにいられないのが怖い"
18:28	あすか 11/19 8/11	"こっちは誰かしらおるけど
ゆー君一人やから"
18:28	あすか 11/19 8/11	それが怖すぎる
18:28	あすか 11/19 8/11	大丈夫？
18:28	あすか 11/19 8/11	もうお仕事おわってるんかな
18:28	ゆうげん	まだやで
18:28	あすか 11/19 8/11	まだなんやね
18:28	ゆうげん	45までやで
18:29	あすか 11/19 8/11	あ、そうなんやね
18:29	あすか 11/19 8/11	"今日午後からやったから
おうちやけど18:45おわりか"
18:31	あすか 11/19 8/11	木金テレワークやった？
18:32	ゆうげん	そそ
18:33	あすか 11/19 8/11	木金テレワークからの3連休やね
18:35	ゆうげん	月曜日休みなんか
18:35	ゆうげん	んー
18:35	ゆうげん	暇
18:35	あすか 11/19 8/11	成人の日だ
18:36	ゆうげん	あーなるほ
18:36	あすか 11/19 8/11	これでまたコロナやばそ
18:36	あすか 11/19 8/11	成人の日やで
18:36	あすか 11/19 8/11	やばそ
18:36	ゆうげん	一切外出んわ
18:37	あすか 11/19 8/11	"絶対やばいよね〜
若い子らとかコロナ恐れて
なさそうやし"
18:37	あすか 11/19 8/11	コワコワコワ
18:41	あすか 11/19 8/11	[写真]
18:41	あすか 11/19 8/11	"こういう写真なかなか
ないよね"
18:42	あすか 11/19 8/11	ほっこり
18:47	ゆうげん	ちょっと残業
18:47	ゆうげん	19:00くらいから
18:47	ゆうげん	通話しよ
18:47	ゆうげん	パパ禿げてる
19:04	あすか 11/19 8/11	お疲れ様
19:04	あすか 11/19 8/11	禿げてないよ
19:07	ゆうげん	お疲れ様
19:16	ゆうげん	ごはんちゅ?
19:28	あすか 11/19 8/11	ご飯準備してた
19:28	あすか 11/19 8/11	今からご飯よ〜
19:28	あすか 11/19 8/11	パパは？
19:31	ゆうげん	パパもよー
19:31	あすか 11/19 8/11	電話繋げられそ？
19:31	ゆうげん	ええで
20:34	あすか 11/19 8/11	☎ 通話時間 1:02:08
20:34	あすか 11/19 8/11	"なんか食べた？
食べれそうなもの食べるんよ〜"
20:35	ゆうげん	おけー
20:35	あすか 11/19 8/11	なぎ寝たら言うね〜
20:36	ゆうげん	あーい
21:19	あすか 11/19 8/11	お風呂出て
21:19	あすか 11/19 8/11	ナギのことするよ
21:19	ゆうげん	おけけ
21:20	あすか 11/19 8/11	[写真]
21:20	あすか 11/19 8/11	[写真]
21:20	あすか 11/19 8/11	お調子者
21:21	ゆうげん	ギリ(･∪･)うつってない
21:21	ゆうげん	イタズラボーイやね
21:31	あすか 11/19 8/11	ギリだね（笑）
21:31	あすか 11/19 8/11	いたずらっ子そうな感じがかわい
21:32	あすか 11/19 8/11	"今から自分のことして
なぎ寝かせるよ"
21:33	ゆうげん	おけけ
21:36	あすか 11/19 8/11	パパはお風呂入った？
21:54	ゆうげん	まだよー
22:07	あすか 11/19 8/11	なぎ寝たよ
22:11	ゆうげん	お疲れ様
22:11	ゆうげん	今日は遅かったね
22:12	あすか 11/19 8/11	お疲れ様
22:12	あすか 11/19 8/11	遅かった
22:12	あすか 11/19 8/11	お風呂が遅めやったから
22:12	ゆうげん	そういう日もあるさ
22:14	あすか 11/19 8/11	だね！
22:14	あすか 11/19 8/11	パパなんか食べた？
22:14	ゆうげん	パンにチーズとケチャップ乗せて食べた
22:15	ゆうげん	あとブロッコリとゆで卵
22:15	ゆうげん	健康志向
22:15	あすか 11/19 8/11	買い物行ったの？
22:15	あすか 11/19 8/11	しっかり食べたね
22:15	あすか 11/19 8/11	大事
22:15	ゆうげん	"ううん
病院の帰りに買ってた"
22:15	あすか 11/19 8/11	あ、なるほど
22:16	あすか 11/19 8/11	しっかり食べてえらい
22:16	あすか 11/19 8/11	[スタンプ]
22:17	あすか 11/19 8/11	寒すぎて布団出るの嫌すぎるけど洗い物してくるよ
22:28	ゆうげん	がんばれ
22:28	ゆうげん	寒いと動けないよね
22:32	あすか 11/19 8/11	うん、寒いと動けない
22:32	あすか 11/19 8/11	終わらせたよーー
22:38	あすか 11/19 8/11	布団戻ってきた
22:42	ゆうげん	おかえり
22:42	ゆうげん	お疲れ様やで
22:45	あすか 11/19 8/11	パパも一日お疲れ様
22:45	あすか 11/19 8/11	今日は体調どうだった？
22:45	ゆうげん	今はもうかなり良くなってる
22:45	あすか 11/19 8/11	"明日は出社かな？
絶対無理しないでね"
22:45	ゆうげん	無理しないで
22:46	あすか 11/19 8/11	そして気をつけてね
22:48	あすか 11/19 8/11	出社ひさびさ？
22:48	ゆうげん	めっちゃ
22:49	ゆうげん	2週間ぶりぐらい
22:50	あすか 11/19 8/11	そんなにか
22:51	あすか 11/19 8/11	気をつけてね
22:51	あすか 11/19 8/11	ゆー君お風呂は？
22:54	ゆうげん	まだじゃ
22:56	あすか 11/19 8/11	電話やめてた方がいい？
23:01	ゆうげん	いいよー
23:01	ゆうげん	24:00まで
23:11	ゆうげん	https://www.google.co.jp/amp/s/kakakumag.com/amp/seikatsu-kaden/%3fid=10056

2022/01/05(水)
08:11	あすか 11/19 8/11	☎ 通話時間 9:09:25
08:39	あすか 11/19 8/11	"朝まで電話繋がってて
おはようできたの嬉しかった"
08:40	あすか 11/19 8/11	"お仕事無理せず
気をつけて行ってきてね"
08:47	ゆうげん	これからそうしよう
08:48	ゆうげん	もちろん!
08:54	あすか 11/19 8/11	それは幸せだな
08:54	あすか 11/19 8/11	"もう家出てる時間よね？
間に合ってる？
急いで怪我とかないようにね"
09:05	ゆうげん	もう電車よー
09:05	ゆうげん	大丈夫よー
09:08	あすか 11/19 8/11	それならよかったよー
09:09	あすか 11/19 8/11	[写真]
09:10	あすか 11/19 8/11	"パン食べてるよーて
写真撮ろうとしたら
こんなポーズしてきた"
09:10	ゆうげん	あざとー
09:11	あすか 11/19 8/11	あざとさがしっかり可愛いから腹立つ
09:11	あすか 11/19 8/11	（笑）
09:11	ゆうげん	かわい
09:13	あすか 11/19 8/11	そういえば昨日の夜も寝室入る時「ぱぁー」て言ってた
09:13	あすか 11/19 8/11	寝室にパパおると思ってるんかな
09:22	ゆうげん	んー
09:22	ゆうげん	かえりた
09:36	あすか 11/19 8/11	"お決まりの言葉みたいに
寝室上がったら「ぱぁー」て"
09:36	あすか 11/19 8/11	何故か夜だけ（笑）
09:42	ゆうげん	ちゃんとパパ認識してて嬉し
09:55	あすか 11/19 8/11	"ビデオ通話でもちゃんと
パパ見たら「ぱぁー」
て言うもんね"
09:55	あすか 11/19 8/11	可愛い
12:07	ゆうげん	何事もなく健康に育ってほしいね
13:13	あすか 11/19 8/11	健康が1番よね
13:13	あすか 11/19 8/11	ほんとに
13:13	あすか 11/19 8/11	"ナギのお年玉子ども用口座に
貯金してきたよ"
15:42	ゆうげん	今いくらくらいやった?
15:42	ゆうげん	なぎ貯金
15:42	ゆうげん	あと江戸川江東区の子ども手当どうなってんのか
15:42	ゆうげん	聞いて欲しいかも
15:42	ゆうげん	電話で
15:47	あすか 11/19 8/11	23万！
15:47	あすか 11/19 8/11	どこに何て聞くの？？
15:50	ゆうげん	なぎちゃん金もやん
15:50	ゆうげん	パパより持ってる
15:50	ゆうげん	いうてまだパパの口座に35あるけど
15:50	ゆうげん	江東区の市役所かな
15:51	ゆうげん	いつから貰ってなくて
15:51	ゆうげん	"いつ分から貰えるのか

いつ分が貰えないのか聞いて欲しい"
15:56	あすか 11/19 8/11	江東区のどこ？ここかな？
15:56	あすか 11/19 8/11	[写真]
15:58	あすか 11/19 8/11	"児童手当やんな？？
書類はきっと届いてるけど
いつから入るのかと
入らない分はどれだけかって
聞いたらいいんかな？？"
16:00	ゆうげん	そそ
16:00	ゆうげん	そこでいいと思う
16:12	あすか 11/19 8/11	確認できたよ
16:13	あすか 11/19 8/11	"手続きは完了してて
12月に亀戸来てるから
1月分から入るけど
その1月分が2月に入る"
16:13	あすか 11/19 8/11	て言ってた
16:18	ゆうげん	11月分は?
16:19	あすか 11/19 8/11	"なしかな？
いつから入るのかと
入らない分あるのかって
確認したいって言ったら
12月に亀戸来てるから
1月分から入ることになって
それが2月に入るって
言ってた"
16:20	あすか 11/19 8/11	"次入るのは？て質問には
2月って言ってた"
16:20	あすか 11/19 8/11	入らない分あるのかっていう質問には
16:20	あすか 11/19 8/11	"12月に亀戸来てるから
1月分から入ることになって
それが2月に入るって
言ってた"
16:20	ゆうげん	ピンポイントで11月分聞いて欲しい
16:32	あすか 11/19 8/11	[写真]
16:32	あすか 11/19 8/11	これが支払時期で
16:33	あすか 11/19 8/11	江東区からは1月分からって
16:33	あすか 11/19 8/11	それ以前のは
16:33	ゆうげん	子ども手当2種類あったと思うんやけど
16:33	あすか 11/19 8/11	江戸川区からやって
16:33	ゆうげん	4ヶ月に1回と
16:33	ゆうげん	2ヶ月or一ヶ月に一回の
16:38	あすか 11/19 8/11	"江戸川区に住んでた時
乳児養育手当(0歳児)って
言うのが月に1度入ってたはず"
16:38	あすか 11/19 8/11	今は児童手当だけだよ
16:38	ゆうげん	なるほど
16:38	ゆうげん	おけけ
16:38	あすか 11/19 8/11	解決できた？？？
16:38	ゆうげん	うん
16:38	ゆうげん	ありがとう
16:38	あすか 11/19 8/11	よかった
16:39	あすか 11/19 8/11	"ううん！残りのお仕事も
無理せずファイトです"
16:50	あすか 11/19 8/11	"今日は大阪200人越えで
東京390人で
沖縄623人だってコロナ"
17:03	ゆうげん	おきなわぁ
17:39	あすか 11/19 8/11	"沖縄もやばいけど大阪も東京も
勢いすごいね"
18:45	あすか 11/19 8/11	パパ
18:45	あすか 11/19 8/11	帰りも気をつけてね
18:47	ゆうげん	ありがとう
18:47	ゆうげん	もうちょい残って
18:47	ゆうげん	やるおーーー
18:47	ゆうげん	なぎちゃんとママちゃん
18:47	ゆうげん	写真ちょーだい
19:00	あすか 11/19 8/11	もうちょい残るのね
19:00	あすか 11/19 8/11	残業お疲れ様です
19:00	あすか 11/19 8/11	[写真]
19:00	あすか 11/19 8/11	"今日まつげパーマの日で
ママすっぴんごめんね"
19:09	ゆうげん	かわゆ
19:18	ゆうげん	じゃがりこ食いおったな
19:18	ゆうげん	まつげパーマは
19:18	ゆうげん	お店でやるの??
19:19	あすか 11/19 8/11	じゃがりこ亮介（笑）
19:19	あすか 11/19 8/11	うん、ハイツの一室？て感じ
19:20	あすか 11/19 8/11	[写真]
19:20	ゆうげん	あ
19:20	ゆうげん	伸びてる
19:20	あすか 11/19 8/11	分かりにくいけど綺麗に上げてもらったよ
19:20	ゆうげん	眉毛も綺麗
19:20	ゆうげん	かわい
19:21	あすか 11/19 8/11	"眉毛は何もしてないけど
そのまつげパーマやってる
とこでなんか眉毛の
お手入れ？なんやろ、、
宣伝してて気になったけど
ちゃんとみてない"
19:21	ゆうげん	ムダ毛抜くくらいでいいと思うで
19:21	ゆうげん	ママは若干太眉の方が落ち着きあって可愛い
19:22	あすか 11/19 8/11	ハリウッドブロウリフトてやつまつげパーマのとこでやってるねんて
19:22	あすか 11/19 8/11	ハリウッドブロウリフトてなんや
19:22	あすか 11/19 8/11	眉毛また自分で整えとくね
19:22	ゆうげん	誰やそれ
19:22	あすか 11/19 8/11	誰やそれっておもしろい（笑）
19:22	あすか 11/19 8/11	パパ松本さんに早速回答ありがとう！！
19:27	ゆうげん	いぇいいぇいうぉううぉう
19:29	あすか 11/19 8/11	急に歌う（笑）
19:29	あすか 11/19 8/11	まだ会社？
19:30	ゆうげん	もう電車よー
19:30	あすか 11/19 8/11	そかそか
19:30	あすか 11/19 8/11	今日も一日お疲れ様！
19:30	ゆうげん	マツエクいくらくらいやけ
19:30	ゆうげん	いえいえー
19:30	あすか 11/19 8/11	まつげパーマね
19:30	ゆうげん	ママもお疲れ様ねー
19:30	あすか 11/19 8/11	4200
19:31	ゆうげん	お手ごろ😌
19:31	あすか 11/19 8/11	"お手ごろなのかな？
1ヶ月半~2ヶ月に1回"
19:31	あすか 11/19 8/11	まつげパーマめっちゃいいよ
19:31	ゆうげん	"1日200えん
やすいやすい"
19:32	あすか 11/19 8/11	"綺麗に上がるし
ビューラーでまつ毛上げるの
面倒やしまつげ傷むし"
19:32	あすか 11/19 8/11	まつげパーマ良き
19:32	あすか 11/19 8/11	パパ気をつけて帰ってね
19:32	ゆうげん	もちろん
19:32	あすか 11/19 8/11	明日明後日はテレワークやんね
19:37	ゆうげん	そやで
19:37	ゆうげん	電話しながら仕事しよかな
19:44	あすか 11/19 8/11	ん？明日？？
19:44	あすか 11/19 8/11	"あーー。
おかえりーて言いた"
19:45	あすか 11/19 8/11	[スタンプ]
19:45	あすか 11/19 8/11	スタンプ間違えた
19:51	ゆうげん	ぽろぽろ
19:51	ゆうげん	ただいまー
19:51	あすか 11/19 8/11	おうち着いたのね
19:51	あすか 11/19 8/11	おかえり
19:52	あすか 11/19 8/11	"気をつけて帰ってねじゃなくて
気をつけて帰ってきてねって言いたくなった"
19:52	あすか 11/19 8/11	[スタンプ]
19:52	あすか 11/19 8/11	[スタンプ]
19:59	ゆうげん	こわっ
19:59	ゆうげん	ネギ怖
19:59	ゆうげん	あ
19:59	ゆうげん	まだ着いてないよ
19:59	ゆうげん	もうちょい
19:59	あすか 11/19 8/11	ネギ怖いでしょ
19:59	あすか 11/19 8/11	あ、そうなんやね
19:59	あすか 11/19 8/11	気をつけて〜
20:00	ゆうげん	おけけー
20:12	あすか 11/19 8/11	[写真]
20:12	あすか 11/19 8/11	お風呂入ってくるね〜
20:12	あすか 11/19 8/11	お家ついたら教えてね〜
20:13	ゆうげん	ついたおー
20:13	ゆうげん	あらかわい
20:58	あすか 11/19 8/11	パパおかえり〜
20:58	あすか 11/19 8/11	お風呂上がってナギのこと終わったよ
20:58	あすか 11/19 8/11	今から自分のことするよ
20:58	あすか 11/19 8/11	パパ何してる？
21:00	ゆうげん	今日は早いね
21:00	ゆうげん	お疲れ様
21:00	ゆうげん	今洗濯回して
21:00	ゆうげん	皿洗ってた
21:20	あすか 11/19 8/11	家事もお疲れ様
21:20	あすか 11/19 8/11	今上がってきたよ
21:20	あすか 11/19 8/11	寝かせるよ〜
21:22	あすか 11/19 8/11	パパ〜ていうの動画撮ろうと思ってたのに忘れててめっちゃわざとらしくなった
21:23	あすか 11/19 8/11	[動画]
21:23	あすか 11/19 8/11	[動画]
21:25	ゆうげん	くぁい
21:25	ゆうげん	でもなんか奇声聞こえるで
21:29	ゆうげん	誰やこのイルカみたいな声
21:34	ゆうげん	ナギは最高に可愛い
21:34	ゆうげん	"ママとナギは俺の最高の宝
イッチャン大事な存在"
