/19 8/11	今思いつくのはこれくらい
2022/09/06(火)
05:51	ゆうげん	[写真]
05:51	ゆうげん	おはよう
05:52	ゆうげん	これ瑞江のすぐ近く行ったことある公園や
06:09	ゆうげん	お水はお店でまとめ買いした方がいいね
06:09	ゆうげん	ガラガラ使って買ったらいいよ
10:18	あすか 11/19 8/11	こういうのも心痛むね…
10:19	あすか 11/19 8/11	母子共に辛かったやろうな
10:19	あすか 11/19 8/11	"ガラガラ使う方がしんどいから
普通に箱買いします"
11:05	ゆうげん	わかった
11:05	ゆうげん	重いから気をつけてね
11:13	あすか 11/19 8/11	うん、気をつける
19:27	ゆうげん	そろそろ帰る
19:27	ゆうげん	今日お昼も食べれてない
19:27	ゆうげん	やばい倒れる
19:28	あすか 11/19 8/11	ブラックやんお昼食べる時間ないとか
19:28	あすか 11/19 8/11	夜ご飯高くなってもちゃんと食べて
19:32	あすか 11/19 8/11	大丈夫？
19:33	あすか 11/19 8/11	帰り道にひとまず何かつまむでもいいからちゃんと何か口に入れて
19:35	ゆうげん	もう事務所最後の一人やし
19:35	ゆうげん	しんどい
19:35	あすか 11/19 8/11	しんどいってどゆこと
19:36	ゆうげん	ぼーっとする
19:36	あすか 11/19 8/11	体調悪いの？
19:36	あすか 11/19 8/11	早くなんか食べて
19:36	あすか 11/19 8/11	もうホンマにそういうの無理
19:36	ゆうげん	とりあえずチョコ食ってる
19:37	あすか 11/19 8/11	同じチームの人なんでおらんの
19:38	ゆうげん	今日は向こうテレワーク
19:39	あすか 11/19 8/11	まだ出られへんの？とりあえずなんか食べな
19:45	あすか 11/19 8/11	まだ事務所？
19:45	ゆうげん	20:00くらいやと思う
19:45	ゆうげん	出るの
19:47	あすか 11/19 8/11	そか
19:47	あすか 11/19 8/11	水分と糖分だけでもとって
19:47	あすか 11/19 8/11	今日の晩はしっかり食べや
19:47	あすか 11/19 8/11	ほんとに
19:56	あすか 11/19 8/11	明日は何時静岡入り？
19:57	ゆうげん	明日はお昼から
19:57	あすか 11/19 8/11	午前は家で仕事プラス移動？
19:57	ゆうげん	ほぼ移動やね
19:57	あすか 11/19 8/11	そか、気をつけてね
19:57	ゆうげん	遅く出れるから
19:57	ゆうげん	ちょっとゆっくろねる
19:57	あすか 11/19 8/11	しっかり食べてゆっくり寝てね
20:52	あすか 11/19 8/11	会社出てる？
20:52	あすか 11/19 8/11	家ついてる？
20:52	あすか 11/19 8/11	どこいてる？
20:52	ゆうげん	結局まだ事務所
20:52	ゆうげん	今から帰る
20:53	あすか 11/19 8/11	晩ご飯ちゃんと食べてな
20:54	あすか 11/19 8/11	なんでまだ事務所？
20:54	あすか 11/19 8/11	そろそろ帰るって言ってから
20:54	あすか 11/19 8/11	1時間半も…
20:55	ゆうげん	禿げる
20:55	あすか 11/19 8/11	なんでなん？
20:55	あすか 11/19 8/11	今日終わらせとかなアカンこと残ってたん？？
20:55	ゆうげん	今日一応本番導入して
20:55	あすか 11/19 8/11	そろそろ帰るから1時間半の時差はびびる
20:55	ゆうげん	明日
20:56	ゆうげん	静岡で動作テストするから
20:59	ゆうげん	俺もビビってる
20:59	あすか 11/19 8/11	今週乗り切れば少しは落ち着くこと祈ってる
21:08	あすか 11/19 8/11	事務所出れた？
21:08	ゆうげん	締め作業中
21:10	ゆうげん	出た
21:42	あすか 11/19 8/11	お疲れ様です
21:43	あすか 11/19 8/11	気をつけて帰ってね
21:43	あすか 11/19 8/11	そしてちゃんと食べるんよ
21:46	ゆうげん	疲れた
21:46	ゆうげん	とりあえずお風呂入る
21:47	ゆうげん	家ついたら
22:11	ゆうげん	着いたからお風呂

2022/09/07(水)
07:38	ゆうげん	おはようあすか
07:39	ゆうげん	頑張ります
07:52	あすか 11/19 8/11	おはよう
07:52	あすか 11/19 8/11	昨日寝ちゃってた
07:52	あすか 11/19 8/11	無理せずね
08:52	ゆうげん	ありがとう
08:52	ゆうげん	今移動中
09:18	あすか 11/19 8/11	気をつけてね
10:16	ゆうげん	お水買えた?
10:41	ゆうげん	あとまた幼稚園でバスやらかしたね
10:57	ゆうげん	[写真]
10:57	ゆうげん	"節約の甲斐あって
こっちのカードは激安"
11:41	あすか 11/19 8/11	お水今日買う予定
11:41	あすか 11/19 8/11	幼稚園バスね…静岡ね
11:41	あすか 11/19 8/11	そのカードって何に使ってるん？
11:47	ゆうげん	Amazonと
11:48	ゆうげん	携帯、光熱費など引き落とし
11:50	ゆうげん	小さい子無くなるのは心が痛むからやめて欲しい
11:50	あすか 11/19 8/11	光熱費は家賃込みで引かれてるから水道代とか？
11:51	ゆうげん	いやそれも混みやから
11:51	あすか 11/19 8/11	水道も込？
11:51	ゆうげん	家賃系全部込み
11:51	ゆうげん	9000円やしね
11:51	あすか 11/19 8/11	込なのか
11:52	あすか 11/19 8/11	その9000円はお給料入る時に抜かれてるんじゃなくてそのカードから引き落としなん？
11:52	ゆうげん	"お給料に込で入ってて
後で引き落としやったはず"
11:52	あすか 11/19 8/11	それな！子どもを持つ親になると余計に心痛む
11:53	あすか 11/19 8/11	なるほどね
11:53	あすか 11/19 8/11	節約も必要やけど食事はしっかりとってね。
11:54	ゆうげん	逆にそれ以外は俺は使わんようにする
11:55	あすか 11/19 8/11	必要最低限の消耗品はちゃんと使いなよ
11:57	あすか 11/19 8/11	あとはたまにの息抜きは必須ね！スタバ飲むとか
11:57	あすか 11/19 8/11	お酒とかもね、変に我慢しないこと
11:57	あすか 11/19 8/11	スタバ飲んだ？
11:57	あすか 11/19 8/11	早く飲みたいなー
11:57	あすか 11/19 8/11	月見も始まったなマクド
12:01	ゆうげん	スタバは飲んでないよ
12:01	ゆうげん	一緒に飲むつもりやから
12:01	ゆうげん	月見好きやっけ?
12:01	あすか 11/19 8/11	いつ飲めるかな
12:02	あすか 11/19 8/11	月見今日からかな？多分
12:02	あすか 11/19 8/11	好きではない別に
12:02	あすか 11/19 8/11	月見パイは好き
12:09	ゆうげん	月見パイなんてあるのか
12:09	あすか 11/19 8/11	うん、あんことお餅入ったパイ
12:12	ゆうげん	お持ちいいね
12:13	ゆうげん	あと3ヶ月で
12:13	ゆうげん	もう今年終わりか
12:13	ゆうげん	最近怒涛の忙しい年で
12:13	ゆうげん	休まらない
12:55	あすか 11/19 8/11	今年乗り越えたら落ち着かんかなぁ色々
12:55	あすか 11/19 8/11	なんか疲れた色々
12:57	あすか 11/19 8/11	そしてさっき怒って飛びかかってくるナギにこしょこしょして遊んでたら口にナギの頭当たって下唇の裏ちょっと血出たのと絶対歯歪んだ
13:43	ゆうげん	そんなに?
13:43	ゆうげん	歪んだ?
13:43	ゆうげん	大丈夫?
16:35	あすか 11/19 8/11	"そんな他人からみたら
気にならんかもやけど"
18:40	ゆうげん	いたい?
18:40	ゆうげん	いわかん?
19:05	あすか 11/19 8/11	"歯って毎日見るからわかるけど、
若干歪んでる"
19:05	あすか 11/19 8/11	もともとの歯並びがこんなんなんやろなーて他人は思うと思う
19:06	ゆうげん	歪むほどなんか
19:06	ゆうげん	ナギのコケた時より衝撃凄そう
19:07	あすか 11/19 8/11	自分的にはめっちゃ気になる
19:07	あすか 11/19 8/11	[写真]
19:07	あすか 11/19 8/11	[写真]
19:07	あすか 11/19 8/11	今日は豪華
19:10	ゆうげん	髪の毛よ
19:11	あすか 11/19 8/11	[写真]
19:11	あすか 11/19 8/11	[写真]
19:11	あすか 11/19 8/11	[写真]
19:11	あすか 11/19 8/11	[写真]
19:11	あすか 11/19 8/11	今日は午前も午後も公園
19:12	ゆうげん	ご飯めっちゃごうか
19:12	ゆうげん	いいなぁ
19:12	ゆうげん	暑かった?
19:13	あすか 11/19 8/11	今日は久々にハンバーグ
19:13	あすか 11/19 8/11	私の分1個とナギの分4つ冷凍した
19:13	あすか 11/19 8/11	ゆーくんもしっかり食べてね
19:14	あすか 11/19 8/11	夕方は暑くなかった！
19:14	あすか 11/19 8/11	午前中は暑かったけど湿気がなかった
19:46	ゆうげん	涼しくなればいいのになぁ
19:46	ゆうげん	ハンバーグいいね
19:46	ゆうげん	俺まだ静岡の事務所
19:46	ゆうげん	なぎスープもちゃんと飲むの?
19:57	あすか 11/19 8/11	うん、はやく涼しくなってほし
19:58	あすか 11/19 8/11	"まだ事務所かー、、
明日帰れそう？"
19:58	あすか 11/19 8/11	ナギなー、スープ系飲まんのよ
19:58	あすか 11/19 8/11	シチューとかも
20:04	ゆうげん	"俺と同じ
スープ系"
20:04	ゆうげん	今が好きやけどな
20:15	ゆうげん	今は
20:15	ゆうげん	今日は別にそこまで頭使ってないから
20:16	ゆうげん	しんどくない
20:16	ゆうげん	ビーフシチューくいて
20:51	あすか 11/19 8/11	そうなの、スープ系好きになってほしー
20:51	あすか 11/19 8/11	明日は帰り遅くなるん？
20:51	あすか 11/19 8/11	ビーフシチューいいねー
21:30	あすか 11/19 8/11	まだ事務所？？
21:30	あすか 11/19 8/11	大丈夫？？
21:31	ゆうげん	今ホテル向かってる
21:33	あすか 11/19 8/11	今日も遅かったね、、
21:33	あすか 11/19 8/11	晩なに食べるん？
21:40	ゆうげん	晩は
21:40	ゆうげん	コンビニかなぁ
22:15	あすか 11/19 8/11	なぎ寝ました
22:15	あすか 11/19 8/11	晩ご飯食べた？
22:16	ゆうげん	まだよー
22:16	ゆうげん	新幹線カード無くした
22:16	あすか 11/19 8/11	どゆこと？
22:16	あすか 11/19 8/11	新幹線カードって？
22:19	ゆうげん	会社貸与の新幹線乗るカード
22:19	ゆうげん	ふぁっくゆー
22:19	あすか 11/19 8/11	あらま…
22:19	ゆうげん	いま色々電話してる
22:19	ゆうげん	はぁ
22:20	あすか 11/19 8/11	そうなんか…
22:21	あすか 11/19 8/11	見つかるかな
22:22	あすか 11/19 8/11	何はともあれ晩ご飯しっかり食べて睡眠時間も確保してね、、
22:24	ゆうげん	とりあえず今やれること全部やったので
22:24	ゆうげん	ご飯買いに行かないと
22:25	あすか 11/19 8/11	まだ買えてもなかったんか
22:25	あすか 11/19 8/11	しっかり食べるんよ
22:26	あすか 11/19 8/11	[写真]
22:26	あすか 11/19 8/11	ナギは30分ほどゴロゴロゴロゴロ寝付けない様子でやっと寝付いたのがここでした
22:27	ゆうげん	せっかく大浴場あるのに
22:28	ゆうげん	ナギもよく動くよな
22:28	ゆうげん	寝る時
22:30	あすか 11/19 8/11	大浴場あるんか
22:31	あすか 11/19 8/11	うん、今朝も横におらんくて一瞬探したら今日寝付いたところで寝てた
22:32	ゆうげん	夜なぎどっか行きそうで怖いな
22:32	ゆうげん	家たったらドア近いし
22:33	あすか 11/19 8/11	今のところ私が一緒じゃなきゃ行動せんけどこれからわかんないよね
22:34	あすか 11/19 8/11	[写真]
22:34	あすか 11/19 8/11	[写真]
22:34	あすか 11/19 8/11	[写真]
22:34	あすか 11/19 8/11	そういえばこういうの届いた
22:34	ゆうげん	なぎとあすか?
22:35	あすか 11/19 8/11	うん、私となぎの分でトータル6000円分のクーポン券
22:35	ゆうげん	ええやん
22:35	ゆうげん	まとめ買いに使おう
22:36	あすか 11/19 8/11	うん、確かキリン堂使えたから水とかオムツも安かったら買っとこ
22:36	あすか 11/19 8/11	生理用品も買い足しとかなあかんのよな
22:37	ゆうげん	"園児熱中症の会見
炎上しまくってんな"
22:37	ゆうげん	必需品に使っとき
22:37	あすか 11/19 8/11	会見見てないわ。。
22:37	あすか 11/19 8/11	うん、そうする
22:37	ゆうげん	見たら心沈むからやめとき
22:39	あすか 11/19 8/11	チラチラその会見についてのコメントは見かけるけど
22:40	あすか 11/19 8/11	保育士の立場も大変さも分かった上でもこりゃないなって思ってしまうね…
22:41	ゆうげん	もう預けられんよな
23:09	あすか 11/19 8/11	預けるところの見極め大事やなってめっちゃ思うね
23:10	ゆうげん	"俺にはわからんわ
何を基準にみたらいいか"
23:10	ゆうげん	なんか今回のホテル
23:10	あすか 11/19 8/11	どこもかしこもあんな園なわけじゃない
23:10	ゆうげん	泊まると特典で
23:10	ゆうげん	お酒2本貰えた
23:11	あすか 11/19 8/11	そなのね
23:11	あすか 11/19 8/11	そんな特典あるのすご
23:12	ゆうげん	"今週か来週か
会いたいなぁ"
23:12	あすか 11/19 8/11	預けてみなわからん部分も多いけどなぁ、、就職してみなわからんみたいに
23:13	あすか 11/19 8/11	[写真]
23:13	あすか 11/19 8/11	このどこかは会いたいよねー
23:13	ゆうげん	祝日やっけ
23:15	あすか 11/19 8/11	"そう、19日の週
19(月)敬老の日
23(金)秋分の日"
23:16	あすか 11/19 8/11	[写真]
23:16	あすか 11/19 8/11	[写真]
23:16	あすか 11/19 8/11	[写真]
23:16	あすか 11/19 8/11	めっちゃ高いけどめっちゃ可愛い
23:16	ゆうげん	たっけえな
23:16	あすか 11/19 8/11	めーっちゃ高い
23:17	ゆうげん	あんまりその値段にあってなさそうな生地感
23:18	ゆうげん	[写真]
23:18	ゆうげん	いやたっけえな
23:19	ゆうげん	https://petitmig.shop/collections/boys
23:20	ゆうげん	すごいライトブラウン多いな
23:25	あすか 11/19 8/11	うん、ここの服はまじ高い
23:33	ゆうげん	サロペットは可愛いね
23:36	ゆうげん	2人に会いたい
23:38	あすか 11/19 8/11	可愛いよねー、あのブラウスとサロペットの組み合わせ
23:42	ゆうげん	サロペットだけ買おうかな
23:48	あすか 11/19 8/11	それだけならいいや( ˇωˇ )
23:51	ゆうげん	ブラウスもか
23:52	ゆうげん	10000

2022/09/08(木)
00:02	あすか 11/19 8/11	諦めましょう。。お高い
00:05	ゆうげん	いつか買おう
00:05	ゆうげん	[スタンプ]
00:05	あすか 11/19 8/11	"もう無くなりそやから
諦めましょ"
00:06	あすか 11/19 8/11	[スタンプ]
00:06	ゆうげん	残念
00:06	ゆうげん	ナギのにっと
00:06	ゆうげん	つくってや
00:06	あすか 11/19 8/11	それは厳しい
00:07	ゆうげん	ムズいんか
00:08	あすか 11/19 8/11	作ったことないからムズいかどうかもわからん
00:29	ゆうげん	俺にもなんか
00:29	ゆうげん	作ってちょ
00:32	あすか 11/19 8/11	ゆー君に？(笑)
00:32	ゆうげん	そうそう
00:34	あすか 11/19 8/11	少しずつしか時間作られへんくて出来上がるまで時間かかるから
00:34	あすか 11/19 8/11	あんまり大きいものはなーて思うし
00:34	あすか 11/19 8/11	何作ろ
00:35	ゆうげん	hj腹巻
00:35	あすか 11/19 8/11	腹巻？笑
07:07	ゆうげん	おはようー
07:07	ゆうげん	腹巻大事
08:02	ゆうげん	朝ごはん月やから
08:02	ゆうげん	たらふく食べてる
08:03	ゆうげん	サラダにカレーにヨーグルにオムレツにハムにお味噌
08:19	ゆうげん	そして新幹線カードみつかった
08:19	ゆうげん	静岡駅にあったって
08:19	ゆうげん	良かった良かった
08:25	ゆうげん	☎ 通話時間 0:28
09:18	あすか 11/19 8/11	朝ごはんバイキングとかやったん？
09:18	あすか 11/19 8/11	大浴場もバイキングも避けてるとこやから心配。。
09:19	あすか 11/19 8/11	新幹線カード見つかってよかったね！！
09:21	ゆうげん	浴場は
09:21	ゆうげん	寝てていかれへんかった
09:21	ゆうげん	バイキングやけど
09:21	ゆうげん	3人しかおらんかった
09:51	あすか 11/19 8/11	そかそか、色々気をつけてね
09:52	あすか 11/19 8/11	今日東京帰ったら労金忘れずにお願いしときます
16:13	あすか 11/19 8/11	お仕事してるだけかな？大丈夫？
17:17	ゆうげん	大丈夫よ
17:28	ゆうげん	帰れそうやで
17:57	あすか 11/19 8/11	よかったです、出張お疲れ様
17:57	あすか 11/19 8/11	気をつけて帰ってね
19:07	あすか 11/19 8/11	今帰り道？？
19:58	あすか 11/19 8/11	大丈夫？
19:58	ゆうげん	今帰り道
19:59	ゆうげん	21:30くらいに東京に着くよ
20:00	あすか 11/19 8/11	遅いね
20:00	あすか 11/19 8/11	そこから労金の書いて出すんやんね
20:00	ゆうげん	まあしゃあない
20:00	ゆうげん	今までの集大成
20:01	あすか 11/19 8/11	ごめんね
20:01	あすか 11/19 8/11	なぎ寝たら電話したい
20:02	あすか 11/19 8/11	キッチンとカップボードウォルナットやったら取っ手黒がいいかなって思うんやけどそれでいい？？
20:14	ゆうげん	おけ
20:15	あすか 11/19 8/11	これに対してのおけ？
20:17	ゆうげん	電話
20:17	ゆうげん	に対して
20:18	ゆうげん	"
とってはちょいまち"
20:28	あすか 11/19 8/11	[写真]
20:28	あすか 11/19 8/11	[写真]
20:28	あすか 11/19 8/11	[写真]
20:28	あすか 11/19 8/11	取っ手
20:28	あすか 11/19 8/11	ゴールドっぽいのが1番好みやけど
20:28	あすか 11/19 8/11	黒がいいんかなって感じ
20:29	ゆうげん	ウォールナットは黒かな
20:29	あすか 11/19 8/11	シルバーはウォルナットにはナシかな
20:29	あすか 11/19 8/11	やんなー、黒が良さげよなー
20:37	ゆうげん	やね
20:58	ゆうげん	今新幹線
21:12	ゆうげん	22:00に東京駅つく
21:24	あすか 11/19 8/11	今からナギの歯磨きする
21:24	ゆうげん	ういうい
21:24	あすか 11/19 8/11	家着くのはどれくらい？
21:24	ゆうげん	遅かったね
21:24	あすか 11/19 8/11	気をつけて帰ってね
21:24	ゆうげん	22:40くらいかな
21:24	あすか 11/19 8/11	うん、今日遅くなった
21:24	ゆうげん	明日テレワークにしよかな
21:24	ゆうげん	疲れた
21:24	あすか 11/19 8/11	家着くの遅いね、、
21:24	あすか 11/19 8/11	うん、テレワークにさせてもらい！
21:25	ゆうげん	申請書だけは出さないと
21:29	あすか 11/19 8/11	そうやね、それだけはお願いしたい
21:29	あすか 11/19 8/11	でも遅くに心配やから電話してたい
21:29	ゆうげん	ui
22:07	ゆうげん	東京ついたよ
22:22	あすか 11/19 8/11	お家まで気をつけてね
22:32	ゆうげん	ありがとう
22:44	ゆうげん	最寄りついたよ
22:46	あすか 11/19 8/11	なんか食べたりした？？してないよね多分
22:48	ゆうげん	なんもや
22:50	あすか 11/19 8/11	だよね
22:50	あすか 11/19 8/11	なんか食べてね
23:00	ゆうげん	ありがとう
23:07	あすか 11/19 8/11	お家ついてる？
23:08	ゆうげん	うん
23:10	ゆうげん	[写真]
23:10	ゆうげん	読めない
23:11	ゆうげん	住所って俺の?
23:12	ゆうげん	会社の?
23:13	あすか 11/19 8/11	鴻池運輸総合労組？
23:13	あすか 11/19 8/11	会社のかな？
23:14	あすか 11/19 8/11	自分の事務所じゃなくて本社かな？わかんないね
23:15	ゆうげん	いや俺の住所なのか会社のなのかもわからん
23:16	あすか 11/19 8/11	そうよね
23:16	あすか 11/19 8/11	松本さんLINEみてる？
23:16	あすか 11/19 8/11	この紙の全体写してー
23:18	ゆうげん	さっき電話したけど出なかった
23:18	あすか 11/19 8/11	あらま…
23:18	ゆうげん	[写真]
23:21	あすか 11/19 8/11	自分の住所な気もするけどわからんな…
23:22	ゆうげん	電話通じた
23:22	あすか 11/19 8/11	電話できたのね！
23:23	あすか 11/19 8/11	わかった？
23:24	ゆうげん	多分自分のやけど
23:24	ゆうげん	控えもあるから会社の住所パターンも送っとく
23:26	あすか 11/19 8/11	おけおけ
23:26	あすか 11/19 8/11	出張おわりの遅い時間にごめんね、ありがとう
23:27	ゆうげん	出し終わったらビールのも
23:30	あすか 11/19 8/11	うんうん、そうしよ
23:30	あすか 11/19 8/11	もう出しに行くん？
23:30	ゆうげん	さきといれ
23:32	あすか 11/19 8/11	おけ
23:49	ゆうげん	もう出した
23:49	あすか 11/19 8/11	え
23:49	あすか 11/19 8/11	そか
23:50	あすか 11/19 8/11	ありがとうございます
23:52	ゆうげん	おけ
23:53	あすか 11/19 8/11	いまどこ
23:53	ゆうげん	コンビニ
23:53	あすか 11/19 8/11	電話せんほうがいいの？
23:58	ゆうげん	まって

2022/09/09(金)
00:08	あすか 11/19 8/11	うん
00:09	あすか 11/19 8/11	無事に家ついてくれたらそれでいいからもういいで
00:09	あすか 11/19 8/11	その連絡だけくれたら
00:11	ゆうげん	メルカリ出したり荷物受け取ったりしてるから
00:17	あすか 11/19 8/11	うん、気をつけて
00:17	あすか 11/19 8/11	家ついたらそれだけ連絡ちょうだい
00:21	ゆうげん	もうちょい
00:28	あすか 11/19 8/11	はい
00:28	あすか 11/19 8/11	気をつけて
00:38	あすか 11/19 8/11	家着いてる？
00:38	ゆうげん	いまついた
00:40	あすか 11/19 8/11	おかえり
00:44	ゆうげん	しんど
00:45	あすか 11/19 8/11	ゆっくり休んでね
00:51	ゆうげん	何時まで起きてる?
00:51	あすか 11/19 8/11	わかんない
00:52	あすか 11/19 8/11	ゆー君は何時まで起きてるの
00:52	あすか 11/19 8/11	もう寝る？
00:54	ゆうげん	とりあえず洗濯して
00:54	ゆうげん	ご飯たべる
00:55	あすか 11/19 8/11	どっか落ち着くタイミングあったら電話してみてー
00:55	あすか 11/19 8/11	私が起きてたら少し声聞かせて
00:59	ゆうげん	わかった
02:23	ゆうげん	☎ 通話時間 1:05:29
07:41	ゆうげん	やべー
07:41	ゆうげん	しんどい
08:36	あすか 11/19 8/11	仕事無理したらあかんよ
08:36	あすか 11/19 8/11	眠いとかのしんどさ？
08:38	あすか 11/19 8/11	大丈夫？
08:41	ゆうげん	あと5時間は寝れるしんどさ
08:42	あすか 11/19 8/11	出社するの？
08:42	ゆうげん	うん
08:42	あすか 11/19 8/11	テレワークにできんかったん…
08:42	あすか 11/19 8/11	無理せず、しんどかったら家帰りね、まじで
09:14	ゆうげん	まあ頑張る
09:15	あすか 11/19 8/11	体調はちゃんと気にしてね
09:22	あすか 11/19 8/11	[写真]
09:22	あすか 11/19 8/11	[写真]
09:22	あすか 11/19 8/11	[写真]
09:22	あすか 11/19 8/11	[写真]
09:22	あすか 11/19 8/11	ナギはまたレベルアップしてるよ
09:23	ゆうげん	そろそろレゴ行けそうやね
11:29	あすか 11/19 8/11	LEGOもブロックの大きさ色々あるよね
11:29	あすか 11/19 8/11	"今日は雨降ってて止んでる隙に
自転車で電車みてきた"
11:29	あすか 11/19 8/11	踏切と踏切をぐるぐる回って
11:41	ゆうげん	鉄オタか
11:41	ゆうげん	なぎ
14:32	ゆうげん	昨日やけどなんか
14:33	ゆうげん	ナギの冬服、明細見ても1個づつしか買ってないのにダブってるのあった
14:33	ゆうげん	ええんやろか
14:43	あすか 11/19 8/11	鉄オタとかではないけど電車好きよなー
14:46	あすか 11/19 8/11	1つなのが2つ入ってるとかってこと？どこの服？
14:48	ゆうげん	ぺあまの
14:49	ゆうげん	コーデュロイのパンツとか
14:49	あすか 11/19 8/11	ペアマノンか
14:49	あすか 11/19 8/11	１回きいてみたら？
14:50	あすか 11/19 8/11	インスタのってなんか買ったりした？
14:50	ゆうげん	買ってもらうの?
14:51	あすか 11/19 8/11	"いや、そんな予定はないから
厳選してなんか手にいれときたいなと"
14:51	あすか 11/19 8/11	ナギの誕プレ
14:52	ゆうげん	ほなら俺メルペイから買っとくで
14:52	あすか 11/19 8/11	"あと1万3000円残ってて
3000円ほどはおもちゃにつかう予定やからさ"
14:53	あすか 11/19 8/11	なんかナギが喜ぶもの買ってあげたりしたいけど
14:53	ゆうげん	そっちはそっちで使ったらいいよ
14:54	あすか 11/19 8/11	でもメルペイも貯めるとか言ってなかった？大丈夫なの？
14:54	ゆうげん	貯めるは貯めるよ
14:54	ゆうげん	まあそんなに欲しいなら
14:54	ゆうげん	いいかなと
14:55	あすか 11/19 8/11	厳選はしようと思ってる
14:55	あすか 11/19 8/11	可愛いのいっぱいあるから
14:56	ゆうげん	出来たら秋冬で使えるのがいいね
15:43	あすか 11/19 8/11	うん、秋冬で使えるのがいい
15:43	あすか 11/19 8/11	お家での写真は冬になるからなー
15:43	あすか 11/19 8/11	なんなら冬物でもいい
16:22	ゆうげん	[写真]
16:22	ゆうげん	[写真]
16:22	ゆうげん	[写真]
16:22	ゆうげん	[写真]
16:22	ゆうげん	[写真]
16:22	ゆうげん	[写真]
16:22	ゆうげん	[写真]
16:22	ゆうげん	[写真]
16:22	あすか 11/19 8/11	これはペアマノンの冬服か
16:24	ゆうげん	[写真]
16:24	ゆうげん	[写真]
16:24	ゆうげん	[写真]
16:24	ゆうげん	[写真]
16:24	ゆうげん	送ろうとしてるナギの秋冬
16:31	あすか 11/19 8/11	そうなのね
16:31	あすか 11/19 8/11	[写真]
16:31	あすか 11/19 8/11	この中の服かわいい
16:35	ゆうげん	サロペットだけやけどね
16:35	ゆうげん	中のポロっぽいのはない
16:36	あすか 11/19 8/11	知ってるよ〜
16:36	あすか 11/19 8/11	このアルバムの中みた？
16:36	あすか 11/19 8/11	[写真]
16:36	ゆうげん	まだや
16:36	あすか 11/19 8/11	インスタももっとゆっくり服みたいなー
17:05	ゆうげん	またいいのみつけてちょ
18:17	あすか 11/19 8/11	また可愛いの見つけたら報告します
19:08	あすか 11/19 8/11	まだ事務所居る？
19:30	ゆうげん	今日仕上げやから
19:30	ゆうげん	頑張るよ
20:29	ゆうげん	帰るよ
20:40	ゆうげん	家ついたら電話しよ
20:45	あすか 11/19 8/11	お風呂上がった
20:45	あすか 11/19 8/11	お仕事お疲れ様です
20:45	あすか 11/19 8/11	気をつけて帰ってね
20:51	ゆうげん	ありがとう
20:51	ゆうげん	明日休みやし
20:51	ゆうげん	死ぬほど寝よ
20:57	あすか 11/19 8/11	うんうん、ゆっくり寝てね
21:19	ゆうげん	最寄りついた
21:19	ゆうげん	牛丼食って帰る
21:31	あすか 11/19 8/11	外食気をつけて
21:35	ゆうげん	おけ
21:36	あすか 11/19 8/11	まじで気をつけてね
21:36	あすか 11/19 8/11	うがいせずに食べたやんね？仕事帰りそのまま
21:36	ゆうげん	うむ
21:37	あすか 11/19 8/11	だよね、気をつけてね
21:38	あすか 11/19 8/11	人は少ない？
21:38	ゆうげん	大丈夫
21:43	あすか 11/19 8/11	食事の前は極力手洗い(消毒)うがいしたいね
21:43	あすか 11/19 8/11	さぁ寝かしつけます
21:43	ゆうげん	ありがとう
21:43	ゆうげん	無理せずね
