 11/19 8/11	冬やからエアコンないと死にそう
20:32	あすか 11/19 8/11	うん
20:43	ゆうげん	それとは別で
20:43	ゆうげん	帰りたい
20:48	あすか 11/19 8/11	でも何回もやと疲れるやろし
20:52	ゆうげん	聞いてくれてありがとう
20:53	あすか 11/19 8/11	[写真]
20:54	あすか 11/19 8/11	まだ写真加工できてないから暗いままやけどこれ可愛い
20:54	あすか 11/19 8/11	でもピンとズレてる
20:54	あすか 11/19 8/11	？
20:54	あすか 11/19 8/11	でもかわいい
20:55	ゆうげん	ちょっと顔ずぶれてるのが
20:55	ゆうげん	かわいい
20:55	ゆうげん	いい写真
20:55	ゆうげん	肩落ちてるのも
20:55	ゆうげん	いい
20:56	あすか 11/19 8/11	ユニバ行きたいなぁ
20:56	あすか 11/19 8/11	今日しゅんと亮介ユニバ行ってる、ゲームのオフ会で
20:59	ゆうげん	オフ会か
20:59	ゆうげん	俺は行かなかったなぁ
20:59	あすか 11/19 8/11	ナギもそろそろ連れてきたいよねユニバ
21:37	ゆうげん	いきたい
21:37	ゆうげん	つぎいこ

2022/11/07(月)
10:27	あすか 11/19 8/11	次？？？
10:27	あすか 11/19 8/11	ぷちみぐONLINEで新作販売スタートしたねぇぇぇ
10:27	あすか 11/19 8/11	可愛い😮‍💨
10:32	ゆうげん	もう7日か
10:32	ゆうげん	早いね
10:32	あすか 11/19 8/11	"手元に来る日が楽しみ…🥹
私もナギになんか買ってあげたい…"
10:33	あすか 11/19 8/11	インテリアのショールームってなんやっけ？
10:33	あすか 11/19 8/11	カーテン？照明？
10:33	あすか 11/19 8/11	なんて言ってたっけ
10:33	ゆうげん	カーテンじゃない?
10:33	あすか 11/19 8/11	かな？もう忘れすぎてる
10:33	ゆうげん	"証明も実物見れるんやっけ
てか変更していいんやっけ"
10:35	あすか 11/19 8/11	わかんねぇ
10:35	あすか 11/19 8/11	外構の打ち合わせ、日にちどーしたい？
10:36	ゆうげん	土日がいいな
10:36	ゆうげん	できたら
10:36	あすか 11/19 8/11	おけー
10:39	ゆうげん	プチミグもうなんか買ったの?
10:47	あすか 11/19 8/11	ううん、まだ悩んでる＆パパが何買ってくれるかイマイチわかってないからまたパパとゆっくり見たいと思ってる
10:47	ゆうげん	俺も見とく
10:47	ゆうげん	であすかですきに買ってくれていいで
10:47	あすか 11/19 8/11	どゆこと？？
10:48	ゆうげん	"一緒に見て選んでも
あすかが即買いしても
どちらでも大丈夫ってこと"
10:48	あすか 11/19 8/11	バッグと帽子と前言ってたベストは決まりかなと思ってるけど
10:49	あすか 11/19 8/11	"冬の新作から何か服欲しいのと、パンツもほしいから…
めちゃくちゃ悩んでる"
10:49	ゆうげん	また優先順位つけよ
10:50	あすか 11/19 8/11	うん、また考える
10:50	ゆうげん	今日こそ通話しよ
10:51	あすか 11/19 8/11	うん、がんばる！
10:51	あすか 11/19 8/11	梛と日光に浴びたら夜の寝付き良すぎてびびる
10:52	ゆうげん	たまには光浴びないとね
10:52	ゆうげん	人間ダメになっちゃう
10:52	あすか 11/19 8/11	昨日多分1時間以上外で遊んでた
10:52	あすか 11/19 8/11	正しくは写真撮ってた
10:53	あすか 11/19 8/11	あ、ちなみにモニター用でプレゼントしてもらったのはこれ
10:53	あすか 11/19 8/11	[写真]
10:53	あすか 11/19 8/11	[写真]
10:53	あすか 11/19 8/11	[写真]
10:53	あすか 11/19 8/11	[写真]
10:53	あすか 11/19 8/11	[写真]
10:53	ゆうげん	思った通り
10:53	ゆうげん	可愛いね
10:54	あすか 11/19 8/11	うん、模様がめっちゃ可愛いしぷちみぐのニットまじ触り心地よすぎて、、
10:55	ゆうげん	ワンサイズ大きめだから来年も着れるね
10:55	あすか 11/19 8/11	着れる！今若干ワンピースみたいになってる(笑)
10:55	あすか 11/19 8/11	袖もおってる
10:57	ゆうげん	お昼に見てみる最新作
11:01	あすか 11/19 8/11	うん、みてみてー！
11:34	ゆうげん	そういや
11:34	ゆうげん	ペアマノンとかもタグ付けしてる?
12:20	あすか 11/19 8/11	うん、服メインの投稿の時はしてる〜
12:20	あすか 11/19 8/11	[写真]
12:35	ゆうげん	ほんまや
12:35	ゆうげん	ニットパンツいいね
13:14	あすか 11/19 8/11	うん、ニットパンツも可愛かった！
15:02	ゆうげん	とりあえず
15:02	ゆうげん	バッグと、帽子だけ先買ったら?
15:04	あすか 11/19 8/11	帽子色悩む
15:05	ゆうげん	ブラウンがいいと思う
15:05	ゆうげん	黒は持ってるし
15:11	あすか 11/19 8/11	あと400円で送料無料って出てるけどこのままこの二つとりあえず買っていいの？
15:12	ゆうげん	何で支払う予定?
15:12	あすか 11/19 8/11	後支払い方法どーしたら良い？
15:12	あすか 11/19 8/11	あ、どーしたらいい？
15:13	ゆうげん	何があったっけ
15:13	ゆうげん	メルペイとかあったっけ
15:13	あすか 11/19 8/11	[写真]
15:14	ゆうげん	カードか
15:14	ゆうげん	いまいくら?
15:14	ゆうげん	クーポンちゃんと聞いてる?
15:16	あすか 11/19 8/11	[写真]
15:16	あすか 11/19 8/11	クーポン使ったら送料無料まで遠いんかな？
15:17	ゆうげん	ニットパンツ入れよか
15:18	あすか 11/19 8/11	ベストより先？？
15:18	ゆうげん	ベスト実はあんねん
15:18	あすか 11/19 8/11	え、そーなん？あのブラウンの？
15:18	ゆうげん	そう
15:18	ゆうげん	あすかのプレゼントの一個
15:18	あすか 11/19 8/11	マジか，びっくり！
15:18	ゆうげん	秘密やったけどダブりそうやから
15:18	ゆうげん	言った
15:19	あすか 11/19 8/11	🥹🤎🤎
15:20	ゆうげん	"だから時点は帽子2色か
ブラウンのパンツかなと"
15:20	ゆうげん	次点
15:20	あすか 11/19 8/11	うわぁ、悩むねぇ、帽子も何にでも合うのはブラックやけどブラウンも捨てがたいって思って悩んでた
15:21	ゆうげん	なら帽子2のバッグでいいと思う
15:21	ゆうげん	どんなコーデでもタグはつけれるし
15:21	あすか 11/19 8/11	帽子梛でかそうかな？
15:22	あすか 11/19 8/11	パンツはこれやっけ
15:22	あすか 11/19 8/11	[写真]
15:22	ゆうげん	そう
15:22	あすか 11/19 8/11	この子で帽子こんなんやからちょっとデカそうな気もするよね帽子
15:24	ゆうげん	"まあ被り方で載せるだけでもいいし
任せる"
15:24	ゆうげん	"パンツ帽子バッグ
帽子帽子バッグ

がいいと思う"
15:24	あすか 11/19 8/11	悩むなぁ､､､
15:24	ゆうげん	[写真]
15:24	ゆうげん	[写真]
15:24	ゆうげん	その次に好きなのはこれ
15:24	あすか 11/19 8/11	これのら2枚目欲しいて思ってた！
15:25	ゆうげん	任せるで
15:26	あすか 11/19 8/11	上の2枚目と、
15:26	あすか 11/19 8/11	[写真]
15:26	あすか 11/19 8/11	これとパンツが新作で気になってるやつ
15:26	ゆうげん	これっぽいのあるやん
15:27	あすか 11/19 8/11	新作ではないやつも気になるやつ何個かある
15:27	あすか 11/19 8/11	そうやねんけど、この触り心地良さそうな感じと、こういうベストってまじ合わせやすすぎて使いやすそう
15:28	あすか 11/19 8/11	悩みすぎて決められへん(笑)
15:33	ゆうげん	とりあえず
15:34	ゆうげん	候補全部あげてよ
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	今お気に入りに入れてるのはこれ
15:38	ゆうげん	あれ
15:38	ゆうげん	バッグじゃなくてポーチ?
15:38	あすか 11/19 8/11	バッグはもうカート入ってる
15:38	あすか 11/19 8/11	[写真]
15:38	ゆうげん	バッグベスト帽子にしたら?
15:39	あすか 11/19 8/11	このコートも捨てがたいけどねぇ、、お値段が、、、
15:39	ゆうげん	これはねぇ
15:39	あすか 11/19 8/11	ベストって？
15:39	ゆうげん	ボアベスト
15:39	あすか 11/19 8/11	これ？
15:43	ゆうげん	そう
15:44	あすか 11/19 8/11	[写真]
15:44	ゆうげん	"パンツは正直トップスの色選ぶ(まあベージュアイボリーブラウン全部会う)けど
なんでも重ねられるしね"
15:45	あすか 11/19 8/11	バッグボアベスト帽子(ブラウン)でこれ↑
15:45	ゆうげん	3000円安くなるならいいんじゃない?
15:46	あすか 11/19 8/11	"そうよね、パンツちょっと難しいんかな？て思ってた

でも意外と好きな色なんでも合いそう"
15:46	ゆうげん	気がついたらいっぱい持っとるなぁ
15:47	あすか 11/19 8/11	まだまだ欲しいのあるからいちいちめっちゃ悩むw
15:47	あすか 11/19 8/11	カートに入れてからもまだ悩んでるw
15:49	ゆうげん	決まったら教えてくれ
15:50	あすか 11/19 8/11	今カートに入ってるのでもいいんやけど
15:51	あすか 11/19 8/11	他のものと優先順位つけがたすぎて。。
15:55	あすか 11/19 8/11	他のはいつか買えるように頑張る、、ひとまずさっきカートに入れたやつでいく
15:55	あすか 11/19 8/11	支払方法どーしたらいい？
15:55	ゆうげん	クレジットカードかな
15:56	あすか 11/19 8/11	カード情報わかんない
15:57	あすか 11/19 8/11	あ、あと、カードで購入するとなるとこれはどーなる？
15:58	あすか 11/19 8/11	[写真]
15:58	ゆうげん	"1249
4380
0325
2445"
15:58	ゆうげん	右下から入れていって
15:58	ゆうげん	住所はあすかんちでいい
15:59	あすか 11/19 8/11	"請求先住所？
届けるのはうちにしてるけど。。"
15:59	ゆうげん	請求先は1360071東京都江東区亀戸7-1-3 203号
15:59	ゆうげん	別々でいいよ
15:59	ゆうげん	なんかあったら電話で答える
16:00	ゆうげん	さっきのカード情報は右下から逆に入れて言ってね
16:00	ゆうげん	有効期限は
16:00	ゆうげん	08
16:00	ゆうげん	26
16:01	あすか 11/19 8/11	右下から逆に……？
16:01	ゆうげん	"最初が5442〜ってなる
それを2445ってしてる"
16:03	ゆうげん	セキュリティコードは俺の誕生年から1382引いて
16:03	あすか 11/19 8/11	西暦？
16:04	ゆうげん	4桁西暦
16:07	あすか 11/19 8/11	[写真]
16:07	あすか 11/19 8/11	いけたーー
16:08	ゆうげん	うい
16:08	あすか 11/19 8/11	ひとまずバッグとベレー帽(ブラウン)とボアベスト！
16:08	あすか 11/19 8/11	楽しみ！
16:09	あすか 11/19 8/11	ゆーくんが既に買ってくれてたベストも楽しみ！
16:09	ゆうげん	帰る時か、
16:09	ゆうげん	荷物送る時に混ぜて送るわ
16:09	あすか 11/19 8/11	ボアベスト、持ってるブラウスとか襟付きニットとかに合わせても絶対かわいーー
16:10	ゆうげん	自分の服より嬉しそうやな
16:10	あすか 11/19 8/11	お出かけバッグもプチミグので安定しそう！嬉しい
16:10	あすか 11/19 8/11	うん、自分のより嬉しい(笑)
16:11	ゆうげん	きたすけで1番服持ってる2歳児やと思うわ
17:00	あすか 11/19 8/11	意外と他におるかもよ
18:14	ゆうげん	おったらびっくり
18:15	ゆうげん	量もやけど
18:15	ゆうげん	質もね
18:48	あすか 11/19 8/11	ぷちみぐの服はぜーんぶナギのきょうだいにおさがりで着せたい
18:48	あすか 11/19 8/11	女の子のワンピースとかもめっちゃ可愛いよね、ぷちみぐ
19:28	ゆうげん	11月やからZOZOでもユニクロでも
19:28	ゆうげん	あすかが欲しいのおせーてな
19:29	ゆうげん	"全然使えると思う
お下がり"
19:47	あすか 11/19 8/11	また見てみる、ありがと
19:47	あすか 11/19 8/11	ね、お下がり全然いけるよね！
19:48	あすか 11/19 8/11	[写真]
19:48	あすか 11/19 8/11	かわいいい
19:48	ゆうげん	可愛いね
19:48	ゆうげん	靴のサイズイケてる?
19:53	あすか 11/19 8/11	靴はこれ多分13cmかな？14でもいけそうな気がする
19:54	あすか 11/19 8/11	[写真]
19:54	あすか 11/19 8/11	[写真]
19:54	あすか 11/19 8/11	[写真]
19:54	あすか 11/19 8/11	これバッタおいかけて真似してジャンプしてる🦗
20:12	ゆうげん	かわいい
20:31	ゆうげん	ジャンプ上手いな
20:31	ゆうげん	俺もちっちゃい頃バッタ捕まえ名人やった
20:40	あすか 11/19 8/11	バッタ触られへん私🦗
21:37	ゆうげん	昔はめっちゃ虫触ってたけど
21:38	ゆうげん	いまは俺も厳しいかも
23:41	ゆうげん	そういえば
23:41	ゆうげん	クリスマスツリーの
23:42	ゆうげん	足元届いたb?
23:42	あすか 11/19 8/11	私はダンゴムシが限界
23:42	あすか 11/19 8/11	あ、うん、届いてる
23:42	ゆうげん	おけ
23:44	あすか 11/19 8/11	あれどこの？？
23:44	ゆうげん	ニコアンド

2022/11/08(火)
00:08	あすか 11/19 8/11	ニコアンド！なるほど
00:46	ゆうげん	おきてる?
00:47	ゆうげん	なるほどが
00:47	ゆうげん	今通知来た
00:55	あすか 11/19 8/11	起きてるよ〜
00:55	あすか 11/19 8/11	アイス食べたいw
01:07	ゆうげん	https://kanademono.design/collections/table-desk/products/tbl-k03-bk
01:16	ゆうげん	[写真]
01:17	ゆうげん	[写真]
01:17	ゆうげん	[写真]
01:17	ゆうげん	[写真]
01:17	ゆうげん	[写真]
01:17	ゆうげん	[写真]
01:17	ゆうげん	[写真]
01:28	ゆうげん	https://kanademono.design/collections/chair/products/dch-111?variant=32100206313534
01:29	ゆうげん	https://kanademono.design/collections/chair
01:33	ゆうげん	https://kanademono.design/collections/chair/products/chr-806?variant=39319781146686
01:33	あすか 11/19 8/11	[写真]
01:35	ゆうげん	[写真]
01:35	ゆうげん	[写真]
01:35	ゆうげん	[写真]
01:36	ゆうげん	[写真]
01:39	あすか 11/19 8/11	[写真]
01:39	あすか 11/19 8/11	[写真]
01:39	あすか 11/19 8/11	[写真]
01:43	ゆうげん	https://kanademono.design/collections/chair/products/chr-813?variant=39403524423742
01:43	ゆうげん	https://kanademono.design/collections/chair/products/dch-122?variant=39470951596094
01:44	ゆうげん	[写真]
01:47	ゆうげん	[写真]
01:47	ゆうげん	[写真]
01:52	あすか 11/19 8/11	[写真]
01:53	あすか 11/19 8/11	[写真]
01:53	あすか 11/19 8/11	[写真]
01:57	ゆうげん	[写真]
01:58	ゆうげん	[写真]
01:58	ゆうげん	[写真]
01:58	ゆうげん	[写真]
02:01	ゆうげん	[写真]
02:01	あすか 11/19 8/11	[写真]
02:01	あすか 11/19 8/11	[写真]
02:01	あすか 11/19 8/11	[写真]
02:01	あすか 11/19 8/11	[写真]
02:03	あすか 11/19 8/11	[写真]
02:10	ゆうげん	https://kanademono.design/collections/interior/products/rac-101?variant=31570887245886
02:11	ゆうげん	[写真]
02:11	ゆうげん	[写真]
02:14	ゆうげん	[写真]
02:18	ゆうげん	https://flymee.jp/ranking/sofa/designers/
02:19	ゆうげん	https://flymee.jp/category/chair/-jnes9-OPU0wP/
02:22	ゆうげん	https://flymee.jp/category/chair/-jnes9-OPU0wP/
02:22	ゆうげん	https://flymee.jp/category/sofa/-jnes9-qRUGX9E/
02:24	ゆうげん	[写真]
02:26	ゆうげん	[写真]
02:26	ゆうげん	[写真]
02:26	ゆうげん	[写真]
02:27	あすか 11/19 8/11	[写真]
02:27	あすか 11/19 8/11	[写真]
02:33	ゆうげん	☎ 通話時間 1:37:24
09:54	ゆうげん	おはよう
15:14	あすか 11/19 8/11	おはよ
15:15	あすか 11/19 8/11	今日はぜんちゃんとわっくんと会ってきた
15:32	あすか 11/19 8/11	[写真]
16:55	ゆうげん	とりあえず洗濯機以外
16:59	ゆうげん	遊んできたのね
16:59	ゆうげん	写真ある?
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:14	あすか 11/19 8/11	[写真]
17:15	ゆうげん	べびデカなったな
17:15	ゆうげん	色々おそろい
17:15	あすか 11/19 8/11	わっくん可愛かった🥹
17:16	あすか 11/19 8/11	色々おそろいもかわいかったぁぁ
17:16	ゆうげん	ずっと飲んで食ってや
17:16	あすか 11/19 8/11	2歳児食べ物なしに写真撮られへん
18:35	あすか 11/19 8/11	Francfrancのクッション可愛いなぁ
18:36	あすか 11/19 8/11	[写真]
18:46	ゆうげん	可愛いね
18:46	ゆうげん	左下やばいけど
19:08	ゆうげん	きょう
19:08	ゆうげん	皆既月食か
19:14	ゆうげん	月が赤くなるの
19:18	あすか 11/19 8/11	そうそう、皆既月食
19:18	あすか 11/19 8/11	見てない
19:19	ゆうげん	見たけど
19:19	ゆうげん	遠すぎて
19:19	ゆうげん	わからんち
19:19	ゆうげん	[写真]
19:19	ゆうげん	なんじゃこれ
19:23	あすか 11/19 8/11	遠いな(笑)
19:28	ゆうげん	ね
19:28	ゆうげん	でもオレンジになってた
19:28	ゆうげん	太陽 地球 月
19:29	ゆうげん	"この並びで太陽の光が月に届かなくなる
地球からかすった光が夕日のように月を赤く照らす"
19:29	ゆうげん	これが皆既月食
19:49	あすか 11/19 8/11	皆既月食ってなんか定期的にある気がするけど毎回違うものなのか。。
19:50	ゆうげん	"日食は
太陽 月 地球"
19:50	ゆうげん	皆既月食はあんまりないと思う
19:53	あすか 11/19 8/11	難しい
19:53	ゆうげん	まあ人生に数度やし
19:53	ゆうげん	今軽く見て見
19:53	あすか 11/19 8/11	[写真]
19:53	あすか 11/19 8/11	[写真]
19:53	ゆうげん	月消えてるから
19:53	あすか 11/19 8/11	見てみる
19:54	ゆうげん	あすかわかがえった?
20:00	あすか 11/19 8/11	私よりナギの鼻くそやろww
20:00	あすか 11/19 8/11	月らしきもの全く見えんかった
20:01	ゆうげん	ナギすぐほじる
20:02	あすか 11/19 8/11	1枚目鼻くそほじってはいるけどイケメン
20:19	ゆうげん	かっこいいよな
20:30	あすか 11/19 8/11	鼻くそほじってるけどな
20:32	ゆうげん	2枚目はなんか
20:32	ゆうげん	しぇー
23:08	あすか 11/19 8/11	事故ってる2枚目
23:39	ゆうげん	それでも可愛い

2022/11/09(水)
00:47	あすか 11/19 8/11	そういえばカラコン買ってもいいですか、、
00:47	ゆうげん	ええで
00:53	あすか 11/19 8/11	ありがとございます
00:53	あすか 11/19 8/11	Amazonで買うと思う
00:54	ゆうげん	い何回使えて
00:54	ゆうげん	いくら位なん?
00:54	ゆうげん	あとどれ?
01:02	あすか 11/19 8/11	[写真]
01:02	あすか 11/19 8/11	[写真]
01:02	あすか 11/19 8/11	これ
01:02	あすか 11/19 8/11	アイコフレワンデー シアーメイク
01:03	あすか 11/19 8/11	PWR-5.00と-6.00
01:03	あすか 11/19 8/11	10枚入
01:03	ゆうげん	１ヶ月でいくらかかってる?
09:58	あすか 11/19 8/11	月イチも買ってない
09:59	あすか 11/19 8/11	上の画像にものってるけど、最後に買ったの8/7らしい〜
10:32	ゆうげん	モールで買わんかったっけ
10:33	あすか 11/19 8/11	それは普通のコンタクト
10:33	あすか 11/19 8/11	カラコンはAmazonでしかかったことない
10:52	ゆうげん	おけおけ
10:52	ゆうげん	それもまた安いとこ見つけるわ
10:52	ゆうげん	普通に買っといて
10:52	ゆうげん	色はシアーなんとか?
12:05	あすか 11/19 8/11	おけー！ありがとう
12:06	あすか 11/19 8/11	うん、シアーメイク
12:06	あすか 11/19 8/11	[写真]
12:06	あすか 11/19 8/11	わーい
12:06	ゆうげん	おお
12:06	ゆうげん	でかい
12:06	ゆうげん	早いね
12:11	あすか 11/19 8/11	はやいね！うれしいーー
12:11	ゆうげん	帽子気になる
12:11	ゆうげん	サイズ感
12:11	あすか 11/19 8/11	ぷちみぐ現アンバサダーの中でボアベスト人気
12:11	あすか 11/19 8/11	お揃い率高い
12:11	ゆうげん	"まあ
使い勝手いいもんな"
13:26	あすか 11/19 8/11	[写真]
13:26	あすか 11/19 8/11	めっちゃ可愛いの撮れた
13:27	あすか 11/19 8/11	[写真]
13:27	あすか 11/19 8/11	[写真]
13:27	あすか 11/19 8/11	[写真]
13:27	あすか 11/19 8/11	[写真]
13:27	あすか 11/19 8/11	[写真]
13:28	あすか 11/19 8/11	帽子はちょい大きい感じもするけど自転車乗ってても脱げへんし帽子自身がしっかりしてて形可愛い
13:28	ゆうげん	かわいい
13:29	ゆうげん	なぎ顔ちっちゃ
13:30	ゆうげん	ベストもいいね
13:42	あすか 11/19 8/11	ベストはビスクで買ってくれてたやつ
13:42	あすか 11/19 8/11	[写真]
13:43	あすか 11/19 8/11	ぷちみぐは触り心地えぐい
13:43	あすか 11/19 8/11	[写真]
13:43	あすか 11/19 8/11	[動画]
13:47	ゆうげん	コソコソ歩き
13:47	ゆうげん	ええやん
14:04	あすか 11/19 8/11	[動画]
14:04	あすか 11/19 8/11	[動画]
14:04	あすか 11/19 8/11	[写真]
14:04	あすか 11/19 8/11	なんかな、ハエ🪰止まっててそれを見てたw
14:25	ゆうげん	いい写真
14:25	ゆうげん	動画もあげたら?
