8/11	角地にするか
02:04	あすか 11/19 8/11	なぎとふたりで自転車ってさ
02:04	あすか 11/19 8/11	気楽やけど結構たいへんよ
02:04	あすか 11/19 8/11	"荷物重くなったりしたら
なぎだけで10キロあるのに"
02:05	あすか 11/19 8/11	"買い物も下ろせっていうから
下ろすけどめちゃくちゃするしw"
02:05	あすか 11/19 8/11	今日とかさ
02:05	あすか 11/19 8/11	"ジャーマンポテトと
ささみともやしのカレー炒め"
02:06	あすか 11/19 8/11	作っといたらさ
02:06	あすか 11/19 8/11	"ばぁば帰ってきてから
なんかほか無いかなーて"
02:06	あすか 11/19 8/11	少ないんか自分食べるのあんま無いんかしらんけど
02:06	あすか 11/19 8/11	途中までナギ抱っこしながら
02:07	あすか 11/19 8/11	頑張って用意してるのに
02:07	あすか 11/19 8/11	なんか失礼
02:07	あすか 11/19 8/11	ほんで亮介が
02:07	あすか 11/19 8/11	辛ラーメン食べよかなって言った時
02:07	あすか 11/19 8/11	ばぁばなんて言ったとおもう？
02:07	あすか 11/19 8/11	食べるもんない？やで
02:08	あすか 11/19 8/11	作ったやつの気持ち考えろよ
02:08	あすか 11/19 8/11	一応みんな食べれるようなメニュー考えてるし
02:08	あすか 11/19 8/11	"亮介が
食べるものはいっぱいあるけど
辛ラーメンの気分って言った時"
02:08	あすか 11/19 8/11	ほんまばぁばに文句ゆったろかおもた
02:09	あすか 11/19 8/11	後々めんどい
02:09	あすか 11/19 8/11	めっちゃ失礼じゃない？
02:09	あすか 11/19 8/11	別に余裕あって晩ご飯作ってるんちゃうし
02:10	あすか 11/19 8/11	帰ってきても亮介ゲームしたり寝てたりしたらなぎみながらやし
02:10	あすか 11/19 8/11	"しゅん帰ってきても
服が汚いからってなぎみーひんし"
02:11	あすか 11/19 8/11	ほんまグズグズいうなぎみながらとかだっこしながらやし
02:11	あすか 11/19 8/11	涼介がきてお風呂入れてくれるのはいいけど
02:11	あすか 11/19 8/11	受け取るの私やから
02:11	あすか 11/19 8/11	料理手止まるし
02:12	あすか 11/19 8/11	そもそもなぎと一緒の時間に食べるためとはいえ
02:12	あすか 11/19 8/11	みんなの分をみんなのこと考えて作るのも
02:12	あすか 11/19 8/11	負担っちゃ負担やし
02:13	あすか 11/19 8/11	"食器もナギのはぜんぶ
洗わんと置いてくれてるから"
02:13	あすか 11/19 8/11	"隙みて洗うしかないから
すぐ食器たまるし"
02:13	あすか 11/19 8/11	洗濯は完全にまかせてるけど
02:14	あすか 11/19 8/11	"まぁママからしたら
お金入れんと何ヶ月も
居候してんのが
いやなんやろな"
02:14	あすか 11/19 8/11	"て言っても私のご飯代なんて
しれてるし"
02:14	あすか 11/19 8/11	娘やんってなるねんけどw
02:15	あすか 11/19 8/11	なぎのは全部こっちが払ってるし
02:15	あすか 11/19 8/11	亮介とかしゅんとかとは
02:16	あすか 11/19 8/11	YouTubeで顔出ししたしてないの話に入りに行って盛り上がろうとするねんけど
02:16	あすか 11/19 8/11	"私が顔出ししたしてないで
ママそんな話入ってくるか？ておもう"
02:16	あすか 11/19 8/11	これ昔からやけど
02:16	あすか 11/19 8/11	私にはそんなに興味示さんのに
02:17	あすか 11/19 8/11	しゅんりょうすけの話は
02:17	あすか 11/19 8/11	興味示して楽しげに話入っていったり質問したりして会話しようとするの
02:17	あすか 11/19 8/11	ほんまなんやろ
02:18	あすか 11/19 8/11	"同じ子どもやのに
そんなちゃう？てなる"
02:18	あすか 11/19 8/11	私がゆーくんの愚痴ゆってる時くらいw
02:18	あすか 11/19 8/11	興味示すの
02:18	あすか 11/19 8/11	クソやん
02:18	あすか 11/19 8/11	今はゆってない
02:18	あすか 11/19 8/11	w
02:19	あすか 11/19 8/11	"ほんま普段興味示さんのに
そういうとこだけ話
入ろうとするのうざい"
02:19	あすか 11/19 8/11	同性やとこうなるんかな
02:20	あすか 11/19 8/11	"父親がおらんから
家で話聞いてくれる人もおらんし"
02:20	あすか 11/19 8/11	ほんま昔からしんどかったこれ
02:20	あすか 11/19 8/11	"亮介とかしゅんとかには
どんな小さいことも"
02:20	あすか 11/19 8/11	"ママが興味示すこと？ていう
内容でも"
02:21	あすか 11/19 8/11	興味示して話し聞いてたもん
02:21	あすか 11/19 8/11	それが今でも残ってて
02:21	あすか 11/19 8/11	それも嫌なってくる
02:21	あすか 11/19 8/11	ほんまこの実家ストレスおおい
02:22	あすか 11/19 8/11	喋りかけてきたと思ったら
02:22	あすか 11/19 8/11	"ゴミ捨ててとか片付けてとか
あれこれこうしてとか"
02:22	あすか 11/19 8/11	好きに生活させろよってなる
02:23	あすか 11/19 8/11	なぎ寝てから
02:23	あすか 11/19 8/11	1人時間わーい！てなるところ
02:23	あすか 11/19 8/11	今はばぁばと一緒の部屋で寝てるから
02:23	あすか 11/19 8/11	気つかって
02:23	あすか 11/19 8/11	ナギから離れられへん
02:23	あすか 11/19 8/11	それもストレス
02:24	あすか 11/19 8/11	"ナギから離れてリビングで
作業したり1人時間やから
おやつ好きに食べたりしてたけど"
02:24	あすか 11/19 8/11	その間になぎ泣いたりしたら
02:24	あすか 11/19 8/11	"なにしてるん？
さっきから何回も泣いてるで"
02:25	あすか 11/19 8/11	てLINEくる
02:25	あすか 11/19 8/11	ちがう
02:25	あすか 11/19 8/11	"だからミーティングとかも
暗い部屋でなぎのとなりでやってる"
02:25	あすか 11/19 8/11	作業会とかも
02:26	あすか 11/19 8/11	そんなんあってもナギから離れられへん
02:26	あすか 11/19 8/11	"泣いたの気づいたら
そばに行けばいいって思うのに"
02:26	あすか 11/19 8/11	ばぁばおるからばぁばに気つかって
02:26	あすか 11/19 8/11	1人になられへん
02:26	あすか 11/19 8/11	それもストレス
02:27	あすか 11/19 8/11	今は何が欲しいって
02:27	あすか 11/19 8/11	"一人の時間
ゆっくりお風呂入る時間
なぎ気にせず寝れる日"
02:28	あすか 11/19 8/11	LINEよんでる？
02:28	あすか 11/19 8/11	おきてる？
02:29	あすか 11/19 8/11	ん？なんて？
02:29	あすか 11/19 8/11	"みんなさ、ベビーモニターとか置いて子ども寝てからは
1人時間夫婦時間楽しんでるのに"
02:30	あすか 11/19 8/11	それもできひん
02:30	あすか 11/19 8/11	ストレスw
02:30	あすか 11/19 8/11	ん？
02:30	あすか 11/19 8/11	そう
02:30	あすか 11/19 8/11	声も聞こえるし動きも見れる
02:31	あすか 11/19 8/11	うつ伏せになったら様子見に行くとか泣いたら行くとかできる
02:31	あすか 11/19 8/11	寝る？
02:34	あすか 11/19 8/11	なんかゆった？
02:35	あすか 11/19 8/11	"寝ないとね〜
6じくらいにおきるなぎ"
02:36	あすか 11/19 8/11	朝泣いて起きてくるのそろそろどうにかならんかな（笑）
02:37	あすか 11/19 8/11	"6時に起きたら
9時台か10時台から
朝寝する"
02:37	あすか 11/19 8/11	"8時頃まで寝た日は
11時台とか12時だいとか
にひるね"
02:37	あすか 11/19 8/11	"6時に起きた時は
夕寝もちょっとする"
02:38	あすか 11/19 8/11	"9時とか10時とかから朝寝したら
11時くらいには起きるから"
02:38	あすか 11/19 8/11	そこから就寝まではもたん
02:39	あすか 11/19 8/11	夕寝は30分前後だけやけど
02:39	あすか 11/19 8/11	あんまり寝たら夜に響くから
02:40	あすか 11/19 8/11	就寝する時は
02:40	あすか 11/19 8/11	"ミルクもチュッチュもなしで
割と早く寝るようになった"
02:41	あすか 11/19 8/11	みつけたらほしがるけど
02:41	あすか 11/19 8/11	なかったらないで大丈夫
02:41	あすか 11/19 8/11	あした
02:41	あすか 11/19 8/11	朝散歩行く時
02:42	あすか 11/19 8/11	ゆーくん起きてるかな
02:42	あすか 11/19 8/11	ナギの起きる時間によるけど
02:42	あすか 11/19 8/11	"9時前後かなー？
遅くても10時台にはいくかな"
02:43	あすか 11/19 8/11	11じ？
02:43	あすか 11/19 8/11	開始？
02:43	あすか 11/19 8/11	ん？なんて？笑
02:43	あすか 11/19 8/11	しょうしゃ？
02:43	あすか 11/19 8/11	あー
02:44	あすか 11/19 8/11	明日それいくんか
02:44	あすか 11/19 8/11	ビデオ通話で土地見せよかなて思ってたけどまた後日かな
02:47	あすか 11/19 8/11	あくびした
02:47	あすか 11/19 8/11	ね
02:47	あすか 11/19 8/11	寝ないとー朝眠くて機嫌悪なる私w
02:48	あすか 11/19 8/11	ん？なんかしゃべった？
02:48	あすか 11/19 8/11	そもそも毎日のストレスの積み重ねとか色々かさなって機嫌悪い時は
02:49	あすか 11/19 8/11	泣いて起きんとにこにこして起きてやってナギにあたってる
02:49	あすか 11/19 8/11	"普段は
泣いて起きてきても
パン食べる？いこか！
って機嫌取りながら
リビング行くようにしてるけど"
03:16	ゆうげん	☎ 通話時間 2:01:05
08:30	あすか 11/19 8/11	あ
08:30	あすか 11/19 8/11	パパ
08:30	あすか 11/19 8/11	おはよ
08:30	あすか 11/19 8/11	あのさ
08:31	あすか 11/19 8/11	"もう一個頼みたいの！
送って欲しいやつある"
08:31	ゆうげん	おけ
08:31	あすか 11/19 8/11	"薬とか爪切りとか？
入れてる箱のどっかに"
08:32	あすか 11/19 8/11	[写真]
08:32	あすか 11/19 8/11	これある？
08:49	ゆうげん	"
なにこれ"
08:51	あすか 11/19 8/11	二重のテープ
08:53	ゆうげん	"あーー
探してみる！"
09:19	あすか 11/19 8/11	まだ家？
09:20	あすか 11/19 8/11	☎ 不在着信
10:11	ゆうげん	☎ 通話時間 38:44
10:27	ゆうげん	あっつい
10:40	あすか 11/19 8/11	あついよね〜
10:40	あすか 11/19 8/11	[動画]
10:40	あすか 11/19 8/11	これ言ってたとこ
10:40	あすか 11/19 8/11	"古家はもう旗なかったから
売れたんかも！"
10:43	ゆうげん	ふむふむ
10:44	あすか 11/19 8/11	奥の方は基本陰ってるかもやけど
10:44	あすか 11/19 8/11	日当たりもそんなに悪くなさそうかなぁ
10:45	あすか 11/19 8/11	両方の横が駐車場やしね
10:45	あすか 11/19 8/11	そして縦長に距離取りやすそう部屋
10:49	ゆうげん	ふむふむ
10:50	ゆうげん	たしかに
10:51	ゆうげん	ただ車止めること考えたら
10:51	ゆうげん	結構スペース無さそう
10:51	あすか 11/19 8/11	まぁあとは値段とかこの土地でどんな家建てれるか
10:51	あすか 11/19 8/11	そこ知らな何とも言えんよね〜
10:52	ゆうげん	ね
10:52	ゆうげん	そこ電話してみたら？
10:53	あすか 11/19 8/11	そうやね、１回電話してみる
12:13	ゆうげん	頼む！
14:58	あすか 11/19 8/11	http://himawari-juhan.com/house/%e6%b3%89%e5%a4%a7%e6%b4%a5%e5%b8%82%e6%a3%ae%e7%94%ba%ef%bc%91%e4%b8%81%e7%9b%ae/
14:58	あすか 11/19 8/11	これさっき言ってたとこの〜
14:58	あすか 11/19 8/11	土地が売ってるから、あとどこで建てるかでも値段変わってくるかな？わからんけど
14:59	ゆうげん	ふむ
14:59	あすか 11/19 8/11	どこでって言うのはハウスメーカーとかね
14:59	あすか 11/19 8/11	[写真]
15:00	ゆうげん	後で見てみる
15:00	あすか 11/19 8/11	今何してるんー？
15:01	あすか 11/19 8/11	休みの日なにしてるん？（笑）
15:01	ゆうげん	今日イカゲームみてる
15:02	あすか 11/19 8/11	土日祝はマイホームのこととかゆーくんとの連絡優先してるのに
15:02	あすか 11/19 8/11	[スタンプ]
15:02	あすか 11/19 8/11	私は1人でなにか見る暇なんてないのに
15:02	あすか 11/19 8/11	[スタンプ]
15:05	あすか 11/19 8/11	もーー怒る
15:11	あすか 11/19 8/11	叫びたい気分
15:25	あすか 11/19 8/11	なぁ
15:25	あすか 11/19 8/11	もー
17:02	ゆうげん	ごめんやん
17:06	あすか 11/19 8/11	"25日14時以降
26日時間未定

泉北ホームとアイ工務店(三愛住宅)のモデルハウス見に行くよ〜"
17:07	ゆうげん	おけ
17:07	ゆうげん	準備万端でまっとく
22:11	あすか 11/19 8/11	☎ 不在着信

2021/09/24(金)
08:20	ゆうげん	ままおは
08:39	あすか 11/19 8/11	おはよ
08:43	ゆうげん	ままおはよ
08:43	ゆうげん	帰りたい
12:06	あすか 11/19 8/11	大阪で家族3人で生活したいぃ
12:07	あすか 11/19 8/11	またメルカリお願いしてい？
13:40	ゆうげん	おっけ
20:17	あすか 11/19 8/11	ありがと
20:17	あすか 11/19 8/11	もっと出品数増やさなァァァ
20:39	ゆうげん	できてたー?
21:25	あすか 11/19 8/11	いえす
21:26	あすか 11/19 8/11	なかなかいいねも着くの少なくなってるなぁ
21:26	あすか 11/19 8/11	コメント来たと思ったら品切ればっかり
21:26	あすか 11/19 8/11	出品数増やすの頑張るしかないか
21:26	あすか 11/19 8/11	がんばろ、、
21:28	ゆうげん	まあ取り合いやしな
21:34	あすか 11/19 8/11	いや、私の作業量の少なさよ
21:41	ゆうげん	そう??
21:57	あすか 11/19 8/11	うん、みんな毎日コツコツ出品して出品数300とか500とかなってるし上位表示も毎日してるやろうし！
21:59	ゆうげん	やっぱ出品数やな
21:59	あすか 11/19 8/11	そうね〜少なすぎる
22:00	ゆうげん	とりあえず出品数して
22:01	ゆうげん	いこ
22:01	あすか 11/19 8/11	そんなんわかっとるーーーーーー
22:02	ゆうげん	笑
22:02	ゆうげん	なぎ忙しい時期やもんなぁ

2021/09/25(土)
07:13	あすか 11/19 8/11	まぁでもいい訳よなー
07:13	あすか 11/19 8/11	がんばらなー
07:19	ゆうげん	おはー
07:19	ゆうげん	今日14:00やっけ
08:00	あすか 11/19 8/11	それくらい
08:18	ゆうげん	おけ
08:19	ゆうげん	コーヒー飲みながら待機しとくわ
08:19	ゆうげん	あー
08:19	ゆうげん	ままっちしたい
13:36	あすか 11/19 8/11	今日14時以降！何時かは確定してない
13:37	ゆうげん	いつでもー
14:37	あすか 11/19 8/11	☎ 通話時間 0:30
14:38	ゆうげん	☎ 通話に応答がありませんでした
14:39	ゆうげん	つなぎ
14:39	あすか 11/19 8/11	ごめん杉本のパパのスマホから書ける！追加してLINE
14:39	ゆうげん	いや分からんて
14:40	あすか 11/19 8/11	今行った
14:40	あすか 11/19 8/11	ついかできた？
14:40	ゆうげん	うん
17:09	ゆうげん	☎ 通話時間 7:29
17:09	ゆうげん	ほとんど止まってる
17:44	ゆうげん	まだおる?
17:44	あすか 11/19 8/11	どこに？？？
17:44	ゆうげん	あーりけ
17:44	あすか 11/19 8/11	おるよ〜
17:45	あすか 11/19 8/11	どした？
17:47	あすか 11/19 8/11	ん？
17:47	あすか 11/19 8/11	どしたのーーー
17:48	ゆうげん	でんわ
17:49	あすか 11/19 8/11	今もいけるよ？？
17:50	ゆうげん	ちょいまち
18:17	あすか 11/19 8/11	[写真]
18:51	ゆうげん	☎ 通話時間 57:13
20:04	ゆうげん	☎ 通話をキャンセルしました

2021/09/26(日)
07:24	あすか 11/19 8/11	ごめん寝かしつけからの寝落ちぃ
08:43	ゆうげん	おへー
13:51	あすか 11/19 8/11	おは
13:51	ゆうげん	へへー
13:51	ゆうげん	俺も昨日即死した
13:51	ゆうげん	眠りの沼に落ちた
13:52	ゆうげん	今日のままとナギくれ
14:44	あすか 11/19 8/11	あとでね(´･ ･`)
14:44	あすか 11/19 8/11	今から三愛住宅のモデルハウス観に行く〜
14:45	ゆうげん	おけー
16:04	あすか 11/19 8/11	[写真]
16:44	あすか 11/19 8/11	☎ 通話時間 1:31:29

2021/09/27(月)
18:02	ゆうげん	まみー
18:02	ゆうげん	ナギー
18:02	ゆうげん	愛してるよー
18:22	ゆうげん	そしてまま
18:23	ゆうげん	15マン振り込んでほし
18:43	あすか 11/19 8/11	何で15まんも？
18:43	あすか 11/19 8/11	前も7万とか振り込んだで？笑
18:43	ゆうげん	保険が11
18:43	あすか 11/19 8/11	しかも給料もらってないで？笑
18:44	ゆうげん	クレジットが8
18:44	ゆうげん	お願いしますm(_ _)m
18:44	あすか 11/19 8/11	この2.3ヶ月のお給料日どこいった？
18:44	ゆうげん	今月までですので
18:44	ゆうげん	お願いします
18:44	あすか 11/19 8/11	保険なんでそんなにするん？
18:44	あすか 11/19 8/11	クレジット8ってなに！
18:44	ゆうげん	ボーナスバラいのやつ
18:44	ゆうげん	服とか食費
18:44	あすか 11/19 8/11	ボーナス払いなんでいまくるん？
18:45	ゆうげん	わからん
18:45	ゆうげん	でも保険11
18:45	あすか 11/19 8/11	せっかく100万下回らんようにしてるのに
18:45	あすか 11/19 8/11	今回ので下回る
18:45	ゆうげん	ごめん
18:45	ゆうげん	次から気をつける
18:45	あすか 11/19 8/11	こっちでの生活も貯金おろしてしてるのに
18:45	あすか 11/19 8/11	カラーも行こうと思ってたけどやめとく
18:46	ゆうげん	ごめん
18:46	あすか 11/19 8/11	保険なんで11かわからんの？
18:46	あすか 11/19 8/11	今ボーナス払いっておかしいw
18:46	ゆうげん	確認する
18:46	あすか 11/19 8/11	6月からお給料こっちに一銭もおくってもらってないけどそれ残ってないん？
18:47	ゆうげん	ない
18:47	あすか 11/19 8/11	なんで？笑
18:47	ゆうげん	1番服買う時期やったから
18:47	あすか 11/19 8/11	6月からやで？やばいやん
18:47	あすか 11/19 8/11	15って、、
18:47	ゆうげん	ごめん
18:47	あすか 11/19 8/11	払わなあかんもんは払わなあかんから送るしかないけど最悪、、
18:48	あすか 11/19 8/11	てか保険はよみなおさな
18:48	あすか 11/19 8/11	確認して
18:48	あすか 11/19 8/11	なんで今ボーナス払いなんか
18:48	ゆうげん	"俺の給料しかないからきつい
副業またやりたい"
18:48	あすか 11/19 8/11	いや、贅沢せず普通の生活するだけ苦しくはないはず
18:49	ゆうげん	生活費はかなり削ってるで
18:49	ゆうげん	食費1.5マン行ってへんし
18:49	あすか 11/19 8/11	いや、普通は優先順位が生活費からやから
18:49	あすか 11/19 8/11	とりあえず送るしかないから送るけど
18:50	あすか 11/19 8/11	貯金100万切るよ
18:50	ゆうげん	ごめん
18:50	あすか 11/19 8/11	そしてそこからこっちでの生活費出してるから
18:50	ゆうげん	来月からちゃんとする
18:50	あすか 11/19 8/11	減る一方やで
18:50	あすか 11/19 8/11	前も7マンの時5万服売って返すって言ってたけど
18:51	ゆうげん	写真撮る環境がない
18:51	あすか 11/19 8/11	それはまだ少しも何も出来てないの？
18:51	あすか 11/19 8/11	フリマサイトでうる分にはそんなに写真撮る環境どうのこうのいらんくない？
18:51	あすか 11/19 8/11	今までも売れてたのに
18:51	あすか 11/19 8/11	明日送る15
18:52	ゆうげん	ありがとう
18:52	ゆうげん	床も壁も変えたい
18:52	ゆうげん	フリマで売る写真が取れない
18:58	あすか 11/19 8/11	フリマで売るのは今までもやってたやん
18:59	あすか 11/19 8/11	フリマで売るのに写真撮る環境がとかゆってる場合じゃないよ、、
19:14	ゆうげん	むー
19:14	ゆうげん	頑張る
19:14	ゆうげん	やっぱひとりやと
19:14	ゆうげん	色々やる気でん

2021/09/28(火)
00:23	あすか 11/19 8/11	"送ってくれるって言ってた荷物ってまだまとめてない？
追加で
黄色の顔拭くやつと
あとナギの保湿するのって
なんかあまってたっけ？"
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	これあまってたらほしい
00:25	あすか 11/19 8/11	[写真]
00:26	あすか 11/19 8/11	なぎのはこんな感じの
10:10	ゆうげん	おけおけ
10:10	ゆうげん	送るね！
10:10	ゆうげん	もっかいまとめ送ってー
16:54	あすか 11/19 8/11	余裕あれば送る
16:54	あすか 11/19 8/11	覚えてる分いけるときまとめてみて
16:54	あすか 11/19 8/11	そして保険なぜ今11かまた確認しててねー
16:55	あすか 11/19 8/11	ほんで今日何かといつもとリズムズレてまだ振込みいけてないけど今日じゃないとまずい感じ？
22:00	ゆうげん	いや
22:00	ゆうげん	きょうじゃなくていいよーー
22:00	ゆうげん	なんかメッセも今届いた
22:02	ゆうげん	今日もうまとめたよー
22:02	ゆうげん	あとはリスト貰って確認
23:21	あすか 11/19 8/11	今何まとめてくれてる？
23:22	ゆうげん	"なぎの服
なぎのクリーム的なの
ママの顔拭き
ママのワクチン券
もえみのプレゼント2"
23:45	あすか 11/19 8/11	[写真]
23:45	ゆうげん	あ
23:45	ゆうげん	これどこやっけ

2021/09/29(水)
07:08	あすか 11/19 8/11	薬とか入った棚のどこか
08:22	ゆうげん	おけ
08:22	ゆうげん	じゃあ今日中に送るね！
08:22	ゆうげん	遅なってごめんや
20:37	あすか 11/19 8/11	"今日も振り込めてない
明日には振り込むー"
20:37	あすか 11/19 8/11	今日電話いける？
20:37	ゆうげん	全然大丈夫!
20:37	ゆうげん	もちち
20:37	ゆうげん	何時からー?
20:37	あすか 11/19 8/11	なぎ今から寝かせるから寝たら言う
20:38	ゆうげん	おけ
20:38	ゆうげん	先風呂入るわ
20:45	あすか 11/19 8/11	寝た
20:49	ゆうげん	早い早い
21:24	ゆうげん	おけ
21:37	あすか 11/19 8/11	イヤホンとってくる
21:53	あすか 11/19 8/11	☎ 不在着信
23:43	あすか 11/19 8/11	☎ 通話時間 1:50:18
23:48	あすか 11/19 8/11	[写真]
23:51	あすか 11/19 8/11	☎ 通話時間 7:53
23:53	ゆうげん	もう土地候補上がってから教えて
23:53	ゆうげん	それがないとなんも話されへん
23:55	ゆうげん	金額抑えて子どものために貯金だって大事なことやん
23:55	ゆうげん	それなら少し広範囲で土地探すのだって一つの手やん
23:59	ゆうげん	俺はどうしたらいいん

2021/09/30(木)
01:07	あすか 11/19 8/11	"大きな買い物の事やし
色んな人に相談してみる！"
01:07	あすか 11/19 8/11	それなりに決まったら連絡するわ
01:17	ゆうげん	ごめん
01:17	ゆうげん	あすかがすごく場所気にするのもわかってるから
01:17	ゆうげん	色々見てみて

2021/10/01(金)
08:42	ゆうげん	おはよう
22:51	ゆうげん	あすか
22:51	ゆうげん	ごめん
23:58	あすか 11/19 8/11	何のごめん？
23:59	ゆうげん	頑張ってるあすかの気持ち
23:59	ゆうげん	組めてなかった
23:59	あすか 11/19 8/11	どゆこと？
23:59	ゆうげん	お家の件とか
23:59	ゆうげん	お金の件
23:59	ゆうげん	俺ももっと節約したりしないとね

2021/10/02(土)
