/11	ボサボサ頭で食パン頬張る梛人
20:43	ゆうげん	お疲れ様
20:43	ゆうげん	お風呂?
20:43	ゆうげん	俺30分くらい意識飛んでた
21:10	あすか 11/19 8/11	お風呂入って上あがってきた
21:10	あすか 11/19 8/11	仮眠？
21:19	ゆうげん	おゆうね
21:23	あすか 11/19 8/11	[写真]
21:23	あすか 11/19 8/11	この歌クソ泣ける
21:24	ゆうげん	ママに響く曲
21:25	あすか 11/19 8/11	めちゃめちゃ
21:26	あすか 11/19 8/11	こんなん歌われたら号泣
21:27	ゆうげん	そんなにか
21:29	あすか 11/19 8/11	え
21:29	あすか 11/19 8/11	うん
21:30	あすか 11/19 8/11	聴いてみて
21:30	ゆうげん	後で聞いてみようかな
21:30	ゆうげん	[スタンプ]
21:30	あすか 11/19 8/11	あ
21:30	あすか 11/19 8/11	きかんやつ
21:33	ゆうげん	[スタンプ]
21:53	あすか 11/19 8/11	やっぱきかんのね
21:54	あすか 11/19 8/11	ねた
22:01	ゆうげん	お疲れ様
22:03	あすか 11/19 8/11	おつかれさま
22:04	ゆうげん	ままおやつ食べー
22:09	あすか 11/19 8/11	ん？
22:13	ゆうげん	松本さんから貰ったやつ
22:18	あすか 11/19 8/11	写真送ったあと食べた
22:18	ゆうげん	なんやもう食べたんか
22:18	ゆうげん	ゴミだけ捨ててくるな
22:18	あすか 11/19 8/11	うん
22:18	ゆうげん	帰ってきたらTel
22:18	あすか 11/19 8/11	色々落ち着いてて余裕あればで良いよ
22:18	あすか 11/19 8/11	眠かったら寝てねー
22:26	ゆうげん	落ち着いたよ
22:36	あすか 11/19 8/11	さっきの歌2回連続で聴いてきた
22:36	あすか 11/19 8/11	お疲れ様

2022/02/13(日)
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	https://www.instagram.com/p/CYgjDffPRgi/?utm_medium=copy_link
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:08	あすか 11/19 8/11	[写真]
00:29	ゆうげん	☎ 通話時間 1:47:07
00:29	ゆうげん	☎ 通話をキャンセルしました
00:30	あすか 11/19 8/11	ずっときこえてる
00:30	あすか 11/19 8/11	☎ 通話時間 0:29
00:30	ゆうげん	☎ 通話をキャンセルしました
00:30	あすか 11/19 8/11	出てるのにすぐ切れる
02:39	ゆうげん	☎ 通話時間 2:08:59
10:09	ゆうげん	おはよう
10:09	ゆうげん	今起きた
10:26	ゆうげん	ママゆっくりできた?
10:34	あすか 11/19 8/11	おはよ
10:34	あすか 11/19 8/11	うん、それなりに寝たー
10:35	ゆうげん	松本さんのであってる?
10:36	あすか 11/19 8/11	"ちょっとあーりんちに
どこの使ってるかきいてみてる"
10:36	ゆうげん	"うん
確認してみて"
11:20	あすか 11/19 8/11	☎ 通話時間 4:28
11:20	あすか 11/19 8/11	"スーパーいってらっしゃい！
お気をつけて〜"
11:22	ゆうげん	送っといてね！
11:22	ゆうげん	気をつける
11:29	あすか 11/19 8/11	"なんか文章下手やけど
とりあえず送った（笑）"
11:37	ゆうげん	おけおけ
12:20	あすか 11/19 8/11	追加の要望ありがとーー
12:20	あすか 11/19 8/11	今日はお昼何食べるの？
12:20	ゆうげん	お好み焼きにしようか
12:20	ゆうげん	なと
12:20	ゆうげん	いえいえー
12:21	あすか 11/19 8/11	いいね
12:21	あすか 11/19 8/11	私はおかゆ
12:22	あすか 11/19 8/11	午後はスーパー行こっと
12:23	あすか 11/19 8/11	ナギのものばっかりストックして自分の食べるもの無さすぎる😇笑
12:23	ゆうげん	ホンマやで
12:23	ゆうげん	しっかり食べな
12:39	あすか 11/19 8/11	割とちゃんと食べようと思ったらそこそこお金飛ぶな〜て思うと自分は適当にしよって定期的になる😂
14:01	ゆうげん	毎日ちゃんと食べ
16:24	あすか 11/19 8/11	まぁ
16:24	あすか 11/19 8/11	良くも悪くも適当に
16:24	あすか 11/19 8/11	します🥺🙏🏼
16:34	ゆうげん	ゆっくりしてね
16:36	あすか 11/19 8/11	やべぇ
16:36	あすか 11/19 8/11	買い物行きたいのに
16:36	あすか 11/19 8/11	雨や
16:37	あすか 11/19 8/11	[動画]
16:37	あすか 11/19 8/11	"入れようとしてる場所は
合ってるけどなかなか
入れれんくてイライラ（笑）"
16:48	あすか 11/19 8/11	☎ 不在着信
16:58	ゆうげん	俺も雨で
16:58	ゆうげん	頭痛い
16:58	ゆうげん	偏頭痛
16:58	ゆうげん	イライラなぎちゃん
16:59	あすか 11/19 8/11	ゆっくりしてください
17:00	ゆうげん	"ちょっと待ってね
落ち着いたら電話しよ"
17:12	あすか 11/19 8/11	大丈夫大丈夫
17:13	あすか 11/19 8/11	無理せずー
17:43	ゆうげん	ありがとうね
17:43	ゆうげん	まま
17:43	ゆうげん	大好きよ
17:44	あすか 11/19 8/11	なに急に
17:44	あすか 11/19 8/11	ちょっとこわい
17:44	あすか 11/19 8/11	[スタンプ]
17:48	ゆうげん	言うと思った
17:48	ゆうげん	怖い
18:10	あすか 11/19 8/11	普通ににやけたし
18:10	あすか 11/19 8/11	嬉しかった
18:10	あすか 11/19 8/11	"でも久々やなぁて思って
どう反応しようかなって"
18:10	あすか 11/19 8/11	[スタンプ]
18:10	あすか 11/19 8/11	今日らいおんハート歌って
18:11	あすか 11/19 8/11	（笑）
18:24	ゆうげん	歌うわ
18:24	ゆうげん	声ならしとこ
19:23	あすか 11/19 8/11	歌ってくれるのー？？
19:23	あすか 11/19 8/11	うれし
19:23	ゆうげん	うたうよ
19:23	あすか 11/19 8/11	🙈🙈🙈🙈🙈🤎
19:23	ゆうげん	綺麗に綺麗にごしごしー
19:23	ゆうげん	歌うよ🎤
19:23	あすか 11/19 8/11	え？
19:24	あすか 11/19 8/11	らいおんハート🦁
19:32	ゆうげん	らいおんハート
19:32	ゆうげん	うたう
19:39	あすか 11/19 8/11	やったーーー
19:40	あすか 11/19 8/11	[スタンプ]
19:41	あすか 11/19 8/11	[写真]
19:41	あすか 11/19 8/11	[写真]
19:41	あすか 11/19 8/11	[写真]
19:42	ゆうげん	だいたいあってる
19:42	ゆうげん	[スタンプ]
19:43	あすか 11/19 8/11	3人とも？
19:44	あすか 11/19 8/11	梛はまだわからんよね〜
19:49	ゆうげん	ナギは
19:49	ゆうげん	どうやろなぁ
19:49	ゆうげん	でも大人しくなりそう
19:53	あすか 11/19 8/11	あ
19:53	あすか 11/19 8/11	ねぇ
19:53	あすか 11/19 8/11	今日なんか届いた？
19:54	ゆうげん	あ
19:54	ゆうげん	ロッカー入ってるかも
19:54	ゆうげん	シャワー浴びてた時に届いてたかも
19:55	あすか 11/19 8/11	朝シャワー？
19:55	あすか 11/19 8/11	届いてるんかな
19:55	ゆうげん	朝起きシャワー
19:55	ゆうげん	今日届く予定??
19:55	あすか 11/19 8/11	今日の午前中
19:57	ゆうげん	見てくるね
19:58	あすか 11/19 8/11	うん、ちゃんと届いてるかな
20:02	ゆうげん	部屋番号
20:02	ゆうげん	なんて書いた?
20:03	ゆうげん	あー
20:03	ゆうげん	不在で持ち帰ってる
20:03	ゆうげん	これすぐ食べなあかんやつ?
20:06	あすか 11/19 8/11	203
20:06	あすか 11/19 8/11	すぐじゃなくていける
20:12	ゆうげん	今日はもう受け取れんかった
20:13	ゆうげん	明日朝イチで受け取るね
20:13	ゆうげん	わざわざありがとう
20:13	あすか 11/19 8/11	"明日お仕事は？出社？
急がなくても大丈夫"
20:14	ゆうげん	火曜出社!
20:14	あすか 11/19 8/11	中身しょうもないし
20:14	あすか 11/19 8/11	火曜だけ？？
20:14	ゆうげん	そそ
20:14	ゆうげん	ううん
20:14	ゆうげん	ママから貰うものは
20:14	ゆうげん	元気出る
20:15	あすか 11/19 8/11	あれ？出社週1？
20:16	ゆうげん	なんか来週は週一
20:16	あすか 11/19 8/11	そなんだね
20:16	ゆうげん	再来週はわからん
20:16	あすか 11/19 8/11	そかそか
20:16	あすか 11/19 8/11	"無事に受け取れたら
また教えて〜"
20:16	ゆうげん	良かった良かった
20:17	ゆうげん	もちろん!
20:17	ゆうげん	美味しくいただくね
20:17	あすか 11/19 8/11	"バレンタインぽくもないし
ほんとしょうもないけど
良かったら食べてね〜"
20:22	ゆうげん	ううん
20:22	ゆうげん	嬉しい
20:22	ゆうげん	頑張ってるママが
20:22	ゆうげん	合間をぬって
20:22	ゆうげん	送ってくれてるんや
20:22	ゆうげん	嬉しいよ
20:31	ゆうげん	どんなオシャレなお店のご飯より
20:31	ゆうげん	ママのご飯が好きやし
21:16	あすか 11/19 8/11	そんな風に言ってくれて
21:16	あすか 11/19 8/11	私こそ嬉しい
21:16	あすか 11/19 8/11	一緒にいられる時
21:16	あすか 11/19 8/11	またご飯も頑張りたいなっ
21:18	ゆうげん	もちろん
21:18	ゆうげん	一緒に楽しもう
21:19	あすか 11/19 8/11	今年はバレンタインも作りたかった
21:19	あすか 11/19 8/11	😭
21:25	ゆうげん	来年
21:25	ゆうげん	期待してます
21:26	ゆうげん	[スタンプ]
22:13	あすか 11/19 8/11	梛寝ました

2022/02/14(月)
01:02	ゆうげん	☎ 通話時間 2:48:48
08:36	あすか 11/19 8/11	もうすぐお仕事だよ
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:36	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:38	あすか 11/19 8/11	[スタンプ]
08:40	あすか 11/19 8/11	☎ 不在着信
08:40	ゆうげん	おはよう
08:40	ゆうげん	今起きた
08:40	あすか 11/19 8/11	お
08:40	あすか 11/19 8/11	よかった
08:41	あすか 11/19 8/11	おはよ
08:48	ゆうげん	あぶね
08:55	あすか 11/19 8/11	間に合って良かったです
08:55	あすか 11/19 8/11	"今日も一日無理せずね！
お互い頑張ろ〜"
08:55	あすか 11/19 8/11	また荷物の受け取りだけよろしくです
09:02	ゆうげん	松本さんに
09:02	ゆうげん	言っといて
09:02	ゆうげん	21
09:02	あすか 11/19 8/11	うん
09:09	あすか 11/19 8/11	伝わるかなー？
09:09	ゆうげん	俺はわかるから
09:09	ゆうげん	大丈夫やと思う
09:09	あすか 11/19 8/11	ありがとう
09:10	あすか 11/19 8/11	ひとまず返事待とう
09:16	ゆうげん	[スタンプ]
09:39	あすか 11/19 8/11	[スタンプ]
09:40	あすか 11/19 8/11	[写真]
09:40	あすか 11/19 8/11	[写真]
09:40	あすか 11/19 8/11	[写真]
09:40	あすか 11/19 8/11	[写真]
09:40	あすか 11/19 8/11	[写真]
09:41	あすか 11/19 8/11	"メイク以外起きたままの
🧒🏼👩🏼"
09:41	ゆうげん	なぎちゃんずっとテレビ
09:41	あすか 11/19 8/11	それな！
09:41	あすか 11/19 8/11	私は目が腫れて顔変やし
09:42	あすか 11/19 8/11	やべぇ
10:09	ゆうげん	お菓子届いたよ
10:09	ゆうげん	ありがとう
10:16	ゆうげん	梅田がいいな
10:16	ゆうげん	どうせ見るんなら
10:46	ゆうげん	ポップコーン食べちった
10:48	ゆうげん	☎ 通話をキャンセルしました
11:19	ゆうげん	☎ 通話をキャンセルしました
11:55	ゆうげん	☎ 通話に応答がありませんでした
12:05	ゆうげん	☎ 通話に応答がありませんでした
12:26	あすか 11/19 8/11	☎ 通話時間 1:04
13:11	ゆうげん	チョkお
13:12	ゆうげん	ちょこ
13:12	ゆうげん	お昼にほぼ
13:12	ゆうげん	食べちゃった
17:10	あすか 11/19 8/11	おいしかった？
17:30	ゆうげん	☎ 通話時間 19:47
17:30	あすか 11/19 8/11	きれちゃった
17:30	ゆうげん	wifｉ
17:30	ゆうげん	切れた
17:31	あすか 11/19 8/11	電波悪くなったよね
17:32	あすか 11/19 8/11	眠そうやったね
17:32	あすか 11/19 8/11	寝るー？
17:33	ゆうげん	いや
17:33	ゆうげん	一応あと15分頑張る
17:35	あすか 11/19 8/11	だよね
17:35	あすか 11/19 8/11	ファイトぉぉ
17:39	あすか 11/19 8/11	[写真]
17:39	あすか 11/19 8/11	[写真]
17:39	あすか 11/19 8/11	メルカリの写真これが限界（笑）
17:40	ゆうげん	可愛い
17:40	あすか 11/19 8/11	もっと綺麗にとれたらよかったけどだめだ
20:59	ゆうげん	おはよう
21:57	あすか 11/19 8/11	おはよ
21:59	ゆうげん	お疲れ様
21:59	あすか 11/19 8/11	お疲れ様〜
23:49	あすか 11/19 8/11	[写真]
23:49	あすか 11/19 8/11	[写真]
23:49	あすか 11/19 8/11	[写真]
23:49	あすか 11/19 8/11	[写真]
23:49	あすか 11/19 8/11	[写真]
23:49	あすか 11/19 8/11	[写真]
23:59	あすか 11/19 8/11	[写真]
23:59	あすか 11/19 8/11	[写真]
23:59	あすか 11/19 8/11	[写真]
23:59	あすか 11/19 8/11	[写真]

2022/02/15(火)
01:10	ゆうげん	☎ 通話時間 3:04:15
07:45	ゆうげん	おはよう
08:15	あすか 11/19 8/11	おはよーー
08:16	ゆうげん	今日は
08:17	ゆうげん	寝起きよかった
08:33	あすか 11/19 8/11	それはよかった
09:39	ゆうげん	頑張ろうね
10:54	あすか 11/19 8/11	うん、がんばろーー
10:55	あすか 11/19 8/11	ゆーゆーファイト
12:02	ゆうげん	今日は
12:03	ゆうげん	生ハムパスタ4種のチーズソース
12:30	あすか 11/19 8/11	なにそれめちゃんこおいしそ
12:30	あすか 11/19 8/11	どこかで買ったの？？
12:31	あすか 11/19 8/11	生ハムぅぅ
12:31	ゆうげん	デニーズ
12:31	ゆうげん	[スタンプ]
12:32	あすか 11/19 8/11	え、デニーズにそんなメニューあるの？
12:32	ゆうげん	そそ
12:32	あすか 11/19 8/11	おいしそぉぉ
12:32	あすか 11/19 8/11	デニーズあるんだね、会社の近く
12:32	ゆうげん	そそ
12:32	あすか 11/19 8/11	持ち帰りとかできるもんね〜
12:32	ゆうげん	徒歩3分くらいのとこ
12:32	あすか 11/19 8/11	近いね！
12:33	あすか 11/19 8/11	もう食べてる？おいし？
12:45	ゆうげん	もう食べ終わった
12:58	ゆうげん	早く帰りたい
14:21	あすか 11/19 8/11	生ハムとチーズはおいしそ
14:32	ゆうげん	あすかとも
14:32	ゆうげん	食べたい
14:32	ゆうげん	なまはみゅ
15:52	あすか 11/19 8/11	なんや、なまはみゅって
15:52	あすか 11/19 8/11	😕
15:52	ゆうげん	つっこむかぁ
15:52	ゆうげん	そこ
15:53	あすか 11/19 8/11	え、触れたアカンの
16:09	ゆうげん	うそうそ
16:09	ゆうげん	冗談です
17:30	あすか 11/19 8/11	なんだよー
17:31	あすか 11/19 8/11	今日は午前中に少しだけ公園いった
17:31	あすか 11/19 8/11	[写真]
17:31	あすか 11/19 8/11	[写真]
17:43	ゆうげん	たのしそう
17:43	ゆうげん	今日久々にゲームしよや
18:46	あすか 11/19 8/11	するーーっ
19:13	ゆうげん	そろそろ帰るで
20:13	あすか 11/19 8/11	お仕事お疲れ様です
20:13	ゆうげん	ママもお疲れ様
22:54	あすか 11/19 8/11	1時間ほど寝ちゃってた
22:54	あすか 11/19 8/11	お疲れ様
22:55	ゆうげん	おはよう
22:55	ゆうげん	お風呂入ってるよ
22:56	あすか 11/19 8/11	なんかめっちゃ雨？ふってる
22:56	ゆうげん	東京は
22:56	ゆうげん	寒いで
22:57	あすか 11/19 8/11	しっかりあったまりなよ
22:59	ゆうげん	アナとアリエルが
22:59	ゆうげん	リアルだったら
22:59	ゆうげん	[写真]
22:59	ゆうげん	らしい
23:00	ゆうげん	[写真]
23:25	ゆうげん	起きてる?

2022/02/16(水)
00:02	あすか 11/19 8/11	さすが，美人
00:02	あすか 11/19 8/11	寝ちゃってた、、
00:14	ゆうげん	おはよう
00:14	ゆうげん	大丈夫?
00:47	ゆうげん	もうねるねーーー
00:49	ゆうげん	今日もお疲れ様
00:49	ゆうげん	ゆっくりしてな
01:06	あすか 11/19 8/11	ごめん起きてられんかった
07:14	ゆうげん	おはよう
08:45	あすか 11/19 8/11	おはよう
08:47	ゆうげん	ゆっくりできた?
09:18	あすか 11/19 8/11	一瞬起きてまた寝てみたいなよくわからん感じやったから朝も全然スッキリ起きれんかった
09:18	ゆうげん	あらま
09:19	あすか 11/19 8/11	朝スッキリ起きたいよなぁ
09:19	あすか 11/19 8/11	"私がぐっすりできたとしても
梛は起床までぐっすりなんて
あんまないからね"
09:21	あすか 11/19 8/11	あんまりはっきり記憶にないけど毎晩梛がぐずって数回起きてるっていうのは覚えてる
10:59	ゆうげん	うーん
10:59	ゆうげん	なぎちゃん早いし
11:00	ゆうげん	夜泣きもあるからなぁ
12:55	あすか 11/19 8/11	でも今はお昼寝ようと思えば寝れるし
12:55	あすか 11/19 8/11	大丈夫！
12:55	あすか 11/19 8/11	[写真]
12:55	ゆうげん	笑
