11/19 8/11	そうやな、キツイやろな
12:58	あすか 11/19 8/11	蒸し野菜食べたいな
12:58	ゆうげん	お昼?
12:58	あすか 11/19 8/11	ううん、小籠包と一緒に
12:59	ゆうげん	野菜種類送ってや
12:59	ゆうげん	お昼すぎ業スー行ってくる
12:59	あすか 11/19 8/11	キャベツときのこ類
12:59	ゆうげん	ういうい
14:12	あすか 11/19 8/11	[写真]
14:12	あすか 11/19 8/11	[写真]

2023/07/17(月)
19:44	あすか 11/19 8/11	今週末も美味しいご飯にナギの相手にお疲れ様でした
19:44	あすか 11/19 8/11	気をつけて
20:43	ゆうげん	バスのった
20:43	ゆうげん	気を付けるで
20:47	ゆうげん	流石に
20:47	ゆうげん	身体がやられるな
20:48	あすか 11/19 8/11	暑いだけで身体疲れるからなぁ
20:48	あすか 11/19 8/11	熱中症対策しっかりね
20:48	あすか 11/19 8/11	あと病気の感染予防も忘れず
20:48	ゆうげん	"まじで
昼寝なしやとやられる"
20:48	ゆうげん	気を付ける
20:49	あすか 11/19 8/11	早く夏おわってほしい
20:54	ゆうげん	毎年これか
20:55	ゆうげん	しんどいねぇ
20:59	あすか 11/19 8/11	な、これ毎年よ、まじしんどい
21:37	ゆうげん	秋になったら
21:37	ゆうげん	ゆっくりお散歩して過ごそう
21:37	ゆうげん	早く4人でお出かけしたいね
21:37	ゆうげん	あよ
21:37	ゆうげん	あと
21:37	ゆうげん	3人目も一応視野に入れないとね
21:41	あすか 11/19 8/11	3人目な、いつ頃までにっていうのは考えとかないとな
21:41	ゆうげん	あすかが
21:41	ゆうげん	30なる前
21:41	ゆうげん	29の年かな
21:41	あすか 11/19 8/11	ココサンダル出品停止するの忘れてて売れてしもた
21:42	ゆうげん	あら
21:42	あすか 11/19 8/11	出しにいかないとや
21:42	あすか 11/19 8/11	今お腹におる子と2歳差とかになるんかな
21:42	ゆうげん	ヤマトに取りに来てもらえた気がする
21:42	ゆうげん	せやな
21:45	あすか 11/19 8/11	やり方とかわからんしコンビニ乗せてってもらう方が早いかな
21:45	ゆうげん	うむ
21:45	ゆうげん	サンダル出した?
21:46	ゆうげん	2こめ黒24
21:46	あすか 11/19 8/11	まぁ後のこと考えると30までに出産終えてたいのはあるけどな、大変そやけど
21:47	あすか 11/19 8/11	ウーフォスやんな、写真あるし出せるのは出せる
21:47	ゆうげん	出しちゃえ
21:47	ゆうげん	頑張ろ
21:47	ゆうげん	とりあえず3人
21:50	あすか 11/19 8/11	充電やばいから歯磨きやらして寝室行ったらやる
21:51	あすか 11/19 8/11	でも2歳差って下の子が1歳ちょっととかでまた妊娠やんな？
21:52	あすか 11/19 8/11	悪阻とかあったら耐えれるかな、、
22:36	ゆうげん	逆
22:36	ゆうげん	に
22:36	ゆうげん	早めにすませられると思おう

2023/07/18(火)
10:10	あすか 11/19 8/11	どゆこと？
10:10	ゆうげん	早めに出産イベントを終えられる
10:11	あすか 11/19 8/11	でも、おチビちゃんおってナギの幼稚園の送迎もあって…てなると不安しかない
10:11	ゆうげん	頑張るしかない
10:11	あすか 11/19 8/11	ホンマにちゃんと考えてから望まないとなぁ
10:11	ゆうげん	おれも
10:12	ゆうげん	会社辞めて大阪戻らんと
10:12	あすか 11/19 8/11	とりあえず今は今のお腹の子のことで精一杯やからまだそんな3人目のことなんて考えられん
10:22	ゆうげん	いまから
10:23	ゆうげん	採血＆血圧測定
10:23	ゆうげん	倒れんようにする
10:30	ゆうげん	終わった
10:30	ゆうげん	頑張った
10:34	ゆうげん	採血より
10:35	ゆうげん	血圧がしんどい
11:19	あすか 11/19 8/11	お疲れ様
11:27	ゆうげん	暑すぎ
11:27	ゆうげん	健康診断の道中で健康損なうレベル
11:42	あすか 11/19 8/11	ほんま暑すぎよな、、
11:42	あすか 11/19 8/11	今日も家おっても暑い
11:52	ゆうげん	気をつけてね
11:52	ゆうげん	水分と塩分しっかり取って
11:59	あすか 11/19 8/11	パパも気をつけてー
12:00	ゆうげん	やばい
12:00	ゆうげん	あつい
12:01	ゆうげん	お昼買いに行くのもやばい
12:02	ゆうげん	[写真]
12:02	ゆうげん	ほげえ
12:03	あすか 11/19 8/11	えぐすぎ
12:03	ゆうげん	俺昔よくこの気温で野球やってたよな
12:03	ゆうげん	インドネシア
12:03	あすか 11/19 8/11	夏なくなって欲しい
12:03	あすか 11/19 8/11	この暑さでスポーツはえぐい
12:03	ゆうげん	汗かけるから
12:04	ゆうげん	逆に楽なのよね
12:04	ゆうげん	スポーツは
12:04	ゆうげん	ただやっぱり熱中症は気をつけないと
12:08	あすか 11/19 8/11	熱中症はほんま気をつけななー
12:08	ゆうげん	アクエリがぶ飲み
12:09	あすか 11/19 8/11	話変わるけど今週末どうするか決めてる？
12:10	ゆうげん	かえるよ
12:10	ゆうげん	余程体調が悪くない限り
12:11	あすか 11/19 8/11	今月結構帰ってきてるし来週も平日休みとってくれてるんやんな？
12:11	あすか 11/19 8/11	無理せず
13:04	あすか 11/19 8/11	メルカリ出してって言ってたのOOFOS  OMEGAの黒の24cmやった？
13:07	ゆうげん	在庫あるやつ
13:07	ゆうげん	見てみ
13:07	ゆうげん	たぶん24
14:09	あすか 11/19 8/11	[写真]
14:09	あすか 11/19 8/11	これやんな
14:10	ゆうげん	そう
17:33	あすか 11/19 8/11	とりあえず今から父に車出してもらってココサンダル発送してきます
17:33	あすか 11/19 8/11	この時間でもあちぃ、、
17:33	ゆうげん	無理せずね
17:33	ゆうげん	これで7-8マンか
17:34	あすか 11/19 8/11	[写真]
17:34	あすか 11/19 8/11	今これですね
17:34	ゆうげん	7か
17:34	ゆうげん	5.8に14000くらい
17:38	ゆうげん	ディズニー行けるやつ
22:01	あすか 11/19 8/11	？
22:01	あすか 11/19 8/11	ゆーくんの数字っていつも理解に苦しむw
22:01	ゆうげん	アスカのお金で
22:01	ゆうげん	ディズニー
22:10	あすか 11/19 8/11	いやそれを言ってるのはわかるけど数字がわからん
22:10	あすか 11/19 8/11	そしてこのお金でディズニーいくなら何年か先やわw
22:10	ゆうげん	58000+14000
22:11	ゆうげん	ディズニーなんて12あったら行けるやろ
22:14	あすか 11/19 8/11	"普段何かとお金飛ぶから
維持してられん"
22:15	あすか 11/19 8/11	ディズニー12は舐めてるw
22:16	ゆうげん	"往復14000*4
hotel 20000*4
入場料9800*4
16万くらいか
"
22:18	あすか 11/19 8/11	*の意味教えて
22:18	ゆうげん	かける
22:18	あすか 11/19 8/11	もっとしそう
22:18	あすか 11/19 8/11	しらんけど
22:18	ゆうげん	カメラ買えるな
22:18	あすか 11/19 8/11	中でも食べたりなんか買ったりするやろし
22:18	ゆうげん	俺やったってカメラ買うかも
22:19	ゆうげん	やったた
22:19	ゆうげん	ら
22:20	あすか 11/19 8/11	子どもらもおるしディズニーはなかなかハードル高いな、金銭的にも
22:21	ゆうげん	せやなぁ
22:21	ゆうげん	まずは大阪の遊びどこ制覇したい
22:22	あすか 11/19 8/11	大阪の遊びどこそんななくない？
22:25	ゆうげん	たしかに
22:25	ゆうげん	キッザニア
22:26	あすか 11/19 8/11	キッザニアなぁ
22:30	ゆうげん	大人の遊び場おおいな
22:30	ゆうげん	神戸行きたい
22:35	あすか 11/19 8/11	うん、子連れで…てなるとなぁ
22:35	あすか 11/19 8/11	神戸も子ども連れてくならアンパンマンミュージアム寄るの必須やな
22:36	ゆうげん	意外と商店街もいいかも
22:37	あすか 11/19 8/11	商店街？
22:37	ゆうげん	走り回れる
22:37	ゆうげん	神戸の商店街
22:37	あすか 11/19 8/11	楽しまれへん
22:37	ゆうげん	むぅ
22:37	あすか 11/19 8/11	追いかけ回さなあかんだけw
22:37	あすか 11/19 8/11	アンパンマンはパンだけほしい私はw
22:38	ゆうげん	俺は海沿いカフェ
22:38	あすか 11/19 8/11	とりあえず車欲しい
22:43	ゆうげん	あ
22:43	ゆうげん	サンダル出した?
22:43	ゆうげん	車いつ聞く?
23:21	あすか 11/19 8/11	サンダル今から
23:21	あすか 11/19 8/11	車はちょいまち
23:22	あすか 11/19 8/11	あーり原因まだ分かってない体調不良中でゆっくり話せてない
23:24	ゆうげん	あい
23:24	あすか 11/19 8/11	サンダルいくらで出す？
23:28	ゆうげん	14500
23:36	ゆうげん	 たぶん秒で売れる
23:42	あすか 11/19 8/11	とりあえず出した
23:45	ゆうげん	ありがとう
23:46	ゆうげん	[写真]
23:46	ゆうげん	めっちゃ疲れた
23:59	あすか 11/19 8/11	出てきたん？
23:59	ゆうげん	うん

2023/07/19(水)
00:00	あすか 11/19 8/11	お疲れ様
00:00	あすか 11/19 8/11	夜道気をつけや
00:00	ゆうげん	ういうい
00:01	あすか 11/19 8/11	[写真]
00:01	あすか 11/19 8/11	今日の限界w
00:02	ゆうげん	みどり
00:02	あすか 11/19 8/11	ココサンダル発送してスーパー寄ってもらって洗い物片付けたら疲れ果てて作る気力なくした
00:02	ゆうげん	あと三日頑張れ
00:02	あすか 11/19 8/11	ごはんにかつお節としらすとごま混ぜた
00:03	あすか 11/19 8/11	ナギ卵焼き一瞬でなくなった
00:03	ゆうげん	足らんかったんかな
00:03	あすか 11/19 8/11	いや、卵焼き食べて枝豆食べてご飯数口食べておわり
00:05	ゆうげん	卵メインね
00:05	ゆうげん	食事大事やから
00:05	ゆうげん	いっぱい食べて欲しい
00:06	あすか 11/19 8/11	今日もきゅうり食べるって言われたから切ったのにひとかじりしただけ
00:06	あすか 11/19 8/11	きゅーりだいすきーとか言いながらかじるのに一口だけ
00:07	あすか 11/19 8/11	謎w
00:12	ゆうげん	なんやろな
00:12	ゆうげん	めっちゃ好き言うのに
10:01	あすか 11/19 8/11	言いたいだけなんかな
10:11	ゆうげん	かもしれんな
10:32	あすか 11/19 8/11	[写真]
10:33	ゆうげん	"ノン
売れるので値引きなし"
19:29	あすか 11/19 8/11	[写真]
19:29	あすか 11/19 8/11	[写真]
19:29	あすか 11/19 8/11	今日久しぶりに集まった
19:30	あすか 11/19 8/11	[写真]
19:30	あすか 11/19 8/11	楽しかったけど疲れたからご飯はこれだけw
19:30	あすか 11/19 8/11	そして昼寝なしやったナギもう寝てしもた
19:34	ゆうげん	おはよう
19:34	ゆうげん	どこで集まったん?
19:34	ゆうげん	申し訳みかん
19:52	あすか 11/19 8/11	？
19:52	あすか 11/19 8/11	さくらの新居
21:14	ゆうげん	新居なのね
21:14	ゆうげん	とかい?
21:14	ゆうげん	ち
21:16	あすか 11/19 8/11	助松で1箇所私らが見に行った土地やった気する

2023/07/20(木)
08:02	ゆうげん	おはようー
08:02	ゆうげん	なるほどね
09:56	あすか 11/19 8/11	おはよう
11:36	あすか 11/19 8/11	[写真]
11:36	あすか 11/19 8/11	これほしいな
11:37	ゆうげん	あれやな
11:37	ゆうげん	ちょい胡散臭いパッケージ
11:37	ゆうげん	でもええで
11:40	あすか 11/19 8/11	早速買おっと
11:40	ゆうげん	いくら
11:40	あすか 11/19 8/11	高いけど
11:41	あすか 11/19 8/11	[写真]
11:41	ゆうげん	😊
11:41	ゆうげん	１個550えん
11:41	ゆうげん	定期はアカンで
11:43	あすか 11/19 8/11	今日は朝からいつもより立ちくらみが酷くて、頭痛もあって、朝も鉄分取らなな〜て思ってオートミールのレシピみてたら鮭使うのも多かったから
11:43	あすか 11/19 8/11	鮭フレークほしくなった
11:43	あすか 11/19 8/11	通常で頼んでもいい？
11:44	ゆうげん	一個では無いの?
11:44	ゆうげん	試しに
11:44	ゆうげん	あと期限もあるし
11:44	あすか 11/19 8/11	わからん
12:00	あすか 11/19 8/11	一個売り見当たらん
12:01	ゆうげん	期限だけ一応確認してみて
12:01	ゆうげん	賞味期限
12:01	ゆうげん	特に書いてないなら
12:02	ゆうげん	とりあえず買ってもいいよ
12:12	あすか 11/19 8/11	賞味期限とかは見当たらんかった
12:13	あすか 11/19 8/11	[写真]
12:13	ゆうげん	おけ
12:13	あすか 11/19 8/11	ギフトカード使われてる感じやけどいい？
12:13	ゆうげん	ひとまず試そ
12:13	ゆうげん	うん
12:13	あすか 11/19 8/11	ありがとう
12:14	あすか 11/19 8/11	今日はまじココ最近で一番立ちくらみが酷い、あと頭重い感じ
12:14	あすか 11/19 8/11	鉄分不足かな
12:15	ゆうげん	俺もめちゃくちゃ関節痛い
12:15	あすか 11/19 8/11	それ今週末やめてた方がいいやつじゃない
12:16	あすか 11/19 8/11	関節痛は怖すぎ、コロナとか
12:16	ゆうげん	むぅ
12:16	あすか 11/19 8/11	まじ怖い、コロナとかの感染症やったら来週もこわい
12:16	ゆうげん	うーん
12:17	あすか 11/19 8/11	来週27日には大阪おれるってことやろ？こわいこわい
12:18	ゆうげん	こわい?
12:18	あすか 11/19 8/11	コロナとかインフルとかなんかしらの体調不良やったら会わない方がいい
12:18	ゆうげん	うーん
12:22	ゆうげん	やめとくか
12:23	あすか 11/19 8/11	やめてた方がいいし27日もめちゃめちゃ慎重になった方がいい
12:24	ゆうげん	うむ..
12:24	あすか 11/19 8/11	ほんで会社いてんと病院行くなり家で様子見るなりした方がいい
12:28	ゆうげん	うむ
12:30	あすか 11/19 8/11	なんかの疲れとかでの関節痛やとしてもそのままやと免疫力も下がっててもらったりするで
12:31	あすか 11/19 8/11	極力一人で居るってのは大事
12:31	ゆうげん	わかった
12:31	ゆうげん	とりあえず土日は安静にする
12:31	あすか 11/19 8/11	土日だけじゃなくて今日明日も極力1人になって
12:32	あすか 11/19 8/11	それが無理ならマスク外さんといて
12:32	あすか 11/19 8/11	ナギもパパは？て楽しみにしてるしいつも
12:33	ゆうげん	わかった
12:33	ゆうげん	頑張って体調戻す
12:33	あすか 11/19 8/11	コロナとかインフルとかなってて来週もアウトはナギも可哀想
12:35	あすか 11/19 8/11	体調戻ってもウイルスは持ってるかもやからちゃんと検査するなりしよ
12:36	あすか 11/19 8/11	"コロナもインフルも熱とか関節痛は1~2日で治まったりするから、健康な成人とかは
それで大丈夫やわって外出る人多いねん検査せんと"
12:37	あすか 11/19 8/11	熱中症とかも関節痛あったりするしちゃんとサボらず塩分水分、極力健康的な食事、お互い頑張ろ
13:04	ゆうげん	頑張る
13:04	ゆうげん	うむ
13:07	ゆうげん	とにかくテレワークにするって言った
13:07	ゆうげん	帰ってる
13:27	あすか 11/19 8/11	来週体調良くてもせめて抗原検査だけでもして
13:27	あすか 11/19 8/11	ちゃんと観察管理して会お
13:51	ゆうげん	うむ
17:26	あすか 11/19 8/11	明日もテレワーク？
17:26	ゆうげん	せやね
17:27	あすか 11/19 8/11	ちゃんと家で過ごすように！
17:44	ゆうげん	安静にするわ
17:56	あすか 11/19 8/11	嘘つかずちゃんと報告してな、来週のこともあるしちゃんと安心して会いたいし
17:56	ゆうげん	もちろん
17:57	ゆうげん	ナギにも迷惑かけられへん
18:15	あすか 11/19 8/11	[写真]
18:15	あすか 11/19 8/11	[写真]
18:15	ゆうげん	やす
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	ゆうげん	微妙
18:17	ゆうげん	シャツくらいかなぁ
18:17	あすか 11/19 8/11	シャツとパーカーかわいい
18:17	あすか 11/19 8/11	あ、パンツも可愛い
18:17	ゆうげん	フルジップパーカーがそもそも好きでない
18:18	あすか 11/19 8/11	でも使い勝手めっちゃいいよね、羽織持っときたいときとかこういうのめっちゃ着せる私は
18:19	ゆうげん	前もパーカーよく着せてたよね
18:19	ゆうげん	ただなぁ
18:19	ゆうげん	あんまり好きじゃない
18:20	あすか 11/19 8/11	私は好き
18:21	ゆうげん	値段は?
18:21	あすか 11/19 8/11	公表されてない
18:29	あすか 11/19 8/11	[動画]
18:30	あすか 11/19 8/11	絶対うそやん
18:37	ゆうげん	わかった(わかってない)
19:18	あすか 11/19 8/11	[写真]
19:18	あすか 11/19 8/11	[写真]
19:20	ゆうげん	ちゃんと食べてる?
19:21	あすか 11/19 8/11	アンパンマンポテト完食して今はひたすら卵焼き食べてる
19:35	ゆうげん	良かった良かった
19:35	ゆうげん	いっぱい食べて欲しい
19:35	ゆうげん	大きくなって欲しい
19:37	あすか 11/19 8/11	[写真]
19:38	ゆうげん	チキンライス?
19:38	ゆうげん	ちゃうわ
19:38	あすか 11/19 8/11	鮭としめじとほうれん草の炊き込みご飯
19:38	ゆうげん	炊き込みご飯か
19:38	あすか 11/19 8/11	そう
19:40	あすか 11/19 8/11	長時間キッチン立つのしんどいから、ご飯だけで満足できる炊き込みご飯しがち
19:40	ゆうげん	しゃあない
19:40	ゆうげん	あの無添加の調味料なんやっけ
19:40	あすか 11/19 8/11	あまりはおにぎりにして冷凍してる、次の日の朝と昼のご飯
19:40	あすか 11/19 8/11	どれや
19:41	ゆうげん	ガラスープか
19:42	あすか 11/19 8/11	[写真]
19:42	あすか 11/19 8/11	[写真]
19:42	あすか 11/19 8/11	これ
19:42	ゆうげん	そそ
20:24	あすか 11/19 8/11	コンソメで無添加なんかいいのあるかなぁ
20:27	ゆうげん	なんかないかな

2023/07/21(金)
00:09	あすか 11/19 8/11	[写真]
00:09	あすか 11/19 8/11	これとか？
00:09	あすか 11/19 8/11	あとは、栗原はるみさんのも化学調味料は無添加らしい
00:09	あすか 11/19 8/11	https://www.yutori.co.jp/shop/g/gRT100035-999/
00:10	あすか 11/19 8/11	栗原はるみさん調理器具から調味料から色々あった
08:04	ゆうげん	だれーー
08:04	ゆうげん	でも美味しそう
08:04	ゆうげん	探してみる
08:08	ゆうげん	調味料意外と安かった
12:33	ゆうげん	おはよう
14:43	あすか 11/19 8/11	栗原はるみさん知らんのか
14:44	あすか 11/19 8/11	なぎ今日は耳鼻科やった、また薬増えたけど1週間分もらえた
14:58	ゆうげん	知らん知らん
15:00	あすか 11/19 8/11	有名な料理家さんやから知ってるか思った
15:01	あすか 11/19 8/11	[写真]
15:01	あすか 11/19 8/11	[写真]
15:01	あすか 11/19 8/11	協力してもらってハッピーセットのおもちゃちょっと集めてあげたら楽しそう
15:02	ゆうげん	めっちゃ似合うし
15:02	ゆうげん	もうコンプしてない!?
15:02	ゆうげん	めっちゃ似合う
15:03	あすか 11/19 8/11	あと1個だけない
15:03	あすか 11/19 8/11	今日ナギと私と亮介とかハッピーセット頼んで全部違うおもちゃやった
15:04	あすか 11/19 8/11	もうこれ以上はいらん、この頭につけるやつ欲しかったから笑
15:15	ゆうげん	めっちゃ似合うね
15:16	ゆうげん	涼介もよく来てくれてるね
15:16	ゆうげん	感謝感謝
15:16	ゆうげん	ほしいもの聞いといて
18:21	あすか 11/19 8/11	めっちゃ似合ってるよな！
18:22	あすか 11/19 8/11	うん、亮介はよく車も出してもらってる
18:22	あすか 11/19 8/11	ほしいもの聞いとくわ！
18:22	ゆうげん	頭の形綺麗やもんな
18:22	ゆうげん	なぎ
18:22	ゆうげん	カールもあって帽子が良く似合う
19:59	あすか 11/19 8/11	旅行直前まで放置はちょっと遠いかなー
19:59	あすか 11/19 8/11	ナギの髪の毛
20:00	ゆうげん	早めに切ってあげてもいいと思うよ
20:00	あすか 11/19 8/11	前に私が行ってた美容室連れてこかな
20:00	ゆうげん	伸びても長さは揃うし
20:00	ゆうげん	安いとこでいいと思う
20:00	あすか 11/19 8/11	汗もすごいし前髪も邪魔そう
20:00	ゆうげん	あそこ高いし
20:00	ゆうげん	安いとこっていうか
20:00	ゆうげん	近いとき
