 8/11	これはこの色が好き
19:09	ゆうげん	"前髪長さ揃えて
耳元ブロックにしたら"
19:09	ゆうげん	いけそう
19:09	ゆうげん	[写真]
19:09	あすか 11/19 8/11	あの髪型あんま好きちゃうけど私が
19:09	ゆうげん	女の子かわいい
19:09	あすか 11/19 8/11	前髪ぱっつんは可愛いけど
19:09	あすか 11/19 8/11	女の子この子やから可愛いんやこれは
19:10	ゆうげん	とりあえず
19:10	ゆうげん	耳元整えたい
19:10	ゆうげん	バリカンで行けそう
19:11	あすか 11/19 8/11	まじナギ髪の毛薄いから
19:12	あすか 11/19 8/11	失敗できひん
19:18	ゆうげん	うーん
19:19	ゆうげん	天然シースルーやからな
19:22	あすか 11/19 8/11	うん、自然シースルー
19:25	ゆうげん	髪はまじ人生左右するから
19:25	ゆうげん	髪育してあげたい
19:31	あすか 11/19 8/11	まぁでもまだ2歳やから
19:33	あすか 11/19 8/11	ナギのこと否定するんじゃなくてナギが持ってるもので似合う髪型探してあげよ
19:33	あすか 11/19 8/11	[写真]
19:33	あすか 11/19 8/11	[写真]
19:34	あすか 11/19 8/11	こんなにトゥルトゥルサラサラやから
19:34	あすか 11/19 8/11	これはナギの良さだからな
19:34	ゆうげん	たしかにな
19:35	ゆうげん	とりあえずもみあげやな
19:35	ゆうげん	そこだけでも全然ちゃうと思う
19:47	あすか 11/19 8/11	そだよ〜
19:47	あすか 11/19 8/11	うんうん、それだけでも違いそう！
19:48	あすか 11/19 8/11	[写真]
19:48	あすか 11/19 8/11	ふぅーふぅー
19:54	あすか 11/19 8/11	[動画]
19:56	ゆうげん	お巡りさん
19:56	ゆうげん	ちゃんとオチがある
19:58	ゆうげん	毎月
19:58	ゆうげん	ママの贅沢に
19:58	ゆうげん	1万円分
19:58	ゆうげん	メルペイ送ろかな
19:58	ゆうげん	あすかのしたいこと食べたいもののために使うお小遣い
20:11	あすか 11/19 8/11	かわいい、おまわりさん
20:12	あすか 11/19 8/11	えぇぇ、ほんと？そんなことできるの？？？？？
20:12	ゆうげん	5000~10000
20:12	ゆうげん	それくらいのノルマあった方が頑張れる
21:01	あすか 11/19 8/11	そんな私のために、、
21:02	あすか 11/19 8/11	🥲
21:39	ゆうげん	明日香は特別やから
21:49	ゆうげん	生理きそう?
22:03	あすか 11/19 8/11	嬉しいけど無理しないでね
22:03	あすか 11/19 8/11	どーやろ？今日はまだきてないよ〜
22:05	ゆうげん	来なかったら
22:05	ゆうげん	嬉しいけど焦る
22:05	あすか 11/19 8/11	今回はないと思うよ〜
22:26	ゆうげん	じゃあ次やね
22:27	あすか 11/19 8/11	わかんないけどね
22:28	あすか 11/19 8/11	"でも授かりものだから
いつ授かれても喜びたいね"
22:28	ゆうげん	2人目やから
22:28	ゆうげん	色々わかるしね
22:28	ゆうげん	俺もパパとしての自覚あるから
22:28	ゆうげん	困らせないよ
22:29	あすか 11/19 8/11	"今回はないと思うけど、
そろそろ2人目授かれたら
嬉しいね"
22:29	あすか 11/19 8/11	うん、きっと1人目とは違うよね、二人目
22:29	ゆうげん	2人目はさらに頑張らないとね
22:31	あすか 11/19 8/11	ナギの時の同じようには行かんから
22:31	あすか 11/19 8/11	大変そうだなぁ
22:31	あすか 11/19 8/11	でも楽しみだなぁ
22:31	あすか 11/19 8/11	ナギの時はナギが寝てる間一緒に寝るとかできたけど、次は無理やもんね(笑)恐怖(笑)
22:35	ゆうげん	ヤバそう
22:35	ゆうげん	まじで
22:35	ゆうげん	2人以上はひとりとは難易度が段違い
22:58	あすか 11/19 8/11	ね
22:58	あすか 11/19 8/11	やばそうよね
22:58	あすか 11/19 8/11	寝不足

2022/07/26(火)
06:54	ゆうげん	おはよう☀
07:58	あすか 11/19 8/11	おはよ〜
08:03	ゆうげん	おはよう☀
08:04	ゆうげん	今日は風が冷たい
08:07	あすか 11/19 8/11	そうなのか！
08:08	あすか 11/19 8/11	夏やから寒いわけではないよね？
08:09	あすか 11/19 8/11	あ、そういえば今週いつどうやって帰って来る予定？
08:09	あすか 11/19 8/11	[写真]
08:09	あすか 11/19 8/11	住民票ある？
08:09	あすか 11/19 8/11	印鑑証明もか
08:09	ゆうげん	土曜朝かな
08:09	あすか 11/19 8/11	29日金曜日だよ
08:10	ゆうげん	金曜朝やな
08:11	あすか 11/19 8/11	朝帰ってきてそのまま用事大丈夫？
08:11	あすか 11/19 8/11	住民票と印鑑証明ある？
08:13	ゆうげん	前まとめてとったやつあるよ
08:14	ゆうげん	スケジュール的にそれしかできない
08:16	あすか 11/19 8/11	まだ使えるやつやんね？
08:16	ゆうげん	多分
08:16	あすか 11/19 8/11	"用事終わって帰ってきたら
ゆっくりしてね"
08:16	ゆうげん	3ヶ月使えるはず
08:16	あすか 11/19 8/11	3ヶ月やとしたら大丈夫？
08:16	ゆうげん	まあ行けるやろ
08:18	あすか 11/19 8/11	一応みといてね
08:19	あすか 11/19 8/11	南船場ってどこだ
11:24	ゆうげん	北浜の近く
11:33	あすか 11/19 8/11	北浜の近くか！
11:33	あすか 11/19 8/11	岸和田からの北浜付近か〜
12:08	ゆうげん	どういう道のりや?
13:02	あすか 11/19 8/11	わかんないけど岸和田は南海本線やからとりあえず難波とかに出るの？南船場って何駅行ったらいいんやろ
13:03	ゆうげん	南船場は
13:04	ゆうげん	北浜の線で行ける
13:05	あすか 11/19 8/11	じゃあ岸和田から天下茶屋まで行って堺筋線？
14:23	ゆうげん	かな
14:23	ゆうげん	移動めんどいねぇ
16:01	あすか 11/19 8/11	めんどいというか
16:02	あすか 11/19 8/11	暑いし大変よね、私もまだ外怖いし
16:02	ゆうげん	そだよね
16:02	ゆうげん	岸和田のだけ
16:02	ゆうげん	りょうすけ運んでくれないかな
16:03	あすか 11/19 8/11	亮介、まだ保険かけてないままやから母は亮介が運転するのあんまりよく思ってないねんー
16:04	あすか 11/19 8/11	"ほんで、初心者1年間は
親世代の誰かが乗ってないと
運転させてくれんかったし、
私もしゅんも"
16:04	あすか 11/19 8/11	だから無理やと思う
16:28	ゆうげん	レンタカーは嫌やねんなぁ
16:28	ゆうげん	もうこの移動と諸々費用まじでバカになんないから
16:28	ゆうげん	月6,7万飛んでるで
16:29	ゆうげん	なんでこう
16:30	ゆうげん	"非協力的なんかねぇ
まじで払わなくていいお金が飛んでいく
頭痛いわ"
16:34	あすか 11/19 8/11	移動以外で何に飛んでるん？
16:35	ゆうげん	その移動が高い
16:35	ゆうげん	"電車賃
バス代
新幹線代"
16:35	ゆうげん	電車賃とか省略できる
16:35	ゆうげん	車借りれたら
16:36	あすか 11/19 8/11	非協力的というか、みんなギリギリの中でやっててお互い余裕のない同士やからしんどいんやろね
16:36	あすか 11/19 8/11	車は保険かければしゅんは貸してくれると思うよ
16:36	ゆうげん	別に協力せんでいいから邪魔せんといて欲しい
16:37	あすか 11/19 8/11	でも市内とか行くこと多いし駐車場とかもあるしどの道一緒な感じもする…
16:37	あすか 11/19 8/11	邪魔とは？
16:37	あすか 11/19 8/11	結局は私の性格やで、私が悪い
16:38	あすか 11/19 8/11	"何も気にせんとおれる人なら
こうなってないでしょ？
私がめんどいだけよ"
16:40	ゆうげん	かかる費用以上の費用はかけたくない
16:41	あすか 11/19 8/11	どの道何かしらでかかるやろうし
16:42	あすか 11/19 8/11	残れば使うやろうし
16:42	あすか 11/19 8/11	一緒な気がするな
16:42	あすか 11/19 8/11	気に食わんとこで飛ばすのが嫌なだけよね
16:45	ゆうげん	全然ちゃうやん
16:45	ゆうげん	"残れば使うって
ちゃんと未来への投資できる"
16:45	ゆうげん	無駄に使うのはまじでそこで無くなる
16:45	ゆうげん	意味が全然違う
16:46	あすか 11/19 8/11	そこの捉え方も人それぞれよね
16:46	あすか 11/19 8/11	ゆーくんが悪いとかじゃなくて
16:46	あすか 11/19 8/11	お金の話は難しい
16:46	ゆうげん	それはとらえかたじゃない
16:46	あすか 11/19 8/11	いや、色んな捉え方があるよ
16:46	ゆうげん	無駄か無駄じゃないか
16:46	ゆうげん	移動費は無駄
16:46	ゆうげん	安ければやすいほどいい
16:46	あすか 11/19 8/11	"無駄も無駄じゃないもさ、
感覚人それぞれでしょ？"
16:47	ゆうげん	いや誰が見ても無駄
16:47	あすか 11/19 8/11	どちらが悪いとか誰がダメとかじゃなくてそこは人それぞれやで
16:47	ゆうげん	何をどう考えたら無駄じゃなくなるのか分からない
16:47	あすか 11/19 8/11	私自身が正しいとかは全く思わんけど
16:47	あすか 11/19 8/11	ゆーくんの意見や感覚が全てでもないよ
16:47	あすか 11/19 8/11	怒ってるとか全くないけど
16:47	ゆうげん	"いや
減ってるのうちのお金やから"
16:48	ゆうげん	無駄はダメ
16:48	あすか 11/19 8/11	無駄ってだから、人それぞれやから、、
16:48	ゆうげん	投資に見合ってない
16:48	ゆうげん	"俺が出してるお金やねんから
俺が無駄と感じたら無駄"
16:48	あすか 11/19 8/11	ゆーくんが良かれと思って買ってるものが私にとっては無駄やったりすることだってあるし
16:48	ゆうげん	買ったものは売れるけど
16:48	あすか 11/19 8/11	それ言っちゃダメだよ……
16:48	ゆうげん	交通費は売れない
16:49	ゆうげん	全然ちゃう
16:49	あすか 11/19 8/11	とりあえず私は自分責める気持ち以外何も無い最近は
16:49	あすか 11/19 8/11	誰に何言われても思われても
16:49	ゆうげん	"ダメじゃないよ
交通費は満足感もなけりゃ、お腹も膨れない
何になるのよ

急いでいない場合は安ければ安いほどいい"
16:50	あすか 11/19 8/11	"今現時点で使うしかなければ
それは仕方のない出費やと思う"
16:50	あすか 11/19 8/11	それで苦しい思いするのはゆーくんだけじゃない
16:50	ゆうげん	だからこそさらなる無駄は省きたい
16:51	あすか 11/19 8/11	家族がおるってことは自分だけがどうってことじゃない
16:51	ゆうげん	車借りれるなら借りて欲しい
16:51	ゆうげん	お父さんでも
16:51	あすか 11/19 8/11	俺が稼いだお金、俺のお金、て言い方はよくないよ…
16:51	ゆうげん	家族のお金って言ってる
16:51	ゆうげん	出すのは俺
16:51	ゆうげん	ちゃんと読んで欲しい
16:52	あすか 11/19 8/11	一緒じゃん
16:52	あすか 11/19 8/11	家族のお金やから出すのは俺じゃなくて國松
16:52	ゆうげん	その國松にとって無駄
16:53	あすか 11/19 8/11	ゆーくんがそう感じてることはわかったけど
16:53	あすか 11/19 8/11	こういう話になると私もうほんと自分責める気持ち膨らむだけやから
16:53	あすか 11/19 8/11	また会った時に聞かせて欲しい
16:53	あすか 11/19 8/11	今こういう会話するのしんどい、ごめん
16:53	ゆうげん	とりあえず今週末車借りて欲しい
16:54	あすか 11/19 8/11	ゆー君に言われる前に父に連絡とってる
16:54	あすか 11/19 8/11	乗せていってくれるって言ってる、労金は
16:56	あすか 11/19 8/11	労金は終わるまで待っててくれるって
16:56	ゆうげん	それはありがとう
16:56	ゆうげん	岸和田から船場は実費でいい
17:13	ゆうげん	すげー今更やけど
17:13	ゆうげん	あすかが3度目の病院で
17:13	ゆうげん	お母さんの運転で病院行った時
17:14	ゆうげん	くそ暑い中駐車場まで行って
17:14	ゆうげん	歩かせて
17:14	ゆうげん	明日香気持ち悪くなっておぶった時
17:14	ゆうげん	お母さんやべえなって思った
17:14	ゆうげん	普通入口に止めて下ろすやろ
17:15	ゆうげん	そそくさと1人で受付行って
17:15	ゆうげん	車椅子で来たの見て何も言わんし
17:15	ゆうげん	シンプルにやべえなって思った
17:15	ゆうげん	配慮が足りないというか
17:37	あすか 11/19 8/11	わかった
17:37	あすか 11/19 8/11	仕事前で時間ない中でもできることやったらなみたいな正義感はあるけど余裕がなくてどうするのが1番いいとかまで頭回らんかったんやろう
17:38	あすか 11/19 8/11	私だってテンパって最前の方法取れんことはある、、
17:38	あすか 11/19 8/11	そういうミス？は、私は責める権利ないと思ってる、私はね
17:38	あすか 11/19 8/11	自分が同じことせんって保証ないし、、
17:39	あすか 11/19 8/11	これも母は少しでも早く受付済ませてあげようって言う配慮やろうし、、
17:39	あすか 11/19 8/11	病院連れて行ってもらった身の私が責めれるとこじゃないからなぁ……
17:39	あすか 11/19 8/11	ゆー君に申し訳なかったなとは思うけど
17:39	あすか 11/19 8/11	おぶらせたから
17:40	ゆうげん	"なんというか
自分の行動に酔ってる感じ

実際どうじゃなくて
やったことに満足してるというか"
17:41	あすか 11/19 8/11	やれるだけいいと思うけどね、空回りしてても
17:41	ゆうげん	働き者の無能が1番あかんねんけどね
17:41	あすか 11/19 8/11	お義父さんだってそういうとこあるけど、動いてもらってる側の私は何も言っちゃダメだなって思ってる
17:42	あすか 11/19 8/11	やってもらったことに対してケチつけてるみたいな感じやん？それは私したくないなー、、というか、、
17:42	あすか 11/19 8/11	全く無関心の親だって中にはおるからなぁ
17:43	あすか 11/19 8/11	"確かに母は難しい人やし
要領も悪いけど、、"
17:43	あすか 11/19 8/11	残念ながら私もよく似た性格してるから……
17:44	あすか 11/19 8/11	いつもどんな時も母と同じ行動とるわけじゃないし、されたからこそ気をつけたいこともいっぱいあるし
17:44	あすか 11/19 8/11	でもきっと根本は似てるから、、
17:45	あすか 11/19 8/11	私ももっと色々気をつけなな……
17:50	あすか 11/19 8/11	まぁどんな時も、どうして欲しいかってそれぞれやから、どれだけ周りとコミュニケーションとって動くかよね
17:55	ゆうげん	来週國松家泊まっていいって
17:56	あすか 11/19 8/11	いつからいつ？
17:56	ゆうげん	土曜1泊
17:56	あすか 11/19 8/11	今日生理予定日やけどきてないから、排卵日も遅れると思う
17:56	あすか 11/19 8/11	だからこれに関しては厳しそうね
17:57	ゆうげん	まあどっちにしろ
17:57	ゆうげん	泊まれる
17:57	あすか 11/19 8/11	泊まる用の荷物と移動が大変だねまた
17:58	ゆうげん	極力少ない荷物で
17:58	ゆうげん	選別していこう
17:58	あすか 11/19 8/11	このコロナの中予定なしに動くのもなんか罪悪感半端ないけど
17:59	ゆうげん	別になんも減らへんから大丈夫
17:59	ゆうげん	"ここも車欲しいな
行きだけ"
17:59	あすか 11/19 8/11	いや、減らんとかじゃなくて
18:00	あすか 11/19 8/11	私の精神が削れる
18:00	ゆうげん	削ってもしゃあない
18:00	ゆうげん	買い物行くのとなんも変わらん
18:01	あすか 11/19 8/11	近場で買い物するのと遠くに出かけるのは人の多さが違うよ
18:01	あすか 11/19 8/11	削ってもしゃあないって言われても気にしてしまう……
