ゆうげん	あすか
17:14	あすか 11/19 8/11	きっとお義父さんは帰ってくるよな
17:14	ゆうげん	"せやね
帰ると思う"
17:18	ゆうげん	年末は家族でいたいな
17:59	あすか 11/19 8/11	今日聞けた？年末の出社
17:59	ゆうげん	リーダーには言った
18:02	あすか 11/19 8/11	知りたいって？
18:02	ゆうげん	"いや
いつテレワークとか決まってないから"
18:02	あすか 11/19 8/11	決まってないから
18:02	あすか 11/19 8/11	？
18:03	ゆうげん	どんな感じになりますかって聞いた
18:03	あすか 11/19 8/11	なるほど
18:05	あすか 11/19 8/11	まだ返事もらってない感じよな
18:38	ゆうげん	そそ
19:30	あすか 11/19 8/11	脱毛何時から？
19:31	ゆうげん	いまからー
19:58	ゆうげん	死ぬほど痛かった
20:17	あすか 11/19 8/11	どこの脱毛？
20:18	ゆうげん	会社の近く
20:22	あすか 11/19 8/11	あ、ちゃうちゃう
20:22	あすか 11/19 8/11	髭？
20:22	ゆうげん	ひげひげ
20:22	ゆうげん	死ぬ
20:22	あすか 11/19 8/11	いつも痛いって聞かんから
20:22	ゆうげん	もうあと1回しか受けへんから
20:22	ゆうげん	フルMAXパワーでって言ったら
20:22	ゆうげん	過去一痛かった
20:25	あすか 11/19 8/11	なるほど、それでか
20:26	ゆうげん	今帰ってるよー
21:30	あすか 11/19 8/11	なぎ寝た
21:32	ゆうげん	お疲れ様
21:32	ゆうげん	今日遅かったね
21:46	あすか 11/19 8/11	最近こんな感じよ
21:46	あすか 11/19 8/11	お疲れ様
21:46	ゆうげん	あんまり遊べてないのかな?
21:48	あすか 11/19 8/11	ううん、昼寝の時間が変わった
23:32	ゆうげん	☎ 通話時間 1:41:23
23:35	あすか 11/19 8/11	ちょっとイヤホンの充電切れたからじゅっ……
23:35	あすか 11/19 8/11	から何も聞こえず切れた
23:40	ゆうげん	10分切るなーって言った
23:40	ゆうげん	充電
23:41	あすか 11/19 8/11	おけ
23:53	ゆうげん	お家ついた
23:54	あすか 11/19 8/11	おかえり
23:56	あすか 11/19 8/11	？？？
23:57	ゆうげん	☎ 通話時間 2:40
23:57	ゆうげん	友大の回線があかんて

2021/12/17(金)
07:00	あすか 11/19 8/11	☎ 通話時間 7:02:50
09:33	ゆうげん	おはよう
11:14	あすか 11/19 8/11	おはよう
11:16	あすか 11/19 8/11	話したいことあるけど
11:16	あすか 11/19 8/11	会って話したいな
12:03	ゆうげん	どしたん??
12:03	ゆうげん	どんなこと?
12:06	ゆうげん	1番嫌な感じの振り
12:14	ゆうげん	[写真]
12:14	ゆうげん	あかんて
12:15	あすか 11/19 8/11	大したことじゃない
12:15	あすか 11/19 8/11	これみた
12:15	あすか 11/19 8/11	やばいね
12:16	ゆうげん	"最近多すぎるわ

すごい不安

俺個人というよりあすかとなぎ残してなんかあったらって言うのがマジで嫌"
12:16	ゆうげん	"わかった
あったら話そ"
12:19	あすか 11/19 8/11	火事とか事故とかってホンマに怖い
12:20	あすか 11/19 8/11	しょうもないことやけどね
12:20	ゆうげん	"事故まじで気をつけてね

しょうもないことでもちゃんと聞きたいよ"
14:58	ゆうげん	ローン口座への振込はあかんて
14:58	ゆうげん	あと帰省旅費は往復28900円やって
15:13	あすか 11/19 8/11	"お互いにやね

ありがとう"
15:13	あすか 11/19 8/11	"じゃあ毎月ローン口座に
ちゃんとお金入れとかな
あかんてことやね"
15:14	あすか 11/19 8/11	"帰省にいくらかかっても
28900円？てこと？"
15:30	ゆうげん	そそ
15:46	あすか 11/19 8/11	おけおけ
15:50	あすか 11/19 8/11	あ、年賀状のデザイン
15:51	ゆうげん	何どしやっけ
15:51	ゆうげん	来年
15:52	あすか 11/19 8/11	寅
15:52	あすか 11/19 8/11	[写真]
15:52	あすか 11/19 8/11	[写真]
15:52	あすか 11/19 8/11	[写真]
15:52	あすか 11/19 8/11	あんまりいいのなくて
15:52	あすか 11/19 8/11	どれが良さげ？
15:52	ゆうげん	[写真]
15:53	ゆうげん	これ好き
15:53	あすか 11/19 8/11	さすが
15:53	あすか 11/19 8/11	じゃあこれにしよ
16:34	あすか 11/19 8/11	"これさ、差出人
3人の名前書いてるけど
住所ゆー君の住所に
しようと思っててさ"
16:35	あすか 11/19 8/11	"一旦ゆー君ち届くから
確認してポスト投函お願い
したいーーて言ったら困る？"
18:08	ゆうげん	切手いるっけ
18:08	ゆうげん	いやそこは全然いいよやる
19:18	あすか 11/19 8/11	ううん、そのまま出してくれたら大丈夫
19:18	あすか 11/19 8/11	ありがとう
19:23	ゆうげん	あーい
19:23	ゆうげん	お仕事終わってかえるー
19:23	ゆうげん	今日ダンボール送ろうかな
20:09	あすか 11/19 8/11	お疲れ様
20:09	あすか 11/19 8/11	段ボール？
20:46	ゆうげん	あ
20:46	ゆうげん	ふくを
20:47	ゆうげん	ままに
20:47	ゆうげん	後俺の服も持っていかな
21:56	あすか 11/19 8/11	土日にしないの？
21:56	あすか 11/19 8/11	今日は遅くなった
21:56	あすか 11/19 8/11	なぎ寝た
21:59	ゆうげん	お疲れ様
21:59	ゆうげん	なんか今やりたい気分
22:01	あすか 11/19 8/11	今から運ぶてこと？
22:01	ゆうげん	うむ
22:01	あすか 11/19 8/11	大丈夫？
22:01	ゆうげん	夜は車安いねん
22:01	あすか 11/19 8/11	ゆー君が大丈夫ならいいけど
22:05	ゆうげん	動ける時に動かなね
22:07	あすか 11/19 8/11	まぁね
22:11	ゆうげん	ママご飯作れた？
22:13	あすか 11/19 8/11	まだよ
22:20	ゆうげん	一緒に頑張ろ
22:34	あすか 11/19 8/11	うん、動きます
23:38	ゆうげん	ひえ
23:38	ゆうげん	つかれるぅー
23:52	あすか 11/19 8/11	今どんな感じ？
23:53	ゆうげん	まだ服の選別してる
23:53	ゆうげん	でももう終わる
23:56	あすか 11/19 8/11	まだ車で運んだりはしてないってこと？
23:56	ゆうげん	まだよー
23:59	あすか 11/19 8/11	今日運ぶの？

2021/12/18(土)
00:03	ゆうげん	うむ
00:07	ゆうげん	いよし
00:08	ゆうげん	まとめた
00:13	あすか 11/19 8/11	電話繋げててくれませんか
00:30	ゆうげん	☎ 通話時間 7:52
00:46	あすか 11/19 8/11	☎ 通話時間 13:42
00:47	あすか 11/19 8/11	☎ 通話をキャンセルしました
00:51	あすか 11/19 8/11	☎ 通話時間 3:58
01:03	ゆうげん	ちょっと集中する
03:41	ゆうげん	終わったよ
03:41	ゆうげん	結局2時間半かかった
08:49	あすか 11/19 8/11	おつかれさま
10:56	ゆうげん	寝すぎた
11:55	あすか 11/19 8/11	おはよう
12:05	ゆうげん	今お昼?
12:06	あすか 11/19 8/11	"ううん、ご飯食べ終わって
遊ぶ時間"
12:06	あすか 11/19 8/11	"12:30くらいから
寝かしつけてお昼寝"
12:25	ゆうげん	おけけ
12:25	ゆうげん	落ち着いたら電話しよ
15:15	あすか 11/19 8/11	お昼寝中片付けしよ思ってたら一緒に寝てた
15:26	ゆうげん	おはおー
15:26	ゆうげん	やっと写真取れるようになった
15:46	ゆうげん	ゆっくりできた？
15:46	ゆうげん	しっかり
15:46	ゆうげん	休憩取りや
15:58	あすか 11/19 8/11	写真撮れるようになったんやね
15:58	あすか 11/19 8/11	うんありがとう
18:05	ゆうげん	今ご飯ちゅう?
18:30	あすか 11/19 8/11	まだよ
18:36	ゆうげん	今日何食べるのー
18:36	ゆうげん	俺はカレー
18:36	あすか 11/19 8/11	まだ決めてない
18:37	あすか 11/19 8/11	カレーか！
18:39	ゆうげん	早く家族でご飯たべたい
18:40	ゆうげん	[写真]
18:40	ゆうげん	[写真]
18:40	ゆうげん	整えた
18:44	あすか 11/19 8/11	そやね
18:44	あすか 11/19 8/11	おぉ、いいね
18:46	ゆうげん	ママとこういう部屋でイチャイチャしたい
18:52	あすか 11/19 8/11	何そのかわった欲（笑）
18:52	ゆうげん	オシャレ欲
18:55	あすか 11/19 8/11	オシャレ欲なの？それ（笑）
19:15	ゆうげん	あー
19:15	ゆうげん	なんか運動したい
20:30	あすか 11/19 8/11	☎ 通話時間 1:11:51

2021/12/19(日)
09:31	ゆうげん	ママ
09:31	ゆうげん	おはよう
09:55	ゆうげん	神田沙也加さんが..
11:07	あすか 11/19 8/11	おはよう
11:07	あすか 11/19 8/11	みたみた、びっくり
11:08	ゆうげん	親残したらあかんやろーーー
11:08	ゆうげん	松田聖子もかなり動揺してるって
11:40	あすか 11/19 8/11	まだ自殺って確定してないやんな？
11:42	ゆうげん	一応ね
11:57	あすか 11/19 8/11	"急やったら理由がなんであれ
親は同様するよなぁ"
11:57	あすか 11/19 8/11	でもなんか色々ややこしそう神田家
12:23	ゆうげん	よくわからんね
12:40	ゆうげん	でも自殺はあかん
14:21	あすか 11/19 8/11	まぁね
14:55	ゆうげん	なぎちゃんもポジティブならないと
15:21	あすか 11/19 8/11	ポジティブというか
15:21	あすか 11/19 8/11	毎回じゃなくても
15:22	あすか 11/19 8/11	"何かあったらちゃんと
話せる仲でいることが
親のすべきことかな"
15:22	あすか 11/19 8/11	ネガティブが悪いていうわけじゃないから
18:16	ゆうげん	オープンマインドが
18:16	ゆうげん	いいよね
19:26	あすか 11/19 8/11	☎ 不在着信
19:27	あすか 11/19 8/11	☎ 不在着信
19:44	ゆうげん	"ごめん出れんかった！

先お風呂ご飯する!"

2021/12/20(月)
10:01	ゆうげん	ママおはよう
12:12	あすか 11/19 8/11	おはよう
13:27	ゆうげん	ナギの児童手当
13:27	ゆうげん	ママの直筆必要やって言われたから
13:27	ゆうげん	一旦大阪に送るね
16:03	あすか 11/19 8/11	了解です
16:09	あすか 11/19 8/11	年末年始ってどうなってる？
16:09	ゆうげん	29から休みよー
16:09	ゆうげん	29有給とる
16:10	あすか 11/19 8/11	いつから帰る予定にしてる？
16:10	ゆうげん	"27かな?
バスか飛行機かは迷ってる"
16:10	あすか 11/19 8/11	28在宅？
16:11	ゆうげん	"間違えた
28に帰る予定"
16:11	ゆうげん	テレか出社かは決まってないのよ
16:11	ゆうげん	他チームの兼ね合いもあるから
16:12	あすか 11/19 8/11	28日の仕事終わりってこと？
16:12	あすか 11/19 8/11	ほんで年始はいつ帰る？
16:13	ゆうげん	"テレワークなら27夜行けるし
出社なら28かな"
16:13	あすか 11/19 8/11	"抗原検査のやつテーブルの上に何も思わず置いてたら母から
「近々来るん？」て感じの
LINEきたからさ"
16:13	ゆうげん	ねんしは1/2につけるようにしたいな
16:13	あすか 11/19 8/11	予定言わなって
16:13	あすか 11/19 8/11	え、じゃあ1日に帰るん？
16:13	あすか 11/19 8/11	なんか予定あるん？4日からじゃなかった仕事
16:14	ゆうげん	3日に着く時間によってはバタバタするしなぁって
16:14	あすか 11/19 8/11	そんなギリでバスも飛行機もあいてるん？
16:15	ゆうげん	"バスは空いてる
飛行機は見てない"
16:15	ゆうげん	まだ
16:16	あすか 11/19 8/11	"3日一日中フリーでないと
バタバタするってこと？"
16:17	ゆうげん	"2日夜バスでも疲れたまま3日やし
3日飛行機新幹線でも夕方前やろうし"
16:18	あすか 11/19 8/11	3日の朝に帰宅とかじゃ疲れ取れへんてことね
16:18	あすか 11/19 8/11	なんか用事あるの？
16:18	ゆうげん	用事はなんもないよ
16:19	あすか 11/19 8/11	仕事始め前日フリーでないと…て感じやからさ
16:20	ゆうげん	"いや
往復はやっぱり体力使うから"
16:21	あすか 11/19 8/11	まぁいいや
16:21	あすか 11/19 8/11	じゃあ飛行機かバスかにもよるやろうけど元旦に帰る可能性もあるってことやんな
16:23	ゆうげん	なんで元旦?
16:23	あすか 11/19 8/11	え、だって2日には家にいたいんでしょ
16:24	あすか 11/19 8/11	夜行バスやったら元旦の晩とかに帰るんじゃないの
16:24	ゆうげん	"ああ、間違えた
1/2には帰路に経ちたいってこと"
16:24	ゆうげん	元旦はおる
16:27	あすか 11/19 8/11	でもこうやって言ってるし2日夜行バスやったら3日の朝について3日しんどいままやから意味ないんじゃないの
16:27	ゆうげん	"いや
元旦は1日いたいから
書き間違えた
きにせんといて"
16:32	あすか 11/19 8/11	どっちかは飛行機にするの？
16:32	あすか 11/19 8/11	行きか帰り
16:32	ゆうげん	まあ行きが飛行機がいいなって思ってる
16:32	ゆうげん	楽さが全然違うし
16:32	あすか 11/19 8/11	空いてるんかなぁ
16:39	ゆうげん	探してみる
18:30	あすか 11/19 8/11	来週の勤務出てから決めるの？交通手段と来る日
19:40	ゆうげん	いやもう決めようとおもう
19:40	あすか 11/19 8/11	28日にしとく？
19:40	ゆうげん	飛行機みてみる
19:44	あすか 11/19 8/11	あるかな
19:53	ゆうげん	ちょっと今荷物出したり
19:53	ゆうげん	書類書いてるから
19:53	ゆうげん	見てみて欲しい
19:53	あすか 11/19 8/11	どこの飛行機？
19:54	ゆうげん	"どこでも
やすそうな飛行機"
19:56	あすか 11/19 8/11	時間は？
20:01	ゆうげん	20:00前後
21:24	あすか 11/19 8/11	[写真]
21:25	あすか 11/19 8/11	[写真]
21:25	あすか 11/19 8/11	[写真]
21:25	ゆうげん	"うーーーん
微妙な時間"
21:26	あすか 11/19 8/11	だね
21:26	あすか 11/19 8/11	ちょっとほか見てみる
21:28	ゆうげん	さっき百均いって封筒とかテープとか買ってきた
21:29	ゆうげん	"大阪で鼻の手術したやん?
あれの保険降りるらしくて"
21:29	あすか 11/19 8/11	そうなんやね
21:29	ゆうげん	北浜の病院に資料送るために
21:29	ゆうげん	封筒買ってきた
21:29	あすか 11/19 8/11	そかそか
21:29	あすか 11/19 8/11	一番近い百均どこなん？
21:29	あすか 11/19 8/11	[写真]
21:30	ゆうげん	亀戸のダイソーやな
21:30	あすか 11/19 8/11	ANA
21:30	あすか 11/19 8/11	自転車とかでいける距離にあるん？
21:30	ゆうげん	五分くらい
21:30	あすか 11/19 8/11	ちかいね
21:31	あすか 11/19 8/11	28日
21:31	ゆうげん	そこのURLちょうだい
21:31	あすか 11/19 8/11	https://aswbe-d.ana.co.jp/9Eile48/dms/red22j/dyc/be/pages/res/search/vacantConditionInput.xhtml?rand=20211220212730&aswdcid=2#
21:31	あすか 11/19 8/11	あれ
21:32	あすか 11/19 8/11	https://www.ana.co.jp/?ptn=dms&utm_campaign=PR0001&utm_medium=paidsearch&utm_source=yah9999&utm_content=airlinedom&utm_term=yah9999&cid=PR0001_ALL_airlinedom_ttw75_201807_LST_yah9999_paidsearch_domtop_tc_121456__brand2-ana-domex
21:32	あすか 11/19 8/11	普通にANAのサイトで調べた
21:36	ゆうげん	朝イチで行こうかな
21:36	ゆうげん	7:00初
21:47	あすか 11/19 8/11	"28日出社じゃないの？
29日の朝ってこと？"
21:49	ゆうげん	あ
21:49	ゆうげん	出社かどうかはわからんけど
21:49	ゆうげん	テレワークなら行けるか思ったけど
21:49	ゆうげん	あかんな
21:49	ゆうげん	夜に予約しよ
21:59	あすか 11/19 8/11	28日の夜？
22:00	ゆうげん	うん
22:02	あすか 11/19 8/11	予約とったん？
22:02	ゆうげん	今てつづきちゅー
22:08	ゆうげん	最近
22:08	ゆうげん	乾燥やばい
22:09	ゆうげん	喉ガラガラ
22:29	ゆうげん	なぎとママの
22:29	ゆうげん	マイナンバーわかる?
22:29	ゆうげん	プレゼントに書類一緒に入れるから書いて欲しい
22:29	ゆうげん	分からんかったら役所に聞いてほしい
22:53	あすか 11/19 8/11	"マイナンバーか、、
マイナンバー入りの書類もらわなわからんなぁ"
22:53	あすか 11/19 8/11	了解
22:54	あすか 11/19 8/11	喉大丈夫？保湿しっかりね
23:01	あすか 11/19 8/11	☎ 通話をキャンセルしました
23:01	ゆうげん	今荷物出してる
23:01	あすか 11/19 8/11	ごめん
23:20	ゆうげん	終わったよ
23:53	ゆうげん	[写真]

2021/12/21(火)
07:47	あすか 11/19 8/11	☎ 通話時間 8:22:09
09:24	ゆうげん	やばい
09:24	ゆうげん	寝坊した
09:24	ゆうげん	今起きた
09:29	ゆうげん	やっぱり早く寝ないとダメだんj
09:29	ゆうげん	ダメだな
09:43	あすか 11/19 8/11	え、まじか
09:43	あすか 11/19 8/11	今日出社やった？
09:43	あすか 11/19 8/11	ごめんね遅くまで
12:35	あすか 11/19 8/11	大丈夫？
12:36	ゆうげん	大丈夫よ
12:36	あすか 11/19 8/11	今会社？
12:36	ゆうげん	でももうちょい早く寝る
12:36	ゆうげん	会社
12:36	あすか 11/19 8/11	うん、そやね
12:36	あすか 11/19 8/11	ごめんね昨日遅くまで
12:36	あすか 11/19 8/11	今日さ、夜相談あるんやけどいい？
12:36	ゆうげん	なんお?
12:36	ゆうげん	なんの相談?
13:27	ゆうげん	毎回思うけど相談とかは事前に内容書いて欲しい
16:10	あすか 11/19 8/11	ごめん落ち着いた
16:10	あすか 11/19 8/11	悪気はないのよ
16:10	あすか 11/19 8/11	ごめんね
16:11	あすか 11/19 8/11	"今日は年末年始のことで
ゆっくり話せる時にって
思って"
16:50	ゆうげん	お疲れ様
16:50	ゆうげん	年末年始のこと?
16:50	ゆうげん	[写真]
16:50	ゆうげん	一応これチケットね
16:52	あすか 11/19 8/11	うん、年末年始のこと
16:52	あすか 11/19 8/11	おけおけ
21:03	ゆうげん	今からご飯ー
21:45	あすか 11/19 8/11	お疲れ様
21:55	あすか 11/19 8/11	起きてる？
21:57	ゆうげん	ママも
21:57	ゆうげん	お疲れ様
21:57	ゆうげん	ちょい待ってねー
22:02	あすか 11/19 8/11	はーい
22:12	ゆうげん	落ち着いた
22:19	あすか 11/19 8/11	電話いけるー？
22:23	ゆうげん	うん
22:58	あすか 11/19 8/11	☎ 通話時間 32:15
23:07	ゆうげん	やば
23:07	ゆうげん	なんかめっちゃ気持ち悪い
23:07	ゆうげん	お風呂ですこし
23:08	ゆうげん	落ち着く
23:09	あすか 11/19 8/11	今お風呂？
23:09	ゆうげん	おふろ
23:09	あすか 11/19 8/11	早く寝て明日も無理せずね
23:09	ゆうげん	鼻づまりかと思って
23:09	ゆうげん	お湯沸かして
23:09	ゆうげん	加湿してる
23:09	あすか 11/19 8/11	どう？
23:10	ゆうげん	まだ気持ち悪い
23:10	あすか 11/19 8/11	うーん
23:10	ゆうげん	ついでに歯磨いてる
23:10	ゆうげん	口スッキリしたら行けるかと思って
23:11	あすか 11/19 8/11	とりあえず別に洗濯とかどうにでもなるんやから動ける時にお風呂出てしっかり寝てね
23:11	あすか 11/19 8/11	なんか最近精神やられることばっかり起こる
23:11	ゆうげん	すまん
23:12	あすか 11/19 8/11	謝ることないけど
23:14	あすか 11/19 8/11	大丈夫？
23:14	ゆうげん	"深呼吸して落ち着く
お水も飲むわ"
23:15	ゆうげん	大丈夫大丈夫
23:15	あすか 11/19 8/11	うーん
23:19	あすか 11/19 8/11	"洗濯とかおいといて
早く寝てね"
23:19	ゆうげん	うん
23:19	あすか 11/19 8/11	大丈夫？
23:19	あすか 11/19 8/11	ごめん何回も同じ質問
23:19	あすか 11/19 8/11	ほぼ無意識で何回も聞いちゃう
23:20	ゆうげん	ちょっと吐いたら
23:21	ゆうげん	少しマシになった
23:21	あすか 11/19 8/11	吐いたの？
23:21	ゆうげん	あんま出てないけど
23:21	ゆうげん	吐いた
23:23	ゆうげん	でも楽になったから
23:23	ゆうげん	大丈夫よ
23:23	ゆうげん	まじちょっとだけやから
23:23	ゆうげん	はいたの
23:26	ゆうげん	"まじ
心配しすぎないで"
23:27	ゆうげん	俺も余計に沈んじゃう
23:27	あすか 11/19 8/11	気遣わせてごめん
23:28	あすか 11/19 8/11	早く寝てしっかり休んでとかそんなんしか言えない
23:28	あすか 11/19 8/11	ごめんね
23:28	ゆうげん	"あすかもだよ
しっかり休んで"
23:29	あすか 11/19 8/11	ゆー君が本調子じゃない時にこんなん言うのあれやけど、私は寝て治る疲れじゃないから
23:29	ゆうげん	でも起きてると余計に考え込むやろ
23:30	あすか 11/19 8/11	ココ最近色々精神やられすぎて。体力的なものじゃないし寝たら忘れるとかいう感じでもないし。
23:30	あすか 11/19 8/11	だから
23:30	あすか 11/19 8/11	早く会って
23:30	ゆうげん	また色々言われてるん?
23:30	あすか 11/19 8/11	ゆー君のこと抱きしめたいね
23:30	あすか 11/19 8/11	"いや、また何かっていうより
色んなことが積み重なってきてるだけ"
23:31	あすか 11/19 8/11	ゆー君にも伝えたい気持ちたくさんやから早く会いたい
23:31	ゆうげん	1週間やから
23:31	ゆうげん	頑張ろ
23:31	あすか 11/19 8/11	無事に会えたらいいけど…
23:32	ゆうげん	大丈夫大丈夫
23:32	ゆうげん	会えるさ
23:32	あすか 11/19 8/11	コロナも少しずつまた右肩上がりやし
23:32	あすか 11/19 8/11	ゆーくんも疲れてそうやから体調心配やし
23:32	あすか 11/19 8/11	不安
23:32	あすか 11/19 8/11	でも会えるって信じてがんばる
23:37	ゆうげん	死ぬ気で万全にするよ
23:38	ゆうげん	俺だって家族に会いたいさ
23:42	あすか 11/19 8/11	無理はしないでね
23:42	ゆうげん	"あすかと会うと
あすかも安心できるやろうけど
俺もゆったり穏やかになれるから"
23:42	ゆうげん	また抱きしめてね
23:43	あすか 11/19 8/11	うん、会えたら抱きしめるよ
23:44	あすか 11/19 8/11	きっと梛もまた抱きしめてくれるよ
23:49	ゆうげん	だいぶ落ち着いた
23:49	ゆうげん	やっぱり気持ち悪い時は吐いた方がいいね
23:54	あすか 11/19 8/11	このまま落ち着けばいいけど…
23:54	あすか 11/19 8/11	無理しないでね
23:54	あすか 11/19 8/11	早く寝てね、しっかり休も
23:54	ゆうげん	ありがとう
23:58	あすか 11/19 8/11	いや、何も出来なくてごめんね

2021/12/22(水)
08:35	あすか 11/19 8/11	ゆー君おはよ
08:35	あすか 11/19 8/11	大丈夫？
08:35	ゆうげん	おはよう
08:35	ゆうげん	めっちゃ回復
08:37	あすか 11/19 8/11	ほんと？
08:37	あすか 11/19 8/11	お仕事無理せずね
08:38	ゆうげん	ありがとう
08:39	あすか 11/19 8/11	さっきゆー君のLINE開いてたら
08:39	あすか 11/19 8/11	"梛が「パァ」て言うから
アイコン見せて
「パ、パーは？」て言ったら
言ってた（笑）"
08:40	ゆうげん	かわいい
08:41	あすか 11/19 8/11	でしょ
10:43	あすか 11/19 8/11	パパサンタ
10:43	あすか 11/19 8/11	ありがとう
10:44	あすか 11/19 8/11	大丈夫？
10:47	ゆうげん	だいやで
10:47	ゆうげん	大丈夫やで
10:47	ゆうげん	またいっぱい使ってな
11:07	ゆうげん	ノースフェイスのマフラーと靴
11:07	ゆうげん	散歩用ね
14:46	あすか 11/19 8/11	ありがとうねいっぱい
14:46	ゆうげん	使えそ?
14:46	ゆうげん	メイク道具も
14:46	あすか 11/19 8/11	うん、ありがと！
14:47	あすか 11/19 8/11	メイク道具いっぱいあってびっくり！色々試してみるね
14:47	ゆうげん	"お試しあれー
また欲しいのあったら言ってちょ"
16:48	ゆうげん	子供特別給付金届いたから
16:48	ゆうげん	口座に送るね
16:48	ゆうげん	[写真]
16:50	ゆうげん	送ったわ
16:53	あすか 11/19 8/11	"メルカリで売れたの発送したり
ゆー君からもらった書類確認してた"
16:54	あすか 11/19 8/11	ありがと！
16:55	あすか 11/19 8/11	これまだ江戸川区？なのね？
16:55	ゆうげん	なんかよくわからん
16:56	あすか 11/19 8/11	だね？まぁいいか
16:56	あすか 11/19 8/11	[写真]
16:56	あすか 11/19 8/11	こういうの嬉しすぎて
16:56	あすか 11/19 8/11	😭
16:57	ゆうげん	字きったないなぁ
16:58	あすか 11/19 8/11	でも結婚してトータル1年だよ一緒に暮らしたの
16:58	ゆうげん	もうちょいいっしょにいたか?
16:59	あすか 11/19 8/11	うん、妊婦期間に一緒に暮らした期間も合わせたら約1年だね
16:59	あすか 11/19 8/11	"もうすぐ2年やから半分は
別々に暮らしてるね"
16:59	あすか 11/19 8/11	あやみちゃんに用事あったの？
17:00	ゆうげん	"ああ
プレゼントとPS4の件で話してた"
17:00	あすか 11/19 8/11	そうなんやね
17:03	あすか 11/19 8/11	[写真]
17:03	あすか 11/19 8/11	[写真]
17:03	あすか 11/19 8/11	[写真]
17:03	あすか 11/19 8/11	[写真]
17:03	あすか 11/19 8/11	[写真]
17:03	あすか 11/19 8/11	[写真]
17:03	あすか 11/19 8/11	父の家のキッチンの写真送ってきてくれた
17:03	あすか 11/19 8/11	適当に使ってくれていいよってさ
17:03	ゆうげん	[写真]
17:04	ゆうげん	青い
17:04	あすか 11/19 8/11	笑
17:04	あすか 11/19 8/11	結構原色着るねん
17:04	ゆうげん	そして髪が..
17:04	あすか 11/19 8/11	🤫
17:04	ゆうげん	俺も原色好きやで
17:04	あすか 11/19 8/11	キッチンはいけそうやね？
17:04	ゆうげん	行き飛行機やから食材持っていけないなぁ
17:05	あすか 11/19 8/11	布団は新品のが1つあるってさ
17:05	あすか 11/19 8/11	食材？
17:05	ゆうげん	おもちとか
17:05	ゆうげん	お雑煮とか
17:05	あすか 11/19 8/11	"シャンプーはTSUBAKIで
ボディーソープはハダカラ
って言ってた"
17:05	あすか 11/19 8/11	これも使ってくれていいよってさ
17:05	ゆうげん	すいやせんなぁ
17:05	あすか 11/19 8/11	おもちとかはこっちで買ったらいいんじゃない？
17:09	あすか 11/19 8/11	父になんか渡したいな
17:09	ゆうげん	まあそやな
17:09	ゆうげん	何渡そ
17:10	ゆうげん	お父さんくらいの年齢ムズいな
17:10	あすか 11/19 8/11	"誕生日12/3やったんやけど
今年何も渡してないし…と思ってて"
17:10	あすか 11/19 8/11	お酒かな（笑）
17:10	ゆうげん	さけか
17:10	ゆうげん	何がいいやろ
17:17	あすか 11/19 8/11	"今どれくらい飲むんやろ〜
ビールもワインも焼酎も
日本酒もなんでも飲むイメージ"
