1/19 8/11	今度は23日に帰ってくる？
21:17	あすか 11/19 8/11	完成図？
21:21	ゆうげん	部屋の感じ
21:21	ゆうげん	もっと具体的に
21:21	ゆうげん	床どれやっけ
21:27	あすか 11/19 8/11	具体的にってムズいけど
21:27	あすか 11/19 8/11	[写真]
21:27	あすか 11/19 8/11	[写真]
21:27	あすか 11/19 8/11	こんな感じもかわいいなぁて
21:28	あすか 11/19 8/11	マントルピースは常に何か置いとくというより、撮りたいものができた時に並べて撮ってみたりしたいなぁ
21:33	ゆうげん	ふむ
21:33	ゆうげん	そもそもなにおくの?
21:33	ゆうげん	種類というか
21:33	ゆうげん	"椅子
テーブル
本棚みたいな"
21:36	あすか 11/19 8/11	あんまりもの置かない予定
21:36	あすか 11/19 8/11	チェスト、小さい椅子数種類
21:36	あすか 11/19 8/11	くらい？
21:37	あすか 11/19 8/11	ナギの部屋も置き方変えて真ん中にテーブルと椅子おいてあげたいんよねぇ
21:43	あすか 11/19 8/11	床はこれって決めてるわけじゃないけど
21:43	あすか 11/19 8/11	https://item.rakuten.co.jp/kabegami-luck/y-cfse-31/
21:43	あすか 11/19 8/11	こんなんかな？
21:52	ゆうげん	床先買おか
21:52	ゆうげん	撮影にも使えるし

2023/02/08(水)
08:09	ゆうげん	おはよう
08:09	ゆうげん	"7:50におきて
8:06に家出た"
08:09	ゆうげん	"ちゃうわ
7:56"
08:09	ゆうげん	に家出た
08:16	ゆうげん	1分くらい休んだろか考えたわ
08:19	あすか 11/19 8/11	おはよ
08:19	あすか 11/19 8/11	危なかったね
08:19	あすか 11/19 8/11	無理せずね
08:19	ゆうげん	ボンバーヘェア
08:20	あすか 11/19 8/11	どんなん？
08:20	ゆうげん	いま電車や
08:20	ゆうげん	後でね
08:24	ゆうげん	[写真]
08:24	ゆうげん	なんか落ち着いてきた
08:53	あすか 11/19 8/11	え、普通やった
09:42	ゆうげん	家出る直前もっとやばかってん
09:42	ゆうげん	耳の後ろ羽生えてた
09:59	あすか 11/19 8/11	そうなのね
10:00	あすか 11/19 8/11	よかったね落ち着いて
10:55	ゆうげん	床もう買おうや
10:55	ゆうげん	全面敷き詰めるの?
15:11	あすか 11/19 8/11	んー、どうしよかな
15:12	あすか 11/19 8/11	ふと思ったけど、今週11.12の土日帰ってこんくて、次の週末の18.19も帰ってこん予定？
15:18	ゆうげん	"今週は取ってないけど
来週はわからん"
15:18	あすか 11/19 8/11	そか
15:19	ゆうげん	たぶん帰るけどな
17:58	ゆうげん	https://greenpan.store
17:58	ゆうげん	フライパンここいいね
17:58	ゆうげん	可愛い
19:03	ゆうげん	帰ってます
19:19	あすか 11/19 8/11	[写真]
19:19	あすか 11/19 8/11	[写真]
19:19	あすか 11/19 8/11	[写真]
19:19	あすか 11/19 8/11	私が気になっとるのこれ
19:19	あすか 11/19 8/11	また早めに決めててね〜
19:20	あすか 11/19 8/11	"でも、18.19帰ってきたら、バタバタするよな

今度帰ってくるん23やし"
19:24	あすか 11/19 8/11	お疲れ様です、気をつけて
19:33	ゆうげん	あすかもお疲れ様
19:33	ゆうげん	ふむ
19:33	ゆうげん	可愛いねそれ
20:38	あすか 11/19 8/11	可愛いし使いやすそうよねぇ
20:56	ゆうげん	色々買っていかないといけないなぁ
20:56	ゆうげん	ラグもやし
21:35	あすか 11/19 8/11	そだねぇ、色々仕上げていきたいけど厳しいよねぇ
21:42	ゆうげん	優先順位決めないとな

2023/02/09(木)
00:59	あすか 11/19 8/11	だね
08:20	あすか 11/19 8/11	おはよ
08:20	あすか 11/19 8/11	[動画]
08:21	ゆうげん	おはよう
08:22	ゆうげん	いい景色
08:26	ゆうげん	なんか言ってる?
08:26	ゆうげん	電車で音出せない
08:32	あすか 11/19 8/11	YouTubeみながら「ママ」て言ってるだけ笑
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	昨日
08:43	ゆうげん	ぜんくん大きくなったな
08:43	ゆうげん	[写真]
08:43	ゆうげん	これよ
08:48	あすか 11/19 8/11	なぎの身長やっぱ高かった
08:49	あすか 11/19 8/11	[写真]
08:49	あすか 11/19 8/11	わっくん癒し
08:49	あすか 11/19 8/11	顔やばい
08:51	ゆうげん	もう一人の子はまだ名前ないんやっけ
08:51	あすか 11/19 8/11	ぜんちゃん、わく君
08:52	ゆうげん	もう一人
08:54	あすか 11/19 8/11	もう1人はまだお腹の中やで、決めてないんちゃう
09:08	ゆうげん	"そうか
まだ生まれてないのね"
09:08	ゆうげん	もう一人欲しいね
09:36	あすか 11/19 8/11	そうよ、わっくんが1歳になる頃が予定日らしいから6月後半なんかな
09:36	あすか 11/19 8/11	そだね
09:36	あすか 11/19 8/11	3人はほしいから2人目そろそろ授かれたら嬉しいなぁ
12:26	あすか 11/19 8/11	[動画]
13:12	あすか 11/19 8/11	[写真]
13:13	あすか 11/19 8/11	この瓶？とかｺｰﾋｰ豆入ってるのってどこのー？
13:15	ゆうげん	KINTO
13:15	ゆうげん	なぎかわいい
13:16	あすか 11/19 8/11	どっちもKINTO？
13:16	あすか 11/19 8/11	ごちそうさまでした
13:24	ゆうげん	どっちもやで
13:41	あすか 11/19 8/11	ありがと〜
14:38	ゆうげん	どして聞いたん??
15:43	あすか 11/19 8/11	プチミグのオーナーのりえちゃんが、今日の朝の動画みて、どこのー？て聞いてきてくれてたから！
17:58	あすか 11/19 8/11	明日、警報級の雪が降る恐れがあるってね？東京
17:58	あすか 11/19 8/11	気をつけてね
17:58	ゆうげん	らしいね
17:58	ゆうげん	今もクソ寒い
17:59	ゆうげん	なんとかテレワークのするわ
17:59	ゆうげん	"なるほどね
細かいとこみてる"
18:00	あすか 11/19 8/11	うちのマイホームをめっちゃ楽しみにしてくれてた(笑)
18:00	あすか 11/19 8/11	ね、テレワークがいいね
18:01	ゆうげん	まだまだ未完成やから
18:01	ゆうげん	頑張らないとな
18:03	あすか 11/19 8/11	おうちの写真見るのとか好きらしいりえちゃん
18:03	あすか 11/19 8/11	ね、まだまだ未完成
18:05	ゆうげん	本棚買いたい
18:05	ゆうげん	15000or25000
18:05	あすか 11/19 8/11	本棚私的には優先順位低めw
18:05	ゆうげん	[写真]
18:05	ゆうげん	これ
18:06	ゆうげん	ホビールームは本棚とボックス収納くらいしか置かんからな
18:06	ゆうげん	"本棚3段なら15000
4段で25000"
18:08	あすか 11/19 8/11	それはホビールーム用？
18:08	ゆうげん	うん
18:11	あすか 11/19 8/11	あんまり高くても不細工なりそじゃない？3段くらいがおしゃれそう
18:14	ゆうげん	それか3,2段別々に買うか
18:14	ゆうげん	これでも25000
18:36	あすか 11/19 8/11	？？
18:36	ゆうげん	2個買う
18:36	ゆうげん	ほんの量多いから
18:37	あすか 11/19 8/11	2個買ったら3万やんな？？
18:37	ゆうげん	2段と3段
18:37	ゆうげん	2段が1万
18:41	あすか 11/19 8/11	3段1個と2段１個てことか
18:46	ゆうげん	そう
19:05	あすか 11/19 8/11	そかそか
19:33	ゆうげん	買いたいなぁ
19:37	あすか 11/19 8/11	さきかったら？
20:32	あすか 11/19 8/11	おむつのゴミ箱もはよ買わな
20:32	あすか 11/19 8/11	あ、あと自転車ぶっ壊れた
20:32	あすか 11/19 8/11	ペダル？今まで以上にうるさなったし、サドル？座るところ完全に剥がれた
20:39	ゆうげん	あー
20:39	ゆうげん	かわないと
20:39	ゆうげん	あーーーーーー
20:39	ゆうげん	おかねがぁぁぁぁ
20:40	あすか 11/19 8/11	もう普通に安いﾏﾏﾁｬﾘ買お
20:40	あすか 11/19 8/11	2台いるし
20:40	ゆうげん	1個はそうするつもり
20:40	あすか 11/19 8/11	もう今はいいよ、電動高いし
20:40	あすか 11/19 8/11	普通の2台でいい
20:41	あすか 11/19 8/11	何よりはよ買い替えな
20:41	ゆうげん	今日買うわ
20:41	ゆうげん	ちょっとさがす
21:15	あすか 11/19 8/11	ごめんね、ありがとう
21:16	あすか 11/19 8/11	でも、古い自転車回収もしてくれるし保証もあるし値切れるかもやし1回商店街のとこ行ってもいいんじゃないかと思ったりもする
21:16	あすか 11/19 8/11	普通のﾏﾏﾁｬﾘやし、買うの
21:19	ゆうげん	15000ならいいで
21:19	ゆうげん	買うの
21:24	あすか 11/19 8/11	見に行ってみなわからんけど
21:24	あすか 11/19 8/11	ネットは保証やらどうやらわからんしなぁとか思ったり
21:25	あすか 11/19 8/11	パンクとかどっかちょっと壊れたとかの修理も安く頼みやすいしね、あのお店なら
21:25	あすか 11/19 8/11	明日雨や1日中
21:55	ゆうげん	明日は日本中天気悪いね
21:56	あすか 11/19 8/11	ねぇ、、やだな
21:56	あすか 11/19 8/11	明日はテレワークできるん？
22:14	ゆうげん	一応聞いてはいる
22:14	ゆうげん	おれこれにしようかな
22:14	ゆうげん	Amazonに入ってるやつ
22:36	あすか 11/19 8/11	何個か入ってるよね
22:38	ゆうげん	1番やすいの

2023/02/10(金)
08:25	ゆうげん	雪降ってる
08:25	ゆうげん	でも言うほどさむくない
08:38	ゆうげん	テレワーク出来へんかった
09:06	ゆうげん	おはよう
09:25	あすか 11/19 8/11	夕方からのがやばそうな感じに言ってたよな、ニュースで
09:25	あすか 11/19 8/11	帰りまじ気をつけて
09:25	あすか 11/19 8/11	おはよ
09:25	ゆうげん	気をつける
09:25	ゆうげん	ただ言うて5cmとかやからな
09:25	ゆうげん	セイキンTVの帰省SAよりショボイから
09:26	ゆうげん	あんまりたいしたことない
09:33	ゆうげん	大阪は雨やねぇ
09:54	あすか 11/19 8/11	でも雪積もると滑ったりするから
09:54	ゆうげん	そこは気をつけるで
09:54	あすか 11/19 8/11	ﾊﾟﾊﾟ鈍臭いから気をつけて
09:54	あすか 11/19 8/11	大阪雨よー、1日中雨ぽいよー
09:54	ゆうげん	カッコつけたら鈍臭いけど普段は注意深いから大丈夫
09:54	ゆうげん	自転車見て欲しかったがあしたでもいいか
09:54	あすか 11/19 8/11	ほんまかいな
09:55	あすか 11/19 8/11	そやね、ちょっと今日は厳しそ
09:59	ゆうげん	とりあえず俺のだけ買っとこうかな
12:16	ゆうげん	もうほぼ雨なんやけど
13:57	あすか 11/19 8/11	そうねぇ
13:58	あすか 11/19 8/11	そーなん？まだこれからかなぁ雪
13:59	ゆうげん	ねむい
14:00	あすか 11/19 8/11	最近ナギ寝たあと夜更かししすぎてさ
14:00	あすか 11/19 8/11	朝起きられへんw
14:01	あすか 11/19 8/11	[写真]
14:01	あすか 11/19 8/11	[写真]
14:02	あすか 11/19 8/11	[写真]
14:02	あすか 11/19 8/11	ずっとこんなん作ってた
14:02	あすか 11/19 8/11	残りも無理せずファイト💻
15:00	ゆうげん	マルイのなんや
15:18	あすか 11/19 8/11	クッキーや
15:18	あすか 11/19 8/11	自転車15000以下はどう考えても無理や
15:18	あすか 11/19 8/11	なぎ乗せる椅子も1万弱はしそうやし
15:19	あすか 11/19 8/11	自転車も1番安いママチャリとかはやっぱ漕ぐの思いしなぁ
15:19	あすか 11/19 8/11	重い
15:22	あすか 11/19 8/11	ネットもママチャリはたかいよなぁ
15:40	ゆうげん	どんなん
15:41	あすか 11/19 8/11	店みてはないけど、あーりが電話したら1番ちゃっちい自転車と1番ちゃっちい子ども椅子で25000はするってさ
15:41	あすか 11/19 8/11	でも1番ちゃっちいのはやっぱり重いからなぁ
15:42	あすか 11/19 8/11	電動まではいらんけど軽く感じる方がいいなぁとは思うし
15:42	あすか 11/19 8/11	そしてナギの椅子もちゃっち過ぎるとな、、怖いし座り心地も良くないやろし
15:42	あすか 11/19 8/11	どーしよーやな
15:43	あすか 11/19 8/11	自転車も値段上がる一方やてさ
15:43	ゆうげん	ネットで探してみて
15:46	あすか 11/19 8/11	ネットもみてみるは見てみてるけど保証もわからんしちょっとなんか壊れた時も不便そやし(修理のために購入先に送って返ってくるの数日先とかなるんじゃない？)同じものおなじ条件でネットで安く買えるとかならいいけどなぁ
15:47	あすか 11/19 8/11	ほんでやっぱそれなりの買おうと思ったら3万前後はする、ネットでも
17:04	ゆうげん	ふむ
17:34	ゆうげん	基本送り返すのって初期不良ぐらいで
17:34	ゆうげん	その後の修理は自転車屋やから
17:34	ゆうげん	保証はあんまり関係ないと思う
17:35	あすか 11/19 8/11	その、その後の修理がろっきぃで買ってたら軽いパンクとかなら無料でしてくれたりとかもあるからさぁ
17:35	あすか 11/19 8/11	んー
17:36	あすか 11/19 8/11	でもとりあえずインスタとかで色んなママ友にきいたけど子どもの椅子とかもあるし15000は不可能や
17:36	ゆうげん	"パンク修理費用によるけど
まああすかのはそこで買ってもいいんやない?
俺のはネットでかうけど"
17:36	あすか 11/19 8/11	そして自転車も値段バチくそあがっとるってさ、、あれもこれも高すぎねぇ
17:40	ゆうげん	軒並み3万超えとるからね

2023/02/11(土)
08:22	あすか 11/19 8/11	ろっきぃ(商店街の自転車屋)で買うとしたらいくらくらいまでで選んだらいい？
08:23	あすか 11/19 8/11	ナギの椅子とかも、1年後の幼稚園の送迎とか考えたら雨よけとかも付けれるようなしっかりしたのんにせなあかんかなーとか思うけど、そーいうのって1万超えるらしい、子どもの椅子だけで
10:37	あすか 11/19 8/11	起きてたら早めにお返事ください、今日見に行けたら行ってきます
10:37	あすか 11/19 8/11	自転車ないの不便すぎるので、、
10:49	ゆうげん	とりあえず本体2万前後
10:51	あすか 11/19 8/11	子ども椅子は？
10:51	ゆうげん	それいくら位なん
10:52	ゆうげん	とりあえず今のやつ付け替えれないの?
10:55	あすか 11/19 8/11	いちばん安くて(昔からある編み編みの)で6000円くらい
10:55	あすか 11/19 8/11	[写真]
10:56	あすか 11/19 8/11	今のやつ付けれるけどなぎも90cm超えてきて私も前見るの大変なってきてるしそろそろ後ろにしようかなと思ってたから
10:56	あすか 11/19 8/11	別にまだいいけど
10:56	ゆうげん	とりあえず今は付け替えで
10:56	ゆうげん	別に買おう
10:56	あすか 11/19 8/11	後ろにするんやったら幼稚園の送迎とか考えて雨よけつけれるタイプのやつにしよと思ってた
10:56	ゆうげん	俺もそれがいいと思う
10:57	ゆうげん	自転車まだ捨てないでね
10:57	あすか 11/19 8/11	じゃあとりあえず自転車を2万前後でみたらいいの？
10:57	ゆうげん	うん
10:57	あすか 11/19 8/11	何するん？まじボロボロやで？
10:57	ゆうげん	とりあえず置いといて
10:57	あすか 11/19 8/11	前よりもペダルおかしくなってるし座るとこも剥がれてる
10:58	あすか 11/19 8/11	ろっきぃなら無料で引き取ってくれるけどいいの？置いといて
10:58	ゆうげん	"買った時じゃないよいけないの?
後ででも引き取ってくれるんじゃない?"
10:58	ゆうげん	レシート持ってったら
10:59	あすか 11/19 8/11	"持っていくのめんどない？笑
引き取ってくれるやろうけど"
10:59	あすか 11/19 8/11	また後日持って行くんやったらとりあえず置いとく意味ってあるんかなって思っただけ
11:05	ゆうげん	じゃあ
11:05	ゆうげん	椅子だけ付け替えてもらって
11:05	ゆうげん	できるだけ可愛いやつにしてね
11:05	ゆうげん	ベージュ的な
11:05	あすか 11/19 8/11	どゆこと？
11:06	ゆうげん	新しく買うやつね
11:07	あすか 11/19 8/11	新しく買うやつできるだけかわいいの？椅子つけかけてっていうのは子どもの椅子今のつけてもらってってこと？
11:07	あすか 11/19 8/11	古い自転車はどーする？
11:08	ゆうげん	"うん
あんまり妥協せず"
11:08	ゆうげん	古いのは持って行けるなら持ってって
12:26	あすか 11/19 8/11	どんなんあるか1回みてみなわからんな
12:26	あすか 11/19 8/11	おけ
13:07	ゆうげん	お願いします
14:10	あすか 11/19 8/11	☎ 不在着信
14:11	あすか 11/19 8/11	☎ 不在着信
14:13	あすか 11/19 8/11	☎ 不在着信
14:13	あすか 11/19 8/11	何してる
16:26	ゆうげん	めっちゃ寝てt
16:26	ゆうげん	た
18:28	あすか 11/19 8/11	おはよ
18:39	ゆうげん	めっちゃ寝れる
18:41	あすか 11/19 8/11	ごゆっくり
18:41	あすか 11/19 8/11	自転車確認してから買おうと思ったけどもう買った
18:45	あすか 11/19 8/11	これ早めに欲しいなぁ、、
18:45	ゆうげん	どんなのにした?
18:46	ゆうげん	おけ
18:46	あすか 11/19 8/11	[写真]
18:46	あすか 11/19 8/11	[写真]
18:46	あすか 11/19 8/11	ベージュもあったけど、文字が黒であんま好きじゃなかったからブラウンにした
18:48	ゆうげん	おけおけ
18:48	ゆうげん	可愛いね
18:49	あすか 11/19 8/11	25000払った、すまん
18:50	あすか 11/19 8/11	[写真]
18:50	あすか 11/19 8/11	こういうランプどっか安く売ってないかな……
18:53	ゆうげん	いいでいいで
18:53	ゆうげん	頑張って稼ぐ
18:53	ゆうげん	これどこの?
18:54	あすか 11/19 8/11	わかんない、Yahooの画像ひろった
19:13	ゆうげん	画像検索かけてみて
19:15	あすか 11/19 8/11	[写真]
19:15	あすか 11/19 8/11	[写真]
19:15	あすか 11/19 8/11	[写真]
19:32	ゆうげん	ふむ
19:32	ゆうげん	いい値段
19:32	あすか 11/19 8/11	そーやねん、なんか安いとこないかな
19:39	ゆうげん	でも可愛いね
19:39	ゆうげん	どこに置く予定?
19:40	あすか 11/19 8/11	"この白い棚の上に1個起きたい

まぁ、普段寝室とかでもいいけど"
19:40	あすか 11/19 8/11	寝室もこだわりたいよねぇ
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:50	あすか 11/19 8/11	[写真]
19:53	ゆうげん	すごい
19:53	ゆうげん	可愛い
20:24	あすか 11/19 8/11	かわいーよねぇ
20:25	ゆうげん	なんというか
20:25	ゆうげん	めっちゃ
20:25	ゆうげん	男の子の可愛さ凝縮
20:26	ゆうげん	[写真]
20:26	ゆうげん	これすき
20:27	ゆうげん	愛おしい
20:28	あすか 11/19 8/11	これかわいーね
21:32	ゆうげん	来週帰るわ
22:03	ゆうげん	会いたい
23:15	あすか 11/19 8/11	でもその時帰ってきたらまたすぐ連休で大阪じゃない？大丈夫？

2023/02/12(日)
07:27	ゆうげん	おはよう
09:11	あすか 11/19 8/11	おはよ
09:12	ゆうげん	まあ行けるやろ
10:03	ゆうげん	はやくあいたいし
11:32	ゆうげん	今めっちゃ
11:32	ゆうげん	片付けしてる
11:32	ゆうげん	こっちもこっちで
11:32	ゆうげん	いつ戻ってもいいようにしとかないと
14:32	あすか 11/19 8/11	いつか戻れんのかねぇ
15:10	ゆうげん	そうやね
15:10	ゆうげん	副業早く大きくして
15:10	ゆうげん	自立したい
17:45	あすか 11/19 8/11	副業って？
18:00	ゆうげん	写真や服飾
18:12	あすか 11/19 8/11	服飾…難しそうよね
18:12	ゆうげん	とりあえず発信力を高めることが大事
18:13	ゆうげん	俺は群れたりするのが大の苦手やから
18:13	ゆうげん	とにかく技術力と知識を高める
18:33	あすか 11/19 8/11	なんかお互いの得意なこと合わさっていい感じになったらいいなぁ
18:33	あすか 11/19 8/11	ﾌﾟﾁﾐｸﾞとかもSNS担当とか居てるし
19:06	ゆうげん	そそ
19:19	ゆうげん	だからこそ一緒に頑張るために毎週帰らないと
20:37	あすか 11/19 8/11	毎週は厳しいでしょ
20:39	ゆうげん	月3は帰る
20:39	ゆうげん	シンプルにあすかに会いたい時もあるし
20:51	ゆうげん	やっぱり1番癒されるのはあすかとギューしてる時やからそれないとしんどい
21:29	あすか 11/19 8/11	無理せずねーっ

2023/02/13(月)
08:53	ゆうげん	おはよう
08:53	ゆうげん	眠い
08:53	ゆうげん	最近乾燥強くて
08:53	ゆうげん	朝辛い
08:53	ゆうげん	鼻づまりで呼吸できてない
08:56	ゆうげん	あ
08:56	ゆうげん	来週の連休なにしたい?
08:56	ゆうげん	ちょっとお出かけする?
09:40	あすか 11/19 8/11	冬は乾燥するよねー、、
09:41	あすか 11/19 8/11	何しよっか？
09:41	あすか 11/19 8/11	1日くらいカフェ巡りに行く？
09:41	あすか 11/19 8/11	まだ寒いしねぇ
09:43	ゆうげん	それか温泉行くか
10:03	ゆうげん	近場で
10:26	ゆうげん	それかグランピング
10:50	あすか 11/19 8/11	今はあんま大きいお出かけはなぁ
10:50	あすか 11/19 8/11	お金､､､
10:50	ゆうげん	ふむ
10:51	ゆうげん	"近くに温泉なかったっけ
しゅんくん行ったとこ"
10:53	あすか 11/19 8/11	空庭温泉やっけ
10:53	あすか 11/19 8/11	近くではないけど
10:53	あすか 11/19 8/11	とりあえず私はある程度部屋完成させた過ぎてw
12:17	ゆうげん	ふむ
12:17	ゆうげん	カニは食いたい
14:39	あすか 11/19 8/11	カニ道楽いく？(笑)
14:41	ゆうげん	さかいやんな
14:42	ゆうげん	"行きたいね
1人1万くらい行くけど"
14:44	あすか 11/19 8/11	1番近いの岸和田じゃなかったっけ
16:16	ゆうげん	そやっけ
16:16	ゆうげん	今回の引き落とし
16:16	ゆうげん	めっちゃ少ない
16:16	ゆうげん	やった
16:17	ゆうげん	13万くらいや
16:18	ゆうげん	全部で
16:18	ゆうげん	これもニトリとか入ってるからそれ引いたら全部で8,9万
16:18	ゆうげん	だいぶ減ったね
16:18	ゆうげん	よかったよかった
16:20	ゆうげん	IKEAとニトリで5~6万やから実態は7、8マンか
16:20	ゆうげん	しかもバス代も引くから7万くらいか
16:20	ゆうげん	お互い頑張ってるね
17:27	ゆうげん	今日電話できる?
18:02	あすか 11/19 8/11	変な時間にナギとお昼寝しちゃったから夜は起きとけるやろうけどナギが寝るの遅そう
18:17	ゆうげん	待ってるで
20:12	あすか 11/19 8/11	多分23時前後なるで寝るの
20:12	ゆうげん	おっけ
20:12	ゆうげん	それまでに色々終わらせとく
20:12	ゆうげん	家具買うから
20:12	あすか 11/19 8/11	家具？
20:12	ゆうげん	あの
20:12	ゆうげん	名前忘れた
20:12	ゆうげん	白いアーチの
20:12	ゆうげん	だから起きてて
20:13	あすか 11/19 8/11	ん？ニトリの？
20:13	あすか 11/19 8/11	あ、ちゃうか
20:13	ゆうげん	あすかが欲しがってたやつ
20:13	あすか 11/19 8/11	あれよりニトリの棚の方がほし
20:13	ゆうげん	その辺の相談も兼ねて
23:28	あすか 11/19 8/11	なぎ寝てゴミ出したりしてた
23:29	ゆうげん	お疲れ様
23:29	ゆうげん	明日もえごか
23:29	ゆうげん	今からお風呂出るで
23:35	あすか 11/19 8/11	もえごってw略すなw
23:36	あすか 11/19 8/11	はーい
23:42	ゆうげん	髪乾かし中
23:54	ゆうげん	終わってるよ
23:56	あすか 11/19 8/11	はーい

2023/02/14(火)
00:02	あすか 11/19 8/11	適当にかけてきて
00:06	あすか 11/19 8/11	[写真]
00:09	ゆうげん	[写真]
00:14	あすか 11/19 8/11	[写真]
00:14	あすか 11/19 8/11	[写真]
00:14	あすか 11/19 8/11	[写真]
00:14	あすか 11/19 8/11	[写真]
00:14	あすか 11/19 8/11	[写真]
00:15	あすか 11/19 8/11	"○カラコン
○なぎのオムツ
○おむつのゴミ箱
○洗濯洗剤"
00:17	あすか 11/19 8/11	[写真]
00:17	あすか 11/19 8/11	[写真]
00:19	あすか 11/19 8/11	[写真]
00:19	あすか 11/19 8/11	[写真]
00:19	あすか 11/19 8/11	[写真]
00:19	あすか 11/19 8/11	[写真]
00:19	あすか 11/19 8/11	これ早めに
00:51	あすか 11/19 8/11	[写真]
00:51	あすか 11/19 8/11	[写真]
00:51	あすか 11/19 8/11	[写真]
00:51	あすか 11/19 8/11	[写真]
01:06	ゆうげん	☎ 通話時間 1:03:29
13:42	ゆうげん	オムツゴミ箱は
13:43	ゆうげん	どこに置くの?
18:31	ゆうげん	来週木曜仕事で帰れなくなった
18:31	ゆうげん	はぁ
18:46	あすか 11/19 8/11	まって
18:47	あすか 11/19 8/11	木曜仕事って何？祝日やで
18:47	ゆうげん	ちゃうわ
18:47	ゆうげん	金曜
18:47	あすか 11/19 8/11	なんで仕事？休み取ったんじゃないん
18:49	ゆうげん	新しくリリースするものが基本俺が担当やから
18:49	ゆうげん	なんかあったらあかんから
18:49	ゆうげん	"俺が見なあかん

引き継ぐにしてもかなり細かく作らなきゃ行けなくてそんなん作ってられへん"
18:49	ゆうげん	んでテレワークもあかん言われてるから
18:50	あすか 11/19 8/11	じゃあもうその週は帰ってこんの？
18:50	ゆうげん	帰るけど
18:50	ゆうげん	土曜着日帰る
18:50	ゆうげん	また死にそうになりながらやらなあかん
18:50	ゆうげん	お出かけも出来へん
18:50	ゆうげん	ご飯行くくらいか
18:51	あすか 11/19 8/11	無理に帰ってこんでいいんじゃない？いけるなら帰ってきて欲しいけど
18:51	あすか 11/19 8/11	ご飯かカフェかとかちゃう
18:51	ゆうげん	もうなんかやる気でん
18:51	ゆうげん	早く副業開始したいのに
19:34	ゆうげん	[写真]
19:34	ゆうげん	[写真]
19:34	ゆうげん	これ明日電話して欲しい
