1	出会った時くらいは45あったと思うんよなぁ
09:44	あすか 11/19 8/11	パパおすすめの本とか
09:44	あすか 11/19 8/11	あるの？
09:44	ゆうげん	どういうジャンルで?
09:49	あすか 11/19 8/11	私でも楽しんでというか飽きずに読めそうな（笑）
09:50	ゆうげん	えー笑
09:55	あすか 11/19 8/11	[写真]
09:55	あすか 11/19 8/11	[写真]
09:55	あすか 11/19 8/11	[写真]
09:55	ゆうげん	笑
09:55	あすか 11/19 8/11	こういう系読もかなぁて思ったりしたけどなんかなぁぁぁて
09:55	あすか 11/19 8/11	（笑）
09:57	あすか 11/19 8/11	"笑わんといてくれる？笑
割とマジでこういう系の気質
しんどいねんで
ｺﾗｺﾗｺﾗｺﾗ~(   `o´  )"
09:57	ゆうげん	電子書籍買おか
09:58	あすか 11/19 8/11	電子書籍か
09:58	あすか 11/19 8/11	読めるかな
10:04	ゆうげん	紙と電子書籍どっちがいい?
10:05	あすか 11/19 8/11	電子書籍を読んだことないからわかんないんよね🤔
10:06	あすか 11/19 8/11	紙の方が好きな気がするとは思うけどわかんない
10:14	ゆうげん	"場所とるしなぁ紙は

電子書籍なら俺が買ったらままも見れるし"
10:16	あすか 11/19 8/11	"そだね

全然どっちでも大丈夫"
10:18	ゆうげん	おっけ
10:18	ゆうげん	さっきの探してみるね
10:21	あすか 11/19 8/11	ありがとーっ
11:32	ゆうげん	ねむ
11:37	あすか 11/19 8/11	[動画]
11:38	あすか 11/19 8/11	気晴らし
11:38	あすか 11/19 8/11	大丈夫？
11:40	ゆうげん	ナギのスタスタ動画
11:45	あすか 11/19 8/11	[動画]
11:45	あすか 11/19 8/11	影に「ママ」てゆってる
11:45	あすか 11/19 8/11	（笑）
11:45	ゆうげん	声でか笑
12:04	あすか 11/19 8/11	ホンマに！声でかい（笑）
12:04	あすか 11/19 8/11	[動画]
12:04	あすか 11/19 8/11	おじいちゃん
12:05	あすか 11/19 8/11	あーさむ
12:05	ゆうげん	足速いな笑
12:05	ゆうげん	ママだうん来たらええのに
12:05	あすか 11/19 8/11	そろそろ家入ってお昼ご飯だね
12:05	あすか 11/19 8/11	ダウン軽いヤツ？
12:06	ゆうげん	いやしっかりダウン
12:24	あすか 11/19 8/11	どこにあるっけな
12:25	あすか 11/19 8/11	今日はお昼ご飯卵がゆにする
12:25	あすか 11/19 8/11	パパはー？
13:18	ゆうげん	ぱぱ
13:18	ゆうげん	おにぎり
13:18	ゆうげん	自分で握った
15:51	あすか 11/19 8/11	梅おにぎり？🍙
15:52	あすか 11/19 8/11	"今日は寝ずにやりたいこと
やろうと思ってたのに
寝てしまった、、、"
15:54	ゆうげん	しおにぎり
15:56	ゆうげん	休むことも重要よ
16:14	あすか 11/19 8/11	"ごはんだけなのか、、
パパもしっかり食べてね"
16:15	あすか 11/19 8/11	"そろそろ完成させたいのに
全然進んでないやばい"
16:15	ゆうげん	なにを?
16:17	あすか 11/19 8/11	[写真]
16:18	あすか 11/19 8/11	今こういうの作ってるんよ〜
16:18	あすか 11/19 8/11	節分
16:18	あすか 11/19 8/11	飾りなんやけど、メルカリに出してみようと思ってるけどもう1/20やからやべぇと思って
16:19	ゆうげん	節分いちやっけ
16:19	ゆうげん	いつやっけ
16:19	ゆうげん	間に合わん!
16:19	あすか 11/19 8/11	2/3
16:20	あすか 11/19 8/11	"当日にこんなん買う人おらんし
今出しても遅いやろうからやばいなって（笑）"
16:21	ゆうげん	急がないと
16:22	あすか 11/19 8/11	そうよな
16:23	あすか 11/19 8/11	まだ時間かかるし
16:23	あすか 11/19 8/11	諦めて次のイベントのつくろかな
16:24	あすか 11/19 8/11	"あーりんちめ行かれへんから
やる時間梛がねてるてきしかない"
16:25	あすか 11/19 8/11	"もっとやる気出さんと、、
お昼とか夜ゴロゴロねてる場合ちゃう"
16:27	あすか 11/19 8/11	iPhoneも色々データ整理しないと容量やばいし
16:27	あすか 11/19 8/11	でも今もナギには邪魔されながらLINEうつまてるから
16:28	あすか 11/19 8/11	邪魔されてるってなんかちゃうけど
16:29	ゆうげん	ゆっくりいこ
16:33	あすか 11/19 8/11	はい
17:06	ゆうげん	よしよし
17:22	あすか 11/19 8/11	[スタンプ]
17:26	ゆうげん	[スタンプ]
17:29	あすか 11/19 8/11	[スタンプ]
17:33	ゆうげん	こわいこわい
17:33	あすか 11/19 8/11	[スタンプ]
17:34	ゆうげん	[スタンプ]
17:36	あすか 11/19 8/11	[スタンプ]
17:36	あすか 11/19 8/11	[スタンプ]
17:47	あすか 11/19 8/11	お仕事もうすぐ終わる？
18:00	ゆうげん	もうちょいよ
18:22	ゆうげん	終わったお
18:27	あすか 11/19 8/11	お疲れ様です
18:38	ゆうげん	あすかも一日お疲れ様
18:38	あすか 11/19 8/11	まだまだこれからだよ
18:39	あすか 11/19 8/11	今日も東京過去最多だね
18:39	あすか 11/19 8/11	気をつけてね、、
18:39	ゆうげん	ほんとにね
18:39	あすか 11/19 8/11	どこまで増えるんだろ
18:39	あすか 11/19 8/11	こわ
18:41	ゆうげん	ね
18:41	ゆうげん	ほんとに
18:44	あすか 11/19 8/11	[動画]
18:44	あすか 11/19 8/11	だっとーーーー
18:44	あすか 11/19 8/11	あー、パパのこと抱きしめた
18:52	あすか 11/19 8/11	ナギの写真さ
18:53	あすか 11/19 8/11	アルバム作ろうと思いながら全然作ってないんやけど
18:53	あすか 11/19 8/11	[写真]
18:53	あすか 11/19 8/11	[写真]
18:53	あすか 11/19 8/11	こういうの高いかな。。
18:54	ゆうげん	高いとは?
18:55	あすか 11/19 8/11	ねだん
18:55	ゆうげん	なぎちゃんいやし
18:55	ゆうげん	自分らで撮ったやつをってこと❓
18:55	ゆうげん	撮ってもらうの?
18:55	あすか 11/19 8/11	そうそう
18:55	あすか 11/19 8/11	[写真]
18:56	あすか 11/19 8/11	値段こんな感じやった
18:56	ゆうげん	そんな高ない気がする
18:57	あすか 11/19 8/11	かなぁ？
18:57	あすか 11/19 8/11	[写真]
18:57	あすか 11/19 8/11	この辺の写真からアルバムにしたいけど家でやるのもなかなかお金かかる。。
18:57	あすか 11/19 8/11	インク代とかやべぇ
19:00	ゆうげん	データあるならお店に頼んだ方が安いかもね
19:03	ゆうげん	インクとか印刷紙とかどれ?
19:18	あすか 11/19 8/11	あとで見る
19:18	あすか 11/19 8/11	きっとそうよね
19:18	あすか 11/19 8/11	さっきのが可愛いなぁと思って見てた
19:25	あすか 11/19 8/11	https://www.instagram.com/p/CYjCYifP8Wi/?utm_medium=copy_link
19:25	あすか 11/19 8/11	かわいい
19:26	ゆうげん	ふむふむ
19:26	あすか 11/19 8/11	おたまとかそういう系は無印がいいなぁぁ
19:29	ゆうげん	おたまね
19:32	あすか 11/19 8/11	[写真]
19:32	あすか 11/19 8/11	こういう系
19:32	あすか 11/19 8/11	でもなんかネットやと在庫なし多め
19:32	あすか 11/19 8/11	あとさ、3COINSもめっちゃ便利でかわいいのいっぱいあるんよねぇぇ
19:32	あすか 11/19 8/11	3COINSはあんま好みじゃないかなパパ
19:33	ゆうげん	無印以上がいいな
19:33	あすか 11/19 8/11	3COINS取り入れたいんだけどね。。
19:34	ゆうげん	ものによる
19:34	ゆうげん	安っぽいのはや
19:34	あすか 11/19 8/11	まぁもの見てからでいいけど
19:34	あすか 11/19 8/11	高いもので揃えるのは嫌だなぁ
19:35	ゆうげん	"高いというか
いいものを長く使いたい"
19:35	あすか 11/19 8/11	それもそやけど
19:35	あすか 11/19 8/11	他の人がみて食いつきやすいというか、、真似しやすいくらいのものってやっぱ主婦としてめっちゃひかれるんよね（笑）
19:36	あすか 11/19 8/11	3COINSとかよくヒルナンデスでも取り上げられてて今日もやっててんけど
19:36	あすか 11/19 8/11	3COINSも300円以上のものもいっぱいおいてる店舗があるらしくて
19:36	あすか 11/19 8/11	めっちゃ行きたくなった（笑）
19:37	あすか 11/19 8/11	"こどものおもちゃとかも
めっちゃ人気なんよ3COINS"
19:37	あすか 11/19 8/11	原宿やったかな、、どこやったかな、、なんか新しくできた店舗あるらしい
19:38	ゆうげん	"いや
そういうのって結局流行りがあるやん
次出たらまたちゃうのみたいな"
19:38	ゆうげん	3年型が変わらないものの方が長い目で見てみんな飛びつく
19:38	ゆうげん	浅草の3cはなんか特別やった気がする
19:39	ゆうげん	流行りにのんのしんどいやん
19:39	あすか 11/19 8/11	流行りに乗ると言うより
19:39	あすか 11/19 8/11	素直にひかれるものほしいってだけ
19:39	あすか 11/19 8/11	[写真]
19:39	あすか 11/19 8/11	[写真]
19:39	あすか 11/19 8/11	これとか便利そーて思ってた
19:39	ゆうげん	"ベースはそれなりのもの
末端をそういうので揃えたらいいと思う"
19:40	あすか 11/19 8/11	"使いやすさ機能性
気兼ねなく使えるかどうか
とかも結構気になる"
19:41	あすか 11/19 8/11	"オシャレで高めの食器も
めっちゃいいなって思うし
色々ほしいけど"
19:41	あすか 11/19 8/11	"気兼ねなく使える感じとか
使いやすいなぁとか。。
そういうのもほしいなって"
19:41	あすか 11/19 8/11	ナギの食器とか他に子どもの食器まで高めやと気使って疲れそう（笑）
19:42	ゆうげん	あとは色とかかな
19:42	ゆうげん	それが揃ってたらまあええや
19:43	あすか 11/19 8/11	まぁ色とか雰囲気とか私もそこは好みあるしゆーくんとそこまでズレてないかなとは勝手に思ってるから
19:43	あすか 11/19 8/11	大丈夫かなって思うけどね
19:44	あすか 11/19 8/11	"でもなんかご飯とかも、
アンパンマンの食器だと
進む！みたいな時期もある
かもやからそうなった時とか
使っていいのかなぁとか思って（笑）"
19:45	あすか 11/19 8/11	"基本的にはゆーくんに
従う方がいいなって
思ってる"
19:45	あすか 11/19 8/11	(emoji)
19:45	あすか 11/19 8/11	センスよしやからなぁパパ
19:46	ゆうげん	まあなぎのはなぎ最優先
19:47	あすか 11/19 8/11	パパと一緒に買い物したいなぁ
19:47	あすか 11/19 8/11	どっか行くのももちろんいいし
19:48	あすか 11/19 8/11	隣にいてネットショッピングするのでもいいからしたい
19:48	ゆうげん	そやねぇ
19:48	ゆうげん	久しぶりに
19:49	ゆうげん	したいね
19:58	あすか 11/19 8/11	2人で時間あんまり気にせず
19:58	あすか 11/19 8/11	したい
19:59	あすか 11/19 8/11	なんか古着屋とかまわりまくってたの懐かしい
20:04	ゆうげん	古着また行きたいな
20:04	ゆうげん	てかナギと遊ぶ時古着がいい
20:08	あすか 11/19 8/11	古着とかどんな格好好きなの？
20:12	ゆうげん	ゆるーいの
21:03	あすか 11/19 8/11	ゆるーいの
21:03	あすか 11/19 8/11	🤔
21:04	あすか 11/19 8/11	"なんかあんまりパパの好み
掴めないんだよね未だに"
21:04	あすか 11/19 8/11	色々好きなのかな
21:19	ゆうげん	パパなんでも好きよ
21:51	あすか 11/19 8/11	☎ 通話時間 1:20
22:24	あすか 11/19 8/11	ねたー
22:24	ゆうげん	お疲れ様
22:28	あすか 11/19 8/11	パパもお疲れ様
22:32	ゆうげん	ケーキくいた
22:34	あすか 11/19 8/11	ケーキ？なんかめずらし
22:35	ゆうげん	レモンちずけ
22:37	あすか 11/19 8/11	あーそれはおいしいやつ
22:37	ゆうげん	ね
22:37	ゆうげん	美味いやつ
22:37	ゆうげん	あっさり甘いケーキくいた
22:39	あすか 11/19 8/11	タルトがいい
22:40	ゆうげん	今はムースとか
22:40	ゆうげん	そっち系
22:40	ゆうげん	がい
22:41	あすか 11/19 8/11	セブイレのあのーおいしいやつ
22:45	あすか 11/19 8/11	[写真]
22:45	あすか 11/19 8/11	こういう系？
22:45	あすか 11/19 8/11	[動画]
22:47	ゆうげん	そそ
22:47	ゆうげん	そんなやつ
22:47	ゆうげん	てへへへ
22:47	ゆうげん	可愛い
22:47	あすか 11/19 8/11	おいしいよねあれ
22:48	あすか 11/19 8/11	"もうすぐねんねのなぎと
って題名読んだらナギも
一緒に言おうとする"
22:49	ゆうげん	俺も絵本読んであげたい
22:49	ゆうげん	また
22:49	ゆうげん	ケーキ作ってや
22:49	ゆうげん	お菓子系
22:50	あすか 11/19 8/11	今度会えた時読んであげて
22:50	あすか 11/19 8/11	え
22:50	あすか 11/19 8/11	作る作る
22:50	あすか 11/19 8/11	"お菓子作りしたいというか
ゆー君に作りたいなって
思ってたんよ"
22:52	ゆうげん	俺も作ろ
22:53	あすか 11/19 8/11	何作るの
22:55	ゆうげん	フォンダンショコラ
22:57	あすか 11/19 8/11	そんなん作れるの
22:57	ゆうげん	作れるわきゃない
22:57	ゆうげん	1から勉強( ੭˙꒳ ˙)੭
22:58	あすか 11/19 8/11	なんでお菓子作り？
22:58	あすか 11/19 8/11	どしたん（笑）
22:58	ゆうげん	ままに負けないようにしないと
22:59	あすか 11/19 8/11	なにをw
23:01	ゆうげん	お菓子系
23:02	あすか 11/19 8/11	またそんなことしてあっという間に追い抜かして私の自己肯定感下げる気やな
23:04	ゆうげん	じゃあ
23:04	ゆうげん	まかせる
23:04	ゆうげん	全部つくて
23:05	あすか 11/19 8/11	一緒にしよ
23:06	あすか 11/19 8/11	"私料理もお菓子作りも
人並みやからパパが
本気になれば一瞬でぬかれちゃう"
23:08	ゆうげん	一緒にレベルあげよ
23:09	あすか 11/19 8/11	一緒には無理そ
23:09	あすか 11/19 8/11	パパが本気になればついていけない
23:14	ゆうげん	パパ本気になかなかならんからな
23:15	あすか 11/19 8/11	色々つくりたいなぁ
23:15	あすか 11/19 8/11	マイホームなったら
23:15	あすか 11/19 8/11	パパが帰ってくる度に色々作ろ
23:15	ゆうげん	ね
23:15	ゆうげん	今は本当に家が1番待ち遠しい
23:16	あすか 11/19 8/11	うん、ほんとにね
23:16	あすか 11/19 8/11	家が建つ前でも建ったあとでも、パパが大阪に帰って来れるタイミングがあるとするなら
23:16	あすか 11/19 8/11	それが一番待ち遠しいかな私は
23:27	ゆうげん	あーーー
23:27	ゆうげん	運動したい
23:31	あすか 11/19 8/11	めっちゃ話逸れた（笑）
23:31	あすか 11/19 8/11	バドミントンしたい
23:31	あすか 11/19 8/11	パパと
23:33	ゆうげん	バド苦手じゃ
23:34	あすか 11/19 8/11	私も下手やから続かんな
23:34	あすか 11/19 8/11	でもさ
23:34	ゆうげん	うん
23:35	あすか 11/19 8/11	一緒にラウワン行ったとき
23:35	あすか 11/19 8/11	全部それなりに出来てたよなゆーくん
23:35	あすか 11/19 8/11	私が運動音痴すぎるのか
23:35	あすか 11/19 8/11	あ
23:35	あすか 11/19 8/11	ローラースケートは小鹿やったけど
23:35	ゆうげん	みんなレベルが低すぎた
23:35	ゆうげん	平均ローラースケート
23:36	あすか 11/19 8/11	？
23:36	ゆうげん	運動レベル全部小鹿
23:36	ゆうげん	おれ
23:48	あすか 11/19 8/11	いや、それはない
23:48	あすか 11/19 8/11	パパもう寝る？よね
23:48	ゆうげん	そうやな
23:48	ゆうげん	もう寝ないとまずい
23:48	ゆうげん	明日出社や
23:49	あすか 11/19 8/11	おやすみだけ電話で言ってもいい？

2022/01/21(金)
00:00	ゆうげん	☎ 通話時間 10:43
00:01	あすか 11/19 8/11	[スタンプ]
00:01	あすか 11/19 8/11	[スタンプ]
07:30	ゆうげん	おはお
07:55	あすか 11/19 8/11	おはよ
08:10	ゆうげん	じゅんびちゅー
09:11	あすか 11/19 8/11	梛りんごタイム
09:11	あすか 11/19 8/11	無事おうち出れた？
09:12	あすか 11/19 8/11	お気をつけて
09:14	ゆうげん	出れたよー
09:14	ゆうげん	気をつける
09:21	あすか 11/19 8/11	よかった
09:24	あすか 11/19 8/11	[写真]
09:24	あすか 11/19 8/11	パン頬張りなぎと
09:45	ゆうげん	ナギが健康で
09:45	ゆうげん	今日も幸せだ
09:48	あすか 11/19 8/11	パパと梛がそろって健康だと
09:49	あすか 11/19 8/11	私も幸せよ
09:49	ゆうげん	朝3人でご飯食べたい
09:49	ゆうげん	マイホームで
09:49	あすか 11/19 8/11	朝ごはんに何かのポタージュとかね
09:49	あすか 11/19 8/11	お野菜も
09:50	あすか 11/19 8/11	しっかり朝ごはんタイムしたいね
10:00	ゆうげん	一緒におにぎりにぎりたい
10:05	あすか 11/19 8/11	いいねおにぎり
10:07	ゆうげん	なぎちゃんの握ったミニおにぎり
10:07	ゆうげん	あーかわい
10:08	ゆうげん	今月も10～15入れるね
10:08	ゆうげん	今貯金いくらや
10:08	ゆうげん	今年は300行きたい
10:12	あすか 11/19 8/11	かわいいね
10:12	あすか 11/19 8/11	ありがとう
10:13	あすか 11/19 8/11	127万
10:13	ゆうげん	じゃあ15で142か
10:14	あすか 11/19 8/11	毎月1万実家に渡して1~2万現金おろしてる、ID忘れたり使われへんとこやったりしたりするから
10:14	ゆうげん	おけ
10:14	ゆうげん	でも確実に貯金できてきてるから
10:14	ゆうげん	継続しよう
10:15	あすか 11/19 8/11	貯金できるようにメルペイ使ったりとか、、少しのことしか出来ないけど私も頑張るね
10:16	ゆうげん	俺は服いっぱい売ってくね
10:16	ゆうげん	何気にこの1年で売った服の金額
10:16	ゆうげん	54万やった
10:17	ゆうげん	[写真]
10:17	ゆうげん	全部売れてる
10:18	あすか 11/19 8/11	すご
10:18	あすか 11/19 8/11	"それでまた新しい服とかも
買えるからいいね"
10:19	ゆうげん	まあ俺のは極力買わずに
10:20	ゆうげん	貯めていこうと思う
10:20	ゆうげん	夏あんまり着ないしね
10:20	あすか 11/19 8/11	夏はまぁ確かにそだね
10:36	ゆうげん	それより家具とか家電とか
10:36	ゆうげん	そっちにお金使いたい
10:36	ゆうげん	服冷静に考えたらくそ高い
10:36	ゆうげん	アウターで炊飯器とレンジや洗濯機買えちゃうもん
10:36	ゆうげん	あたおか
10:55	あすか 11/19 8/11	"まぁ確かに同じ値段で
家電とか買えちゃうのは、、"
10:55	あすか 11/19 8/11	すごいよね（笑）
10:57	ゆうげん	ソファーも8-10マンするやろうし
11:12	あすか 11/19 8/11	ソファーて結局どうする予定？
11:13	あすか 11/19 8/11	ソファーじゃなくてyogiboとかの方がって前ゆー君言ってたけど💭
11:13	ゆうげん	"いや
ソファーにする"
11:13	ゆうげん	kanedemonoでいいかなぁとは思う
11:13	ゆうげん	あんま高いのはややし
11:20	ゆうげん	地べた置くと掃除しにくいし
11:20	ゆうげん	首いたなる
12:27	あすか 11/19 8/11	そうなんだね
12:28	あすか 11/19 8/11	"かなでもののソファ
どんなだっけ"
12:28	あすか 11/19 8/11	yogiboで腰とか痛なるってよく聞く
12:32	ゆうげん	[写真]
12:32	ゆうげん	おうちのビーズクッションで
12:32	ゆうげん	だいぶ首やられた
12:44	あすか 11/19 8/11	なるほど
12:45	あすか 11/19 8/11	ね、ビーズクッションとかって程よく使うのは良さそうやけど身体に来るっていうよね
13:56	ゆうげん	あとは足があるソファーの方がルンバとか掃除機通しやすい
14:18	あすか 11/19 8/11	"それはそだね！
ルンバさんにおまかせ出来るね"
14:18	あすか 11/19 8/11	"クイックルワイパーとかの
拭き掃除もしやすいね"
14:18	ゆうげん	そそ
14:19	ゆうげん	リビングテーブル置かない予定
14:20	あすか 11/19 8/11	あ、そうなの
14:21	あすか 11/19 8/11	ちいさいのも？
14:21	あすか 11/19 8/11	これはなぜ？
14:22	ゆうげん	"うーん
いるかなぁって"
14:22	ゆうげん	あった方がいいなら同じくかなでもののミニテーブルにする
14:37	あすか 11/19 8/11	"そだなぁ、、
私はほしいなと思ってた💭"
14:44	あすか 11/19 8/11	ゆー君が今使ってるのとかは嫌なんよね？テーブル
14:44	ゆうげん	"まあこれもって行って
買い替えでもいいけど"
14:44	ゆうげん	めっちゃオシャレってものではない
14:48	あすか 11/19 8/11	どのみちいるなら買い替えたい感じか
14:51	ゆうげん	そそ
14:51	ゆうげん	まあどれくらい出費あるかわからんからなぁ
14:53	あすか 11/19 8/11	そだね
14:53	あすか 11/19 8/11	"家具と家電とか
収納ケースとか
その他もろもろで
結構いきそうなんよね、、"
14:55	あすか 11/19 8/11	これ用の貯金する？
14:55	ゆうげん	"一応全部で30～50万を想定してる

テレビ
洗濯機
テーブル
椅子
ソファー
すのこ
ケース
これ最低限"
14:57	あすか 11/19 8/11	"服かけるハンガーとか洗濯物干す時にいるハンガーとか洗濯バサミとかピンチハンガーとか、、あとキッチン周りのもの（おたま類とかフライパンとか鍋とか食器とかボウルとか）もやから、、
なかなかお金いると思う"
14:58	あすか 11/19 8/11	"家具とか家電だけで
結構いきそうやなって
思ってるけどどうなんやろ、、"
14:58	ゆうげん	ちょっと計算してみてや
14:58	ゆうげん	まあ50は行かんと思う
14:59	ゆうげん	家電はあとレンジあれば行ける
14:59	あすか 11/19 8/11	"家具と家電後何いるかとか
他の細かいものいくついるか
わかんない"
14:59	ゆうげん	炊飯器トースターポッドはバルミューダ揃った
14:59	あすか 11/19 8/11	今家電なんかもう買ってるんやっけ
14:59	あすか 11/19 8/11	あ、おけ
14:59	あすか 11/19 8/11	オーブンレンジはどこのにするの？
15:00	あすか 11/19 8/11	洗濯機もどこのが決まってないね
15:00	ゆうげん	"これも一旦はバルミューダでいいかなぁ
洗濯機はもうちょい考える"
15:00	ゆうげん	"とりあえず８－10万くらいやと思う
洗濯機"
15:02	あすか 11/19 8/11	梛起きたからまた夜いけたら話そーーっ
15:58	ゆうげん	おけけ
17:29	あすか 11/19 8/11	[写真]
17:29	あすか 11/19 8/11	わんこ
17:29	あすか 11/19 8/11	[写真]
17:29	あすか 11/19 8/11	ママは前髪切りました
17:50	ゆうげん	[写真]
17:50	ゆうげん	怒っとるやん
17:51	ゆうげん	ママ前髪短なったら
17:51	ゆうげん	若くなる
17:51	ゆうげん	というかなりすぎる
18:35	あすか 11/19 8/11	ね
18:35	あすか 11/19 8/11	切りすぎた
18:45	ゆうげん	まま１回モードな髪型して欲しい
18:47	ゆうげん	[写真]
18:47	ゆうげん	[写真]
18:47	ゆうげん	切りそろえる感じ
18:48	あすか 11/19 8/11	これはちょっと、、
18:48	あすか 11/19 8/11	笑
18:48	ゆうげん	かっこいいやん
18:48	ゆうげん	似合うで絶対
18:48	あすか 11/19 8/11	似合わん似合わん
18:49	ゆうげん	左とか似合うて
19:00	あすか 11/19 8/11	いやぁぁ
19:00	あすか 11/19 8/11	好みじゃない
19:00	あすか 11/19 8/11	私が（笑）
19:00	あすか 11/19 8/11	[写真]
19:00	あすか 11/19 8/11	[写真]
19:01	あすか 11/19 8/11	今日の晩ご飯
19:12	ゆうげん	おわたよ
19:12	ゆうげん	かえるよ
19:12	ゆうげん	お野菜いっぱいや
19:12	ゆうげん	いいこと
19:18	あすか 11/19 8/11	お疲れ様
19:19	あすか 11/19 8/11	前にきのこ類買うだけ買ってて
19:19	あすか 11/19 8/11	今日ほうれん草安くて買って
19:19	ゆうげん	いいこと
19:20	ゆうげん	ほうれん草鬼のように食べや
19:20	あすか 11/19 8/11	"梛も食べれるからと思って
同じように自分のも
違う味で煮込んだ（笑）"
19:20	あすか 11/19 8/11	パパもちゃんと食べてる？
19:24	ゆうげん	食べてるよ
19:24	ゆうげん	今日は煮込みハンバーグ弁当買った
19:25	ゆうげん	700えん
19:27	あすか 11/19 8/11	お昼ごはん？
19:27	ゆうげん	そそ
19:27	ゆうげん	ほうれん草とブロッコリ入ってた
19:28	ゆうげん	けんこー
19:28	あすか 11/19 8/11	いいじゃんいいじゃん🙆🏼‍♀️
19:28	あすか 11/19 8/11	お互いにしっかり食べよね
19:29	ゆうげん	晩御飯は相変わらず豚ほうれんゆでたま
19:29	あすか 11/19 8/11	偏ってる気もするけど栄養あるもの食べてるから良しかな
19:33	あすか 11/19 8/11	納豆とかも食べてるんやもんね
19:33	ゆうげん	"偏ってない
完全栄養献立"
19:34	ゆうげん	[スタンプ]
19:34	あすか 11/19 8/11	ちゃうちゃう、同じものばっかやから
19:34	あすか 11/19 8/11	[スタンプ]
19:49	ゆうげん	家ついた
19:51	あすか 11/19 8/11	おかえり
19:51	あすか 11/19 8/11	[動画]
19:51	あすか 11/19 8/11	お絵かき＆シール貼りしてたよ
19:51	あすか 11/19 8/11	お風呂入ってくる
19:55	ゆうげん	赤色好きなんかな
19:55	ゆうげん	かわい
20:38	あすか 11/19 8/11	んー、どやろ
20:38	あすか 11/19 8/11	[動画]
