 11/19 8/11	イクタは無垢っぽい？質感なのかな
17:52	あすか 11/19 8/11	どんなグレーにするん
17:52	あすか 11/19 8/11	取っ手かえちゃだめ？
17:52	ゆうげん	どこの取手?
17:52	ゆうげん	ライトグレー
17:56	ゆうげん	2階トイレはニッチあり壁の色と合わせるかな
17:57	あすか 11/19 8/11	ライトグレーてどんなん
17:57	あすか 11/19 8/11	そんな色の扉あった？
17:57	あすか 11/19 8/11	取っ手は子ども部屋とか
17:58	あすか 11/19 8/11	まぁ無理やろけど
17:58	あすか 11/19 8/11	白に白ってどんなん
17:58	ゆうげん	グレーあった気がする
17:58	あすか 11/19 8/11	ライトグレー？
18:01	あすか 11/19 8/11	"あれってどんなんやったっけ

ダイニングテーブル"
18:02	ゆうげん	[写真]
18:02	ゆうげん	こんなん
18:02	ゆうげん	天板の色は種類ある
18:02	あすか 11/19 8/11	脚それ？
18:02	ゆうげん	別でもいい
18:02	あすか 11/19 8/11	脚も色々あるの？
18:03	あすか 11/19 8/11	椅子も色々あるんかな、またみてみよ
18:03	あすか 11/19 8/11	あと寝室さ
18:03	あすか 11/19 8/11	[写真]
18:03	ゆうげん	[写真]
18:03	ゆうげん	足いっぱいある
18:03	あすか 11/19 8/11	上は普通で下にこんな感じの台作るだけとかでもよかったりせん？
18:04	ゆうげん	全然いいと思う
18:04	あすか 11/19 8/11	じゃあそんな感じが良いかなあ
18:05	あすか 11/19 8/11	今日起きとけるかわからんけど起きとけるように頑張るからまた話そ
18:05	ゆうげん	おけ
18:05	あすか 11/19 8/11	とりあえず帰ってご飯→お風呂→寝かしつけするわ
18:05	ゆうげん	あい
19:16	あすか 11/19 8/11	今からごはんー
19:17	ゆうげん	今日は何食べる?
19:20	あすか 11/19 8/11	ツナと玉ねぎとピーマン入ったオムライス
19:20	ゆうげん	ほう
19:20	ゆうげん	オムライス
19:20	あすか 11/19 8/11	[写真]
19:20	ゆうげん	コンポタ
19:21	ゆうげん	たまご食べれるのね
19:24	あすか 11/19 8/11	卵ずっと前から食べてるし
19:24	あすか 11/19 8/11	卵焼き大好き
19:35	あすか 11/19 8/11	[写真]
19:35	あすか 11/19 8/11	"トマト完食
ご飯もうちょい"
19:35	ゆうげん	おー
19:35	ゆうげん	"すごい
食べきった"
19:35	あすか 11/19 8/11	コンポタあんまりっぽい
19:35	ゆうげん	ふむ
19:35	ゆうげん	てか
19:35	ゆうげん	おれ
19:36	ゆうげん	ベルト忘れたやんな
19:36	あすか 11/19 8/11	ベルト？どんなん？
19:36	あすか 11/19 8/11	気付いてない
19:36	ゆうげん	黒色
19:37	ゆうげん	ベットの周りかな
19:37	あすか 11/19 8/11	見てみとく
19:37	ゆうげん	ありがとう
19:38	あすか 11/19 8/11	[写真]
19:38	あすか 11/19 8/11	完食
19:38	ゆうげん	やったね
19:39	あすか 11/19 8/11	コンポタは市販やから食べんでも許せるw
19:39	ゆうげん	このナギ可愛い
19:39	あすか 11/19 8/11	[動画]
19:39	あすか 11/19 8/11	遊んでる
19:40	ゆうげん	スープはまだまだ慣れへんな
19:41	あすか 11/19 8/11	1.2回舐めてたけど(笑)
19:42	あすか 11/19 8/11	ナギからピースしてきた
19:42	あすか 11/19 8/11	[写真]
19:42	ゆうげん	ピースというかスクエアというか
19:42	ゆうげん	かわい
19:42	あすか 11/19 8/11	ナギのピースこれ
19:42	あすか 11/19 8/11	ピースって言いながらこれする
19:42	ゆうげん	めっちゃ可愛い
19:42	ゆうげん	旅行用にママのサンダル送ろかな
19:43	あすか 11/19 8/11	ピース！て言ってポーズとるから写真撮ったら見せてって言われた
19:43	ゆうげん	女の子並みに写り気にしそう
19:43	あすか 11/19 8/11	[写真]
19:43	あすか 11/19 8/11	[写真]
19:43	あすか 11/19 8/11	[写真]
19:43	あすか 11/19 8/11	[写真]
19:43	あすか 11/19 8/11	ピース祭り
19:44	あすか 11/19 8/11	また夏でいいよ
19:50	ゆうげん	かっこい
19:50	ゆうげん	"そうそう
旅行の時ね"
19:51	ゆうげん	バトミントンのももたやっけ
19:51	ゆうげん	似てる
19:51	ゆうげん	[写真]
19:54	あすか 11/19 8/11	[写真]
19:54	あすか 11/19 8/11	[写真]
19:54	あすか 11/19 8/11	[写真]
19:54	あすか 11/19 8/11	昨日
19:55	ゆうげん	かわい
22:32	ゆうげん	起きてる?
23:09	あすか 11/19 8/11	寝ちゃってた、、
23:10	ゆうげん	おはよう
23:10	ゆうげん	トイレ行ってくる
23:17	ゆうげん	おけ
23:19	あすか 11/19 8/11	ちょい待ってね
23:19	ゆうげん	あい
23:30	あすか 11/19 8/11	おけです
23:42	ゆうげん	[写真]
23:43	ゆうげん	[写真]
23:54	あすか 11/19 8/11	[写真]
23:54	あすか 11/19 8/11	[写真]
23:54	あすか 11/19 8/11	[写真]
23:54	あすか 11/19 8/11	[写真]

2022/05/26(木)
00:00	ゆうげん	[写真]
00:00	ゆうげん	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:35	あすか 11/19 8/11	[写真]
00:48	あすか 11/19 8/11	[写真]
00:48	あすか 11/19 8/11	[写真]
00:50	あすか 11/19 8/11	[写真]
01:00	ゆうげん	[写真]
01:06	ゆうげん	[写真]
01:14	あすか 11/19 8/11	[写真]
01:14	あすか 11/19 8/11	[写真]
01:26	ゆうげん	☎ 通話時間 1:54:58
08:49	あすか 11/19 8/11	"おはよう



〇キッチン
・キッチン色見直し
(ウォルナット→グレー系)
・飾り棚2こ
(ウッドワン)

〇床色全部屋見直し
(エイダイで見てるけど
ウッドワンとイクタも見たい)
・LDK
・ホビールーム
・子ども部屋
・トイレ
・洗面所

〇壁の色決めていく
・白はどれにするか
・各部屋アクセントカラー
入れるか、入れるならどうするか 
・トイレも1.2階それぞれどうするか

〇使う電気のデザイン
・基本ダウンライト
・LDKのペンダントと
    スポットライト
・階段のブラケットライト
・寝室のライト

〇神谷フルハイドア
・基本白(取っ手も白)
・2階トイレグレーの可能性

〇トイレ
・1階のトイレの雰囲気
(↑決めていい？)
・2階のトイレの雰囲気

〇お風呂
・壁の色決める
・その他浴槽の形？とか
  決定していく"
08:49	あすか 11/19 8/11	こんな雰囲気ってどう思う？
08:51	あすか 11/19 8/11	"昨日の夜決めなあかんことメモっててんけどほかなんかあるかな？

置く家具とかも決めないとやな

あとなんかあるかな"
08:52	ゆうげん	今日図面見ながら埋めていこう
08:53	あすか 11/19 8/11	床とか飾り棚、どっか見に行けるなら行った方がいいよな
08:53	あすか 11/19 8/11	アイカも洗面だけじゃなくて色々あるみたいやな
08:54	ゆうげん	モールテックスもどきもあいかはあるからね
08:54	あすか 11/19 8/11	仕様に使うものは最終また目で見て決めた方が良さそう
08:54	ゆうげん	金属部分がゴールドってこと?
08:59	あすか 11/19 8/11	"そう
鏡も可愛いなぁておもう

ただ、このゴールドのやつ真鍮って言うんやけどお手入れは必須みたいやなぁ

このグレーとゴールドの感じの中に小物で黒あるのが可愛いなぁとは思ったけど"
09:00	あすか 11/19 8/11	[写真]
09:01	ゆうげん	"ゴールドはやっぱりシャンデリア調というか
メルヘンチックな感じがする

北浜のアフターヌーンティーのお店みたいな

ガーリーな感じ"
09:02	あすか 11/19 8/11	"かなー？
可愛さとかっこよさ持ち合わせてる感じに見えるけどなぁ"
09:03	ゆうげん	"黒はシックで大人
引き締めな感じ

ゴールドにすると引き締め少なくてなだらか

ゴールド入れるならグレーよりキナリみたいな色の方がより合うと思う"
09:04	あすか 11/19 8/11	"グレーにゴールドで小物黒が
いい感じやなと思ったけどなぁ"
09:05	ゆうげん	ベースがモノトーンで差し色ゴールドが限界やと思う
09:05	ゆうげん	ゴールドの比率あげるとそもそもの雰囲気変えた方がいい
09:05	あすか 11/19 8/11	全部屋変える必要はなくない？
09:06	あすか 11/19 8/11	"1.2階雰囲気少し違ってもいいんかなーて思う

そんな大きくは変わらんし

使う色
グレー、黒、ゴールドやから"
09:06	ゆうげん	"例えば花瓶、小物、ペンダントライト
これくらいでゴールド混ぜるなら全然いいけど"
09:07	あすか 11/19 8/11	[写真]
09:07	あすか 11/19 8/11	モノトーンよりもっと明るい雰囲気がいいなぁと思う
09:07	あすか 11/19 8/11	ここのお家も雰囲気柔らかいやん？モノトーンではないよなぁ
09:07	ゆうげん	それはもう根本が変わる
09:07	あすか 11/19 8/11	LDKはね
09:08	あすか 11/19 8/11	このお家ベースで考えてなかった？もともと
09:08	ゆうげん	この家は天井木目で柔らかくなってて
09:08	ゆうげん	ほか一緒やで
09:08	ゆうげん	モノトーン
09:08	あすか 11/19 8/11	キッチン上は木目入るやろ
09:08	ゆうげん	だからそれで柔らかいやん
09:08	あすか 11/19 8/11	置物が結構ナチュラルじゃない？
09:09	あすか 11/19 8/11	"白、黒、ライトグレー、木目、ゴールド

らへんを使ってあの家みたいに柔らかめの雰囲気にはしたいなぁ"
09:10	ゆうげん	だからモノトーン基調のインテリアナチュラルでバランス取れる
09:10	ゆうげん	家具の足が黒ってだけで家具自体は木製やし
09:12	あすか 11/19 8/11	[写真]
09:12	あすか 11/19 8/11	脚黒より白がいいんやんな？
09:15	ゆうげん	いや
09:15	ゆうげん	黒
09:15	あすか 11/19 8/11	あ、聞き方間違えた
09:15	あすか 11/19 8/11	白より黒がいいんやんなって聞こうとした
09:15	あすか 11/19 8/11	1番細い脚がいいな
09:16	あすか 11/19 8/11	椅子もまた考えないと
09:16	ゆうげん	白にすると床をもっとベージュよりにしたらゴールドも馴染むと思う
09:16	ゆうげん	テーブルも椅子も金属は細くする予定
09:16	あすか 11/19 8/11	床とかもほか見てみたいのは見てみたいのよなぁ
09:18	あすか 11/19 8/11	[写真]
09:18	あすか 11/19 8/11	選んでるこれはこれで色もムラ感あるのもいいなぁとは思うけど
09:19	あすか 11/19 8/11	他なんかもっと良さげなのとかあるんかなーて。
09:20	ゆうげん	7/1に
09:20	ゆうげん	家具見てくる
09:20	ゆうげん	サイズ感決めとかないと
09:20	あすか 11/19 8/11	おけ
09:20	ゆうげん	床は全体イメージ決まるから
09:21	ゆうげん	どの部屋をどんな雰囲気にしたいかで変わる
09:23	ゆうげん	"この度は、Kanademono BASEをご予約いただき、誠にありがとうございます。

予約が確定いたしました。
完全予約制の為、ご予約時間ちょうどのご来店をお願いしております。
ご予約時間になりましたら、店舗入口でこちらのメールをスタッフへ提示してください。

【アクセス】
東京都渋谷区代々木5-7-5 Portal Point Yoyogi-koen 1F
小田急線代々木八幡駅北口を出てスグ　https://goo.gl/maps/XKZyivig1RJCkPA46
施設前に駐輪・駐車はできかねます。近隣駐輪場・駐車場をご利用ください。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
■ご来店前にご準備ください
下記項目の写真やサンプル等をご準備いただくと、実際に商品を見た際にイメージがしやすく、スタッフとのやり取りもスムーズです。より良いお買い物となりますよう、お手数ではございますがぜひご準備くださいませ。

・床の色
・建具の色
・一緒に組み合わせる家具のサイズや色等
・お部屋の大きさがわかる図面等
・お好みのインテリアスタイル、イメージ

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝"
09:23	あすか 11/19 8/11	東京にしかないんやんな
09:24	ゆうげん	ここしかない
09:24	あすか 11/19 8/11	LDKはもうちょい明るめ？の方がこの部屋に近づくんかな
09:25	あすか 11/19 8/11	このへや
09:25	ゆうげん	"いや
こんな部屋になると思うよ"
09:25	あすか 11/19 8/11	同じ色味で模様があれかなぁ
09:25	ゆうげん	そんなにシック過ぎへんから
09:26	ゆうげん	あと
09:27	ゆうげん	扉は内と外で取手色違うのはあかんの?
09:27	あすか 11/19 8/11	そうかな？なんか暗く感じる
09:27	あすか 11/19 8/11	[写真]
09:28	あすか 11/19 8/11	それでもいいけどもう白で統一でいいかな
09:29	あすか 11/19 8/11	ややこしいし、多分探してつけないと神谷ゴールドは無さげやし
09:29	ゆうげん	天井下げる範囲は
09:29	ゆうげん	どこまでにする?
09:29	ゆうげん	それで色々印象変わる
09:30	ゆうげん	[写真]
09:30	ゆうげん	これは奥も手前も濃いグレーやから暗く見える
09:31	ゆうげん	もっとグレー抜いた床でもいいとは思うけど
09:31	ゆうげん	ホワイトにはしたくないな
09:31	あすか 11/19 8/11	"前なんか範囲決めてくれてた気が

ちょいまち"
09:32	あすか 11/19 8/11	グレー抜いても白は私も違うと思ってる
09:32	あすか 11/19 8/11	模様かなぁ変えるなら
09:32	あすか 11/19 8/11	あとは子ども部屋と寝室はどの道変えたいなぁ
09:32	あすか 11/19 8/11	"エイダイで見直してもいいし
ほか見て見てもいいし"
09:33	ゆうげん	床材は広い分
09:33	ゆうげん	価格による
09:34	あすか 11/19 8/11	[写真]
09:35	あすか 11/19 8/11	"このアトムジェニックも、
今の標準ではなくて
前まで標準やったから
標準の値段でいけると思う
って感じやったから
標準も見直してもいいかもなぁ"
09:35	あすか 11/19 8/11	これ下がり天井
09:37	あすか 11/19 8/11	"あとはテレビの後ろとかアクセントカラー入れてもいいのかなぁと思ったり。。
どっかにはアクセントカラーいれたいなぁ。LDK"
09:37	あすか 11/19 8/11	キッチンは壁白がいいけど
09:39	ゆうげん	[写真]
09:39	ゆうげん	[写真]
09:39	ゆうげん	それぞれ部屋のイメージ書いて
09:39	ゆうげん	使いたい色とか
09:44	ゆうげん	あと今まで
09:44	ゆうげん	参考にした画像
09:44	ゆうげん	アルバムかなんかにまとめて欲しい
09:47	あすか 11/19 8/11	"使いたい色は何となくしか書かれへん

床とかどんなんあるかわからん

そして紙にそれぞれ書き始めてはいた"
09:47	あすか 11/19 8/11	どういうやつ？今までって全部？
09:47	ゆうげん	じゃあ紙写真でくれ
09:47	ゆうげん	極力全部
09:47	あすか 11/19 8/11	まだ全然書いてない
09:48	あすか 11/19 8/11	壁の色ここ変えようかなぁくらいしか
09:48	ゆうげん	[写真]
09:48	ゆうげん	[写真]
09:48	ゆうげん	[写真]
09:48	ゆうげん	[写真]
09:48	ゆうげん	こんな感じの全部
09:48	あすか 11/19 8/11	見せただけで参考にして採用することないやろなみたいなも含まれてるからよくわからんけどわかった
09:49	ゆうげん	とりあえず全部意見欲しいから全部見せて
09:51	ゆうげん	俺に見せてないインスタの部屋写真とかもとりあえずアルバムにぶち込んで欲しい
09:56	ゆうげん	[アルバム] (null)
10:08	あすか 11/19 8/11	[アルバム] (null)
10:29	ゆうげん	後できたら
10:29	ゆうげん	インスタ出来になってる家の床材
10:29	ゆうげん	コメントで聞いて欲しい
10:29	ゆうげん	[写真]
10:30	ゆうげん	あとリビングの柱は
10:30	ゆうげん	1本より２－３本にしたい
10:30	ゆうげん	グレーで
10:30	ゆうげん	1本ポツンより規則性が出て整って見える
10:30	ゆうげん	昨日の壁の飾り棚と一緒で
10:35	あすか 11/19 8/11	[写真]
10:35	あすか 11/19 8/11	ここのおうちの床材いいなぁて思うけどここはウッドワン
10:35	ゆうげん	ウッドワンの何??
10:35	あすか 11/19 8/11	ウッドワン自体どれ選んでもオプションなるみたいやからエイダイとかで見た方がいいんかなぁとかは思ったけど
10:38	ゆうげん	無垢材か合成材かで
10:38	ゆうげん	全然ちゃうと思う
10:38	あすか 11/19 8/11	"〇コンビットリアージュグレージュ
〇コンビットリアージュ152木目柄"
10:38	あすか 11/19 8/11	この2色やと思う
10:39	ゆうげん	あと出来たら各部屋の絵を描きたい
10:39	あすか 11/19 8/11	コンビットリアージュってので何色かありそう
10:39	ゆうげん	よりイメージ固めたい
10:39	あすか 11/19 8/11	家具置いた感じの？
10:39	ゆうげん	それノートにまとめて
10:39	ゆうげん	一旦家具なし
10:39	あすか 11/19 8/11	色味ってこと？
10:39	ゆうげん	[ノート] 床材希望
10:39	あすか 11/19 8/11	"今日またあーりんちで
手空いてるとき色々ノートまとめる"
10:40	ゆうげん	色味と形のイメージ
10:40	あすか 11/19 8/11	"アイ工務店のエイダイの標準しりたいなぁ

ダイケンは床材サンプル小さいのがまとまったやつあったんやけどエイダイない"
10:40	ゆうげん	例えばキッチン上の窓も1個がいいのか2個がいいのか
10:41	ゆうげん	飾り棚の圧迫感どうかなど
10:41	ゆうげん	絵で見た方がわかりやすいやろ
10:41	あすか 11/19 8/11	絵はサイズ感適当になるけどね
10:41	ゆうげん	それでもイメージはつく
10:41	あすか 11/19 8/11	柱グレーがいいの？
10:41	あすか 11/19 8/11	[写真]
10:42	あすか 11/19 8/11	木目もいいんかなぁて思ったりはしてたけどグレーのがキレイんかな
10:43	あすか 11/19 8/11	[アルバム] (null)
10:44	ゆうげん	"これは下げ天井に繋がってるからね

うちは正面から見たときモールテックスカウンターとニッチが見えるからグレーの方が馴染むと思った

白やとぶった切ってる感あるし、木目は下げ天井で足りるかなと"
10:44	ゆうげん	[写真]
10:44	ゆうげん	これ玄関何で仕上げてるん
10:44	ゆうげん	モルタル?
10:47	ゆうげん	あとインテリアとアート系も希望あったら
10:47	ゆうげん	アルバムにまとめて欲しい
10:49	あすか 11/19 8/11	ちゃんと見れてない、あとで見てみる
10:49	ゆうげん	https://kanademono.design/collections/art
10:49	あすか 11/19 8/11	また時間ある時ちょっとずつでもやっとく
10:49	あすか 11/19 8/11	[写真]
10:49	あすか 11/19 8/11	[写真]
10:49	あすか 11/19 8/11	[写真]
10:49	あすか 11/19 8/11	[写真]
10:49	ゆうげん	かなでもののアートと気になる家具ピックアップしといて
10:49	あすか 11/19 8/11	みんなが使ってるからいいってもんでも無いけどインスタの件数はこんな感じ
10:50	あすか 11/19 8/11	順番にやれることからやっとく
10:51	あすか 11/19 8/11	とりあえずメイクもナギのこともスーパーの買い出しもほったらかしてこの時間なってしもたからやることやるわ先
10:51	ゆうげん	[アルバム] (null)
10:51	ゆうげん	ウッドワン強すぎるやろ
10:52	ゆうげん	"エイダイは
eidai
とか漢字アルファベットで分散してそう"
10:56	ゆうげん	https://www.catalabo.org/iportal/CatalogViewInterfaceStartUpAction.do?method=startUp&mode=PAGE&volumeID=CATALABO&catalogId=70877980000&pageGroupId=1&catalogCategoryId=&keyword=
10:57	ゆうげん	ウッドワンの床材、壁カタログ
11:58	ゆうげん	[アルバム] (null)
12:37	ゆうげん	"ナギとのお散歩にも着れる
春夏カーディガン送るね"
12:37	ゆうげん	分厚いのしか無かったやろうし
16:59	あすか 11/19 8/11	[ノート] 〇キッチン
・キッチン色見直し
(ウォルナット→グレー系)
・飾り棚2こ
(ウッドワン)

〇床色全部屋見直し
(エイダイで見てるけど
ウッドワンも見たい)
・LDK
・ホビールーム
・子ども部屋
(
17:54	あすか 11/19 8/11	[アルバム] (null)
19:05	ゆうげん	もうお風呂上がったら
19:05	ゆうげん	電話つなご
19:06	ゆうげん	寝るまで喋らんけど
19:21	あすか 11/19 8/11	今からご飯
19:21	あすか 11/19 8/11	[写真]
19:21	あすか 11/19 8/11	今日は焼きそば
19:21	ゆうげん	お
19:22	ゆうげん	パスタかと思った
19:22	ゆうげん	すするの美味そう
19:23	あすか 11/19 8/11	焼きそばよ
19:24	ゆうげん	トマトか
19:25	ゆうげん	紅しょうがかと思った
19:25	あすか 11/19 8/11	トマトよ(笑)
19:25	あすか 11/19 8/11	もう最近湿気やばいし暑いしで部屋の中ではオムツと肌着
19:26	あすか 11/19 8/11	エアコンもまだ早いし今が一番嫌な時期やな
19:31	あすか 11/19 8/11	[写真]
19:31	あすか 11/19 8/11	[写真]
19:32	あすか 11/19 8/11	"これ
モルタルやね"
19:32	あすか 11/19 8/11	そこに真鍮の文字いれてる
19:33	ゆうげん	"文字はやばい
ちょっとダサい"
19:33	ゆうげん	汚れ溜まりそうやし
19:33	あすか 11/19 8/11	ダサくはないよ、かわいい
19:33	あすか 11/19 8/11	入れなくて全然いいけど
19:34	ゆうげん	"寝室20-30cmくらい段作って
こんな感じの床材入れたらいいんじゃない?"
19:34	ゆうげん	元々ニッチ作ろうとしてたとこ段作るってなったやん
19:34	ゆうげん	そこの幅広げて
19:34	あすか 11/19 8/11	どんな感じの？
19:34	あすか 11/19 8/11	幅はそんなにいらんかなと思ってる
19:35	ゆうげん	[写真]
19:35	ゆうげん	これ
19:35	あすか 11/19 8/11	[写真]
19:35	あすか 11/19 8/11	こういう落ち着いた柔らかい感じ？の雰囲気にしたい
19:36	ゆうげん	"20-30cmくらいあったら布団でもベッドみたいな扱いでできるし

木材多めに出すから柔らかい印象になると思う"
19:36	あすか 11/19 8/11	どゆこと？
19:36	ゆうげん	とりあえず段の幅広くとって木目にしたらやわらかさ増す
19:37	あすか 11/19 8/11	いや、段の幅はそんなに要らない
19:37	ゆうげん	"リゾート感というか
ナチュラル感出すなら幅あった方がいい"
19:37	ゆうげん	椅子代わりとか使い道も増える
19:38	ゆうげん	ちょびっとの幅やとまじで小物置くしか出来んしね
19:38	あすか 11/19 8/11	椅子がわりに座るとかはできない方がいい
19:38	あすか 11/19 8/11	子どもが悪さする
19:38	あすか 11/19 8/11	20-30は広いかなぁ
19:38	あすか 11/19 8/11	極端に狭くもせんけど
19:38	あすか 11/19 8/11	[写真]
19:39	ゆうげん	あくまで上みたいな大きめの木目ならね
19:39	あすか 11/19 8/11	こんな感じかな
19:39	あすか 11/19 8/11	大きめの木目？
19:39	ゆうげん	これやったら結局2階と印象変わらんやん
19:39	あすか 11/19 8/11	イメージで送ってるようなグレー？のクロスに白い板がいい
19:40	あすか 11/19 8/11	小物でナチュラル感出したい
19:40	ゆうげん	尚更ゴールド使い道ない
19:40	あすか 11/19 8/11	あと黒は入れない
19:40	あすか 11/19 8/11	クローゼットでゴールドいれたい
19:40	あすか 11/19 8/11	クローゼットの中
19:40	ゆうげん	これやったらドアノブ絶対白がいい
19:40	あすか 11/19 8/11	ドアノブは全部白にするよ？
19:42	あすか 11/19 8/11	[写真]
19:42	あすか 11/19 8/11	WCL
19:42	あすか 11/19 8/11	こんな雰囲気の鏡置きたい
19:42	あすか 11/19 8/11	もっと小さくていい
19:44	ゆうげん	WCLくらいで
19:44	ゆうげん	暗い
19:45	あすか 11/19 8/11	"電気あるからいいのよ
写真撮るならライト持ってくる
それか窓あった方がいい？"
19:45	あすか 11/19 8/11	[写真]
19:46	あすか 11/19 8/11	"こういう感じのも置いて
一軍のカバン掛けときたいなぁとか"
19:47	あすか 11/19 8/11	色々考えててんけど
19:47	あすか 11/19 8/11	"玄関絵とかも飾るって言ってたし寝室とか子ども部屋1階やから
玄関ラック？は要らんかなぁと"
19:47	ゆうげん	"鏡は絶対でかい方がいい

一軍カバンは皮伸びさせたくないから棚おきがいい"
19:48	あすか 11/19 8/11	"スーパーとか行く時の、
今ユニクロのやつとかのこと"
19:48	あすか 11/19 8/11	鏡はまぁサイズはそんなにこだわりない
19:48	ゆうげん	今のユニクロのは使わんくなるから要らん
19:48	あすか 11/19 8/11	"スーパー行く時とかの
毎日使うのは安いのがいい"
20:17	あすか 11/19 8/11	電話繋ぐっていつからー？
20:17	あすか 11/19 8/11	今からお風呂はいるよ
20:17	ゆうげん	お風呂上がって
20:18	ゆうげん	落ち着いたら
20:18	あすか 11/19 8/11	おけい
20:18	あすか 11/19 8/11	お風呂つれてってくる
20:19	ゆうげん	いってら
20:19	あすか 11/19 8/11	ゆーくん今日出社やった？
20:21	ゆうげん	出社やで
20:22	ゆうげん	明日テレワーク
20:22	ゆうげん	今家ついた
21:34	あすか 11/19 8/11	お疲れ様
21:34	あすか 11/19 8/11	上あがってきた
22:01	ゆうげん	☎ 通話時間 24:10
22:36	あすか 11/19 8/11	[写真]
22:41	あすか 11/19 8/11	[写真]
22:48	あすか 11/19 8/11	[写真]
22:50	あすか 11/19 8/11	[写真]
22:55	ゆうげん	[写真]
22:59	ゆうげん	[アルバム] (null)
23:00	あすか 11/19 8/11	[写真]
23:00	あすか 11/19 8/11	[写真]
23:05	ゆうげん	[写真]
23:32	あすか 11/19 8/11	[写真]
23:34	あすか 11/19 8/11	[写真]
23:34	あすか 11/19 8/11	[写真]
23:39	あすか 11/19 8/11	[写真]
23:39	あすか 11/19 8/11	[写真]
23:39	あすか 11/19 8/11	[写真]
23:39	あすか 11/19 8/11	[写真]
23:39	あすか 11/19 8/11	[写真]
23:42	あすか 11/19 8/11	[写真]
23:44	あすか 11/19 8/11	[写真]
23:55	あすか 11/19 8/11	[写真]

2022/05/27(金)
00:16	あすか 11/19 8/11	[写真]
00:20	あすか 11/19 8/11	[写真]
