ゆうげん	関電なんやと
20:54	ゆうげん	それに
20:54	あすか 11/19 8/11	出しっぱにしていいやと思える場所はなかなかなぇ
20:55	ゆうげん	"耐水なら屋上があるけど

変に高いと落ちかねんから"
20:55	ゆうげん	悩みどころ
20:55	あすか 11/19 8/11	屋上はなぁ、、そうやなぁ
20:57	ゆうげん	あとは次帰った時様に
20:57	ゆうげん	に
20:57	ゆうげん	ウォークインクローゼットは済ませたい
20:58	ゆうげん	あともっとインテリアというか雑貨というか
20:58	ゆうげん	欲しい
21:00	ゆうげん	あと玄関やっぱり絵を飾りたい
21:02	あすか 11/19 8/11	そうなんよなぁ
21:03	あすか 11/19 8/11	インテリア雑貨ほしい
21:03	あすか 11/19 8/11	玄関どんな感じにしようかぁ
21:03	ゆうげん	玄関は玄関マット欲しい
21:03	ゆうげん	最終は張り替えたいけど
21:03	ゆうげん	一旦マット引いて無理やり統一感出したい
21:03	ゆうげん	んで階段下をもっと綺麗にしたい
21:04	ゆうげん	例えば棚を置いてベビーカー諸々隠したり
21:05	ゆうげん	あとはドライフラワーとか買いに行きたい
21:05	ゆうげん	流木とか枝とかも欲しい
21:08	あすか 11/19 8/11	そやなぁ、色々考えたいな、インテリア
21:08	あすか 11/19 8/11	玄関もやしほかもやし
21:08	あすか 11/19 8/11	一旦仕上げにかかりたいよねー
21:09	ゆうげん	あすかのりそうを
21:09	ゆうげん	各部屋ごとに教えて欲しい

2023/01/23(月)
06:01	ゆうげん	東京ついたよ
08:25	あすか 11/19 8/11	また考えれる時考えてみる
08:26	あすか 11/19 8/11	気をつけて
08:26	ゆうげん	いちおう
08:26	ゆうげん	体調は大丈夫
08:27	あすか 11/19 8/11	なんかあったらすぐ帰らせてもらうんやで〜、周りに移したらあかんというより、帰るのしんどなるから
08:27	あすか 11/19 8/11	薬も無くさんよーに
08:28	ゆうげん	ういうい
10:21	ゆうげん	[写真]
10:22	ゆうげん	こんなテーブルどうよ
10:22	ゆうげん	[写真]
10:22	ゆうげん	それか
10:24	ゆうげん	[写真]
10:24	ゆうげん	[写真]
10:24	ゆうげん	かなでものでも
10:25	あすか 11/19 8/11	全部なんか違う
10:26	あすか 11/19 8/11	これに関しては今と変わらんもしくは今よりもの落とすわww
10:26	ゆうげん	ローテーブル嫌やねんなぁ
10:28	ゆうげん	[写真]
10:28	ゆうげん	[写真]
10:28	ゆうげん	[写真]
10:28	ゆうげん	この辺やろ
10:31	ゆうげん	https://kanademono.design/collections/low-table
10:31	ゆうげん	なんかいっぱいある
10:32	ゆうげん	[写真]
10:32	ゆうげん	かわいい
10:34	あすか 11/19 8/11	かわいい
10:34	あすか 11/19 8/11	[写真]
10:34	あすか 11/19 8/11	[写真]
10:34	あすか 11/19 8/11	[写真]
10:34	あすか 11/19 8/11	[写真]
10:34	あすか 11/19 8/11	ニトリ
10:35	ゆうげん	子供部屋2はこういうラタン調にしたらいいやん
10:35	ゆうげん	[写真]
10:35	ゆうげん	これいくら
10:40	あすか 11/19 8/11	でもあのテーブルはあんまり好みでは無い、小さい椅子かわいい
10:42	あすか 11/19 8/11	[写真]
10:42	あすか 11/19 8/11	[写真]
10:42	あすか 11/19 8/11	[写真]
10:42	あすか 11/19 8/11	[写真]
10:42	あすか 11/19 8/11	[写真]
10:42	あすか 11/19 8/11	これかわいい
10:42	ゆうげん	思ったより高かった
10:43	ゆうげん	物撮りに使えるようなテーブルがいい
10:43	ゆうげん	[写真]
10:43	ゆうげん	これ系の
10:43	あすか 11/19 8/11	[写真]
10:43	あすか 11/19 8/11	[写真]
10:44	あすか 11/19 8/11	"これいいと思うけどなぁ

今より面積は広くなるし
別にダサくもないし"
10:44	あすか 11/19 8/11	"これは面積狭いけど
別用途でかわいいな"
10:46	あすか 11/19 8/11	[写真]
10:46	あすか 11/19 8/11	[写真]
10:46	あすか 11/19 8/11	[写真]
10:46	あすか 11/19 8/11	[写真]
10:46	あすか 11/19 8/11	[写真]
10:46	あすか 11/19 8/11	[写真]
10:46	あすか 11/19 8/11	[写真]
10:46	あすか 11/19 8/11	[写真]
10:47	あすか 11/19 8/11	昨日ニトリみてたら寝落ち
10:47	あすか 11/19 8/11	[写真]
10:47	あすか 11/19 8/11	[写真]
10:48	あすか 11/19 8/11	"ﾊﾟﾝﾄﾘｰ白のケース増やすんじゃなくてこれにしてもいいんかなぁとか思ったり。。
結構ﾊﾟﾝﾄﾘｰの中見えるからさ"
11:15	ゆうげん	"とりあえず白でいいと思う
それか1段だけラタン調か"
11:15	ゆうげん	ラグ安いな
11:15	ゆうげん	ウエッティケース評価低いな
11:16	ゆうげん	円形ラグもっと拡大して見たい
11:27	あすか 11/19 8/11	なんやろ、白ばっかりどーみえるんやろー、今は、見え見えのﾊﾟﾝﾄﾘｰが散らかってるように見えて嫌
11:27	あすか 11/19 8/11	私周りの人がどうとかみーひんからなー、しらねぇ
11:28	あすか 11/19 8/11	無地がいいからこれよさげー
11:36	あすか 11/19 8/11	これしかない
11:36	あすか 11/19 8/11	[写真]
11:36	あすか 11/19 8/11	[写真]
11:37	ゆうげん	こんな模様でいいの?
14:24	あすか 11/19 8/11	可愛いとは思ってるけど、この部屋はこうしたいみたいなの、じっくり考えたい
14:24	あすか 11/19 8/11	それだけに集中して考えれる時間にまた色々みる
16:13	あすか 11/19 8/11	階段3箇所ってどこやっけ
16:13	ゆうげん	"踊り場2個した
踊り場上"
16:14	ゆうげん	頑張って見つけて

2023/01/24(火)
08:58	あすか 11/19 8/11	階段は昨日じゃなかった
10:20	ゆうげん	おれ瑞江でさ
10:21	ゆうげん	大きめの筒に入った積み木って
10:21	ゆうげん	買ってなかったっけ
10:21	ゆうげん	あれってどこいった❓
13:35	あすか 11/19 8/11	あんまり遊んでなかったから実家からこっち引っ越す時に捨てたかも
13:36	ゆうげん	あれま
14:08	ゆうげん	もったいない
14:48	あすか 11/19 8/11	遊んでないおもちゃは捨てよって言うじゃんいつも
15:33	ゆうげん	"いや
あの時点ではそうでも今はわからんやん"
15:33	ゆうげん	ましてや積み木って汎用性があるものでスペースもそんなに取らないのに
15:33	ゆうげん	結構高かったし
15:59	あすか 11/19 8/11	ケースもぶっ壊れてたしいつでも出せる場所にあったけど全然遊ばんかったからなぁ、、
16:00	あすか 11/19 8/11	置いとけばよかったね、ごめん
16:03	あすか 11/19 8/11	今日風強すぎてまた屋上ﾄﾞﾝﾄﾞｺゆってる
16:03	ゆうげん	どうなってる?
16:04	ゆうげん	"一応アイボリーのは全部繋げたから飛ばないと思う
緑のが飛んだか"
17:09	あすか 11/19 8/11	"

https://item.rakuten.co.jp/amormode/highchairwood/


https://item.rakuten.co.jp/tansu/65100001a/


https://item.rakuten.co.jp/kyarahouse/7088024/






https://item.rakuten.co.jp/emoorbaby/ko-ta-0013/?iasid=07rpp_10097___e0-ld7b8kvu-7y-8e5f643e-c260-440d-a1ae-09ec991df3ab


https://item.rakuten.co.jp/koti/ilt-3437/

"
17:11	あすか 11/19 8/11	[写真]
17:11	あすか 11/19 8/11	思ったより散らかってなかったけどめっちゃﾄﾞﾝﾄﾞｺゆってる
17:13	ゆうげん	結構飛ばされてるな
17:14	ゆうげん	ホースだけ回収してもらっていい?
17:26	あすか 11/19 8/11	そーなんか
17:26	あすか 11/19 8/11	家入れとくてこと？
17:26	あすか 11/19 8/11	[写真]
17:26	あすか 11/19 8/11	[写真]
17:26	あすか 11/19 8/11	"ありがとう〜💓💓
すぅちゃん＆なーくんには是非team入ってほしいから見逃されたら困ると思って催促した😂🫶🏻
こちらこそ、末永くお願いします♥️
teamPETITMIG専用のクーポンコードは【petitmig-t20】やけん来月からはこちらを使ってね〜☝🏻💕"
17:26	あすか 11/19 8/11	クーポンコードかわるよ〜
17:27	ゆうげん	うい
17:27	ゆうげん	うん
17:28	あすか 11/19 8/11	おけ
17:28	あすか 11/19 8/11	[動画]
17:28	あすか 11/19 8/11	[写真]
17:28	あすか 11/19 8/11	段ボールで太鼓作ってやった
17:29	ゆうげん	いいやん
17:30	ゆうげん	ばち?
18:29	ゆうげん	外えぐいくらい寒いわ
18:57	あすか 11/19 8/11	バチは割り箸にマスキングテープまいた
18:58	あすか 11/19 8/11	屋上出た時びびった
18:58	あすか 11/19 8/11	寒さ対策ちゃんとしてね
19:05	ゆうげん	気をつけるね
21:13	ゆうげん	雪降ってる?
21:14	ゆうげん	なんか積雪15cmとか出てる
21:14	ゆうげん	大阪
21:14	ゆうげん	俺今週帰れるかな
21:14	ゆうげん	路面ヤバそう

2023/01/25(水)
07:29	ゆうげん	あと
07:29	ゆうげん	お金まじで今週中に振り込んでね
08:41	あすか 11/19 8/11	昨日夜降ってちょっとだけ積もってたっぽい、地元の人たちのインスタみてたら
08:41	あすか 11/19 8/11	うちはここに雪が
08:41	あすか 11/19 8/11	[写真]
08:42	あすか 11/19 8/11	わかってるよ
10:14	あすか 11/19 8/11	[写真]
10:14	あすか 11/19 8/11	[写真]
10:14	あすか 11/19 8/11	[写真]
10:14	あすか 11/19 8/11	[写真]
10:14	あすか 11/19 8/11	[動画]
10:14	あすか 11/19 8/11	[写真]
10:14	あすか 11/19 8/11	ﾊﾞﾙｺﾆｰと屋上に雪残ってる
10:48	ゆうげん	おー
10:48	ゆうげん	なぎ初雪やん
12:42	あすか 11/19 8/11	初めて雪見た時のひとことめ
12:43	あすか 11/19 8/11	わぁ  あいしゅ〜
12:43	あすか 11/19 8/11	そのまま掴んだ雪口入れよとしてた
12:43	あすか 11/19 8/11	さすがやわ
12:44	ゆうげん	間違ってはないからな
12:44	ゆうげん	アイス
12:44	あすか 11/19 8/11	そやけどw食い意地w
12:44	ゆうげん	なんでこんな食べるの好きなんやろね
12:45	ゆうげん	いいことやけど
12:46	あすか 11/19 8/11	なんでも食べてくれたらいいけど最近うるせぇからなぁ
12:46	ゆうげん	こだわりつよこ
12:49	あすか 11/19 8/11	食に興味あるのはいいことやけど、色々食べて欲しいね
16:21	ゆうげん	でも食べてる方やと思う
16:21	ゆうげん	素材より調理方法に文句言う派
16:39	あすか 11/19 8/11	うーん、、
16:39	あすか 11/19 8/11	うざいw
16:47	ゆうげん	味濃いのがいいんかな
17:59	あすか 11/19 8/11	なんだろね〜
17:59	あすか 11/19 8/11	根気強く色んな料理出すしか
17:59	あすか 11/19 8/11	[写真]
18:03	ゆうげん	たべとる
18:51	あすか 11/19 8/11	[写真]
18:51	あすか 11/19 8/11	[動画]
18:51	あすか 11/19 8/11	この食べ方ほんまおもろい
19:18	ゆうげん	まだ痛いんやろうな
19:19	ゆうげん	こんだけトマト食ってたら速攻治りそうやけどな
19:26	ゆうげん	[写真]
19:27	ゆうげん	これ
19:27	ゆうげん	父に似てる
19:28	あすか 11/19 8/11	この顔は似てるな
19:29	あすか 11/19 8/11	あとニット帽深く被ってる感じが
19:30	ゆうげん	"ナギは色々引いてるな
血を"
20:24	あすか 11/19 8/11	半分半分くらい入ってそ
20:35	ゆうげん	だから余計愛しい

2023/01/26(木)
05:33	ゆうげん	[写真]
05:33	ゆうげん	とりあえず給料から5.5万送ったよ
08:39	あすか 11/19 8/11	まだ反映されてなかった
08:39	あすか 11/19 8/11	ありがとうございます
08:56	ゆうげん	[写真]
08:56	ゆうげん	税金あたおか
09:08	あすか 11/19 8/11	保険と年金がどうしてもねぇ
09:09	ゆうげん	後ちょっとで1年目の手取りやん
09:09	ゆうげん	そして補助金ブーストすごい
09:09	ゆうげん	別居家族住宅帰省旅費で1超えてる
09:12	あすか 11/19 8/11	家族持つとねー、ほんま1年目と変わらん手取りなるよねー
12:40	ゆうげん	早く今月の請求額知りたい
12:54	ゆうげん	あ
12:54	ゆうげん	なぎ預けるのいつやっけ
14:22	あすか 11/19 8/11	今月だけの請求額じゃ普段わからんよね
14:22	ゆうげん	まあ目安ね
14:23	あすか 11/19 8/11	んー、あーりんち都合悪かったから預けれないかも
14:23	あすか 11/19 8/11	土曜日やったら母も仕事やから亮介1人で見れんやろしー、、
14:23	あすか 11/19 8/11	日曜日はあれやもんね、話聞きに来るもんね、アイ工務店
14:25	ゆうげん	あー
14:29	あすか 11/19 8/11	明日買い物行けるとこ行って、土曜日順番に片付けるか､､､
14:30	ゆうげん	うーむ
14:31	あすか 11/19 8/11	それしかないよねぇ
19:18	ゆうげん	きょう
19:18	ゆうげん	心理を見た
19:18	ゆうげん	仕事わかったわ
19:19	ゆうげん	真理
19:19	ゆうげん	仕事できるってなんなのかがわかった
19:19	ゆうげん	そう思った瞬間全然難しくなくなった
19:19	ゆうげん	また語らせて
20:02	あすか 11/19 8/11	なんだそれ
20:02	ゆうげん	視点変わるだけで心がかわった
20:03	ゆうげん	俺やっぱ仕事できる人間やったわ
20:03	あすか 11/19 8/11	笑
20:05	ゆうげん	また語らせて
22:15	あすか 11/19 8/11	[スタンプ]
22:15	ゆうげん	なんじゃい

2023/01/27(金)
08:10	ゆうげん	雪でおそなった
08:10	ゆうげん	いま電車のった
08:22	あすか 11/19 8/11	無事ついてよかったよ
08:22	あすか 11/19 8/11	家まで気をつけて
08:22	ゆうげん	雨がなぁ
08:37	ゆうげん	かさない
08:38	ゆうげん	びちゃびちゃや
08:42	ゆうげん	こういう時来て欲しい
08:45	ゆうげん	ハンガー出しといて
08:45	ゆうげん	みっつ
08:46	ゆうげん	もうつくからいいや
18:49	ゆうげん	会社から電話来て
18:49	ゆうげん	コンビニで電話してる

2023/01/29(日)
17:41	ゆうげん	☎ 通話時間 0:10
21:02	あすか 11/19 8/11	あの後お風呂入って20:40くらいになぎ寝た
21:02	あすか 11/19 8/11	気をつけて帰ってねー

2023/01/30(月)
08:58	あすか 11/19 8/11	会社ついてる？
08:58	ゆうげん	おはよう
08:58	ゆうげん	ついてるで
08:58	ゆうげん	全然通知来てなかった
08:59	あすか 11/19 8/11	おはよう
08:59	あすか 11/19 8/11	そーなんか
09:03	ゆうげん	早起きやった?
09:03	ゆうげん	なぎ
10:34	あすか 11/19 8/11	7:30くらいに起きたかな
10:44	ゆうげん	結構寝たね
10:44	ゆうげん	"あ
ナギのマイナンバー"
10:44	ゆうげん	お願いします
10:44	ゆうげん	あとアスカの免許証のナンバーちょうだい
10:49	あすか 11/19 8/11	結局いくの？
11:19	ゆうげん	"なんか
今更断り辛い

実際妊娠したら言えるけど"
11:29	あすか 11/19 8/11	"うーん…
次の子授かれるまでは
旅行的なのはなーて思っちゃう

ましてやもえみちゃんちやろ？そういうタイミングも取りにくいし、、

そしてマイナンバーも間に合うかわからんから私からもえみちゃんに話そうかな"
11:30	あすか 11/19 8/11	マイナンバー作り忘れてて今から1ヶ月ほどかかっちゃって間に合う保証ないからって
11:31	ゆうげん	"うーん
言ってもらっていい?"
11:31	あすか 11/19 8/11	うん、話してみる
11:34	あすか 11/19 8/11	あと、明日から2/3or4までもえみちゃん大阪おるらしくてウチきてくれるんやけど、(もえみちゃんとお義母さんの都合でいつの何時かはわからん)もし都合つけれるならゆーくん3日大阪おれるようにしてもえみちゃんらにも3日やとありがたいって伝えてみたら会えるかも、わからんけど
11:39	ゆうげん	頼んでみて
11:39	ゆうげん	ただ金曜は厳しいなぁ
13:25	あすか 11/19 8/11	[写真]
13:25	あすか 11/19 8/11	このフタ捨てた？
13:28	ゆうげん	ナギのキッチンパーツの受け皿にしてる
13:29	ゆうげん	屋上の扉の前
14:52	あすか 11/19 8/11	それならおけー
14:53	あすか 11/19 8/11	[写真]
14:53	あすか 11/19 8/11	[写真]
14:53	あすか 11/19 8/11	[写真]
15:12	ゆうげん	かわいいね
15:12	ゆうげん	男の子なったね
16:09	あすか 11/19 8/11	[動画]
16:09	あすか 11/19 8/11	[写真]
16:10	あすか 11/19 8/11	今日も ポケモン！て言ってこれ乗ってあーりんち向かってた
16:11	ゆうげん	似合うね
16:11	ゆうげん	上手くなった?
18:38	ゆうげん	もえみに言ってくれてありがとう
18:44	ゆうげん	今日もお疲れ様
18:44	ゆうげん	今から帰るよ
19:39	ゆうげん	もう今日は
19:39	ゆうげん	眠過ぎて頭回らんかった
20:33	ゆうげん	[写真]
21:28	あすか 11/19 8/11	お疲れ様
21:28	あすか 11/19 8/11	今から寝かせる
21:28	あすか 11/19 8/11	お、これはw
21:29	ゆうげん	インフルエンスされたわ
21:29	ゆうげん	無理せず寝てくだせぇ
21:29	ゆうげん	てかラーメンいっぱいあった
21:29	ゆうげん	今

2023/01/31(火)
09:25	あすか 11/19 8/11	おはよう
09:54	ゆうげん	おはよう
09:54	ゆうげん	ラーメン食って速攻寝てもうた
11:15	あすか 11/19 8/11	火曜市(スーパー)行ってきます
11:20	ゆうげん	火曜市?
11:20	ゆうげん	なんか安くなってるんか
13:24	あすか 11/19 8/11	いつものスーパー
13:24	あすか 11/19 8/11	お買い得のものが多い日
13:24	あすか 11/19 8/11	毎週末火曜日はスーパー
14:00	ゆうげん	何買ったん??
14:48	あすか 11/19 8/11	別にいつもと変わらんものw
15:36	ゆうげん	なんじゃい
16:40	ゆうげん	なぎちゃんの
16:40	ゆうげん	レザーライクな靴って
16:41	ゆうげん	どんなんが欲しいの?
16:41	ゆうげん	スニーカーじゃなくて
16:50	あすか 11/19 8/11	[写真]
16:50	あすか 11/19 8/11	例えばやけどこんなん〜
17:55	ゆうげん	可愛いね
17:55	ゆうげん	これの何色?
18:00	あすか 11/19 8/11	ブラウン！
18:00	あすか 11/19 8/11	[写真]
18:00	あすか 11/19 8/11	昨日の夜頑張って可燃ごみ出した！すっきり
18:09	ゆうげん	ありがとう
18:10	ゆうげん	スッキリやね
18:11	ゆうげん	上の靴のサイト見つかれへん
18:14	ゆうげん	"靴買っていいで
安いし"
18:20	ゆうげん	夏用のはあるで
18:21	ゆうげん	[写真]
18:23	ゆうげん	レザー風の柔らかい素材
18:23	ゆうげん	防水
19:57	あすか 11/19 8/11	これ、私がambassadorしてるとこ！15パーセントOFFクーポンあるー
19:58	あすか 11/19 8/11	かわいい
20:05	ゆうげん	よい
20:06	ゆうげん	サンダルは今週持ってくね
20:10	あすか 11/19 8/11	"？

買っていいのー？"
20:10	あすか 11/19 8/11	まだまだ使えんからいつでもおけ！
20:11	あすか 11/19 8/11	今日はなぎお昼寝なしやったから今寝た
20:14	ゆうげん	早いね
