	あすか 11/19 8/11	今日は夜起きれるようにします
21:02	あすか 11/19 8/11	"凍ったペットボトルの飲み物
2〜３本は持ち歩かな死ぬわ"
21:03	あすか 11/19 8/11	水分補給&体冷やす用
21:03	あすか 11/19 8/11	なんか最近1〜2日会ってないだけでめっちゃ会ってない感覚なる
21:12	ゆうげん	というか
21:12	ゆうげん	最近家族欲がすごい
21:13	ゆうげん	一人でいるのなんか
21:13	ゆうげん	無駄なんよな
21:13	ゆうげん	家族でいたい
21:13	ゆうげん	充実感が違う
23:58	あすか 11/19 8/11	そだよね
23:58	あすか 11/19 8/11	寝ちゃってた､､､

2022/06/24(金)
01:11	ゆうげん	☎ 通話に応答がありませんでした
01:13	ゆうげん	めっちゃ掃除してて
01:14	ゆうげん	返事気づかんかった
05:33	あすか 11/19 8/11	また寝ちゃってた、、
08:35	ゆうげん	おはよぉ
08:35	ゆうげん	ボーナスおくったよー
08:35	ゆうげん	40
08:35	ゆうげん	来月また40送るね
09:02	あすか 11/19 8/11	おはよ
09:02	あすか 11/19 8/11	ありがとうございます！
09:07	ゆうげん	今いくらや
09:16	あすか 11/19 8/11	"130くらい！
今日、来月うちに入れる分とか来月用の現金とかまとめておろしにいこうと思ってる"
09:16	ゆうげん	なら160
09:16	ゆうげん	くらいに収まるか
09:17	あすか 11/19 8/11	やと思うーー
09:17	ゆうげん	遠いな
09:17	ゆうげん	200
09:20	あすか 11/19 8/11	遠いですね
09:20	ゆうげん	冬のボーナスは
09:21	ゆうげん	"家具とか
マイホームで消えそう"
09:21	あすか 11/19 8/11	"150前後でおったり、
マイホームのことで
とんでったりで一回100切ってたから"
09:21	ゆうげん	はんぶんは
09:21	あすか 11/19 8/11	確かに
09:21	ゆうげん	車も欲しくなるよな
09:21	ゆうげん	俺が大阪戻ったら
09:21	あすか 11/19 8/11	車なー、ほしくなるよね
09:21	ゆうげん	考えよ
09:22	あすか 11/19 8/11	いつ戻れるやろね
09:22	ゆうげん	しばらくはタイムズシェアかー
09:24	あすか 11/19 8/11	たいむず
09:24	あすか 11/19 8/11	二人目とかも絶対ゆー君大阪戻ってきてた方がいいからまじ大阪戻してーーーーー
09:24	あすか 11/19 8/11	て感じ
09:25	あすか 11/19 8/11	[写真]
09:25	あすか 11/19 8/11	[写真]
09:25	あすか 11/19 8/11	かわいぃぃぃ
09:25	あすか 11/19 8/11	ゼンちゃんの弟
09:26	ゆうげん	名前なんやっけ
09:26	あすか 11/19 8/11	名前まだ聞いてないよ
09:26	ゆうげん	まだか
09:26	ゆうげん	ゴンくん
09:26	あすか 11/19 8/11	ゼンちゃんとまた違う顔してる気するね
09:26	あすか 11/19 8/11	新生児かわいすぎる🥹
09:27	ゆうげん	ただし我が子が1番
09:27	あすか 11/19 8/11	旦那さんに似てる感じするね
09:27	あすか 11/19 8/11	それとこれとは別の話w
09:34	ゆうげん	あつい
09:46	あすか 11/19 8/11	うんあつい
09:51	あすか 11/19 8/11	今日テレワーク？
09:52	ゆうげん	テレワークやけど
09:52	ゆうげん	午後なんか筆記テスト受けに
09:52	ゆうげん	銀座の本社行く
09:52	ゆうげん	クソ
09:53	あすか 11/19 8/11	筆記テスト？
09:53	あすか 11/19 8/11	何かの試験？
09:53	ゆうげん	適正検査っていう
09:53	ゆうげん	謎のやつ
09:53	あすか 11/19 8/11	そうなんか
09:53	あすか 11/19 8/11	飲み物ちゃんと持っときや
09:53	あすか 11/19 8/11	ほんま暑すぎ
09:54	ゆうげん	雨もあるからな
09:54	ゆうげん	ジメジメがヤバス
09:57	あすか 11/19 8/11	雨ふってるんか
09:57	あすか 11/19 8/11	ほんまにやばい
09:58	あすか 11/19 8/11	家の中も暑いのに外も暑いから昨日軽く熱中症みたいになったわ
09:58	あすか 11/19 8/11	ほんまあつい
09:58	ゆうげん	冷房つけよ
09:59	あすか 11/19 8/11	思うようにはつけれん
09:59	ゆうげん	さすがに体調壊したら元も子もないから
09:59	ゆうげん	そこはつけよ
11:37	ゆうげん	iPhoneショルダーケース
11:37	ゆうげん	送るね
11:56	あすか 11/19 8/11	でもなー、昨日も熱中症気をつけやーみたいな話題に身内のLINEでなったけどお金が厳しいからエアコンケチらな…て感じやったからさー母
11:57	あすか 11/19 8/11	さすがに昼と夜と梛が寝る時は寝付かれへんのとかも可哀想やしめっちゃ汗かくからつけてるけど…
11:57	あすか 11/19 8/11	ありがとう
12:46	あすか 11/19 8/11	午後から試験受けに行くってことは今外かな？
12:49	ゆうげん	今くそ暑い中あるいてる
12:54	あすか 11/19 8/11	コロナもやけど熱中症も気をつけてよ
12:54	あすか 11/19 8/11	今日お仕事終わって落ち着いてからでもいいから時間ある時教えて
12:55	あすか 11/19 8/11	父の会社のバッグの発売日やから買わないと
13:08	ゆうげん	気をつけます
13:08	ゆうげん	ほんまや
13:08	ゆうげん	帰る??
13:11	ゆうげん	買え
13:12	あすか 11/19 8/11	私はもう買ったよ
13:12	ゆうげん	ん
13:12	ゆうげん	俺が買わないと行けないのか?
13:12	あすか 11/19 8/11	"ゼンちゃんの弟
羽玖(わく)くんやって〜
かわいいね"
13:12	ゆうげん	俺の名義で買っといてや
13:12	あすか 11/19 8/11	うん、ゆー君もお願いしたい
13:12	ゆうげん	(((o(*ﾟ▽ﾟ*)o)))
13:12	あすか 11/19 8/11	いや、なんかログインして買うからゆー君の端末？からお願いしてもいい？
13:13	あすか 11/19 8/11	なに(笑)
13:13	ゆうげん	仕事終わりしかできやんで
13:13	ゆうげん	わくわく
13:14	あすか 11/19 8/11	"うん、それで大丈夫やって！
全色セットが余ってたらそれで、なかったら2色セット購入してってさ"
13:14	あすか 11/19 8/11	"ゼンちゃん、わく君
かわいい🧒🏼👶🏼"
13:14	ゆうげん	サイトもっかいちょうだい
13:15	あすか 11/19 8/11	"このたびマクアケというサイトで
オリジナルデザインの３wayミニトートバッグの販売を開始することになりました！
こちらファスナーで容量調整出来るので一つのバッグで
・ミニトート
　※最低限の荷物でお出かけ
・ロングトート
　※容量増加してワンショルダー
・リュック
　※容量増加して手ぶらになれる
という使い分けが可能です♪
もし、興味があればご購入頂けると嬉しいです(^^)

お手数ですがマクアケというサイトの登録をして頂き、
6/24(金)の販売日当日にご購入頂けると助かります。
※初日の売れ行きがいい方が売れるとの統計があるらしいので…

男女兼用のユニセックスデザインなので
どなたでもお使い頂けます。
もし、可能であれば拡散して頂けると助かります。

ご購入手順は下記になりますので
販売開始の6/24までに登録して頂けるとスムーズです。

【マクアケアプリ】
iPhone：https://apps.apple.com/app/apple-store/id1274816320

Android：https://play.google.com/store/apps/details?id=com.ca_crowdfunding.makuake_android

①アプリをダウンロードして頂き、登録をお願いします。

②アプリ内で『ワクワクがとまらない』と検索頂き、
商品ページから色などを選んで購入頂くだけです。"
13:15	ゆうげん	ありがとう
13:16	あすか 11/19 8/11	"支払い金額確定したら
それのスクショちょーだい"
13:16	あすか 11/19 8/11	父に贈るね
13:16	あすか 11/19 8/11	"あ、ゆー君に言ったっけ？
父が、マンスリーマンションの契約会社の名前で全然かすよって言ってた"
13:17	ゆうげん	いやまだ聞いてない
13:18	ゆうげん	あとは場所と金額
13:19	あすか 11/19 8/11	言ってなかったね
13:19	あすか 11/19 8/11	会社の名前かしてくれるってさ
13:19	あすか 11/19 8/11	うん、そやね
13:56	ゆうげん	試験頑張る
13:56	ゆうげん	なんか勉強してきた人とかおるらしい
13:57	ゆうげん	なんのテストかもよくわからずウケる
15:46	あすか 11/19 8/11	え、勉強してきた人おるようなテストなの？パパ大丈夫？笑
15:56	ゆうげん	脳トレ見たいやった
15:56	あすか 11/19 8/11	脳トレみたいな感じか〜
15:57	あすか 11/19 8/11	仕事の何かに影響するの？
15:58	ゆうげん	さぁ
15:58	ゆうげん	久しぶりに頭使ったかも
16:05	ゆうげん	今度一緒に脳トレしよ
16:05	ゆうげん	若さ勝負
16:05	あすか 11/19 8/11	脳トレってさ、ゲームとかでもめっちゃムズいw
16:05	ゆうげん	今日のはやばかった
16:05	あすか 11/19 8/11	脳は私の方が老けてそう
16:06	あすか 11/19 8/11	でも脳トレって大事よなー、ほったらかしてたら老けていく一方
16:06	あすか 11/19 8/11	そんなやばかったのね
16:08	ゆうげん	"a、b、c、dさんがいます
aさんは2番目に歳をとっています
dさんよりbさんの方が年上です

ではこの4人の順番を並べる時に、次のうちどの条件が最も最短で並べることができるでしょうか"
16:08	ゆうげん	みたいなのが
16:08	ゆうげん	何十個も
16:11	あすか 11/19 8/11	死ぬ
16:11	あすか 11/19 8/11	思考停止しそう
16:12	ゆうげん	めっちゃ楽しかった
16:14	あすか 11/19 8/11	えー、楽しかったの？(笑)
16:14	ゆうげん	たまにはいいね
16:14	ゆうげん	脳が使ってないとこ使った感あって
16:14	ゆうげん	ほぐれた感じ
16:19	あすか 11/19 8/11	なるほどね
16:55	あすか 11/19 8/11	あ
16:55	あすか 11/19 8/11	もう鞄大丈夫やって
16:55	あすか 11/19 8/11	購入してないよな？まだ
17:52	ゆうげん	まだ仕事終わってなくて
17:56	あすか 11/19 8/11	もう購入しなくて大丈夫
17:58	ゆうげん	ごめん..
18:56	あすか 11/19 8/11	全然大丈夫よ
18:57	あすか 11/19 8/11	結構色んな人が協力してくれたみたいで早めに目標も達成したみたい
18:58	ゆうげん	すんません
19:33	ゆうげん	仕事終わったので
19:33	ゆうげん	シャワー浴びる
19:33	ゆうげん	びちゃびちゃ
19:35	あすか 11/19 8/11	お疲れ様です
19:35	あすか 11/19 8/11	今部屋エアコンつけてないの？
19:39	ゆうげん	つけてるけど
19:39	ゆうげん	脇とかやばい
19:41	あすか 11/19 8/11	つけてるけど汗かいてるんか
19:41	あすか 11/19 8/11	暑いよなーもう
19:41	あすか 11/19 8/11	[写真]
19:58	ゆうげん	なぎかわい
19:58	ゆうげん	今日は何?
20:09	あすか 11/19 8/11	"今日は
トマトと星型ポテトと
白麻婆豆腐"
20:10	あすか 11/19 8/11	豆腐と人参は少し食べた
20:29	ゆうげん	おとうふね
20:29	ゆうげん	まーぼー??
20:29	ゆうげん	からい?
20:46	ゆうげん	あすかがいっぱい料理できる環境を整えたい
21:15	ゆうげん	[写真]
21:15	ゆうげん	[写真]
21:15	ゆうげん	[写真]
21:15	ゆうげん	[写真]
21:15	ゆうげん	今日帰るねんて
21:53	あすか 11/19 8/11	辛くないよ
21:54	あすか 11/19 8/11	料理も毎日の仕事となると疲れるけどね〜、でももっとのびのび料理したいね
21:54	あすか 11/19 8/11	お、帰るんやね〜
22:09	ゆうげん	のびのびできる
22:09	ゆうげん	場所探そ
22:20	あすか 11/19 8/11	ナギ魚も好きそうやから色々作ってあげたいな〜
22:21	あすか 11/19 8/11	焼き魚が1番食いつき良いけど(笑)
22:43	あすか 11/19 8/11	今日はパパが寝ちゃったかな

2022/06/25(土)
08:25	あすか 11/19 8/11	まだ寝てる？
08:25	あすか 11/19 8/11	てか寝てるだけ？
08:25	あすか 11/19 8/11	大丈夫？
08:25	ゆうげん	おはよう
08:25	ゆうげん	かなり寝てた
08:56	あすか 11/19 8/11	おはよ
09:39	ゆうげん	あついいい
09:41	あすか 11/19 8/11	エアコンつけてないの？
09:41	あすか 11/19 8/11	"うちは付けてないから
くそクソ暑い"
09:58	ゆうげん	タイマーかけてて
09:58	ゆうげん	朝起きたらやばい
09:58	ゆうげん	でももう梅雨明けらしいね
11:30	あすか 11/19 8/11	"タイマーかけてるの？
ずっとつけてたらいいのに"
11:30	あすか 11/19 8/11	関東も関西も？
11:31	ゆうげん	多分そうやと思う
11:34	あすか 11/19 8/11	そうなんか
11:34	あすか 11/19 8/11	まとわりつく暑さほんまイヤ
11:34	あすか 11/19 8/11	[写真]
11:34	あすか 11/19 8/11	ナギも暑くてこれ
11:35	あすか 11/19 8/11	[動画]
11:35	ゆうげん	かわい
11:36	ゆうげん	えぃえぃおーおーおぉし
11:36	あすか 11/19 8/11	てるてる坊主って言ってるつもり
11:44	ゆうげん	マジで可愛いな
11:44	ゆうげん	あいたい
12:36	あすか 11/19 8/11	[写真]
12:36	あすか 11/19 8/11	座るだけ座ってみた
12:37	あすか 11/19 8/11	組み立ててる時邪魔されすぎてイライラした😇
12:37	ゆうげん	ちん
12:38	あすか 11/19 8/11	何でそこ触れるだけやねん
12:42	ゆうげん	ぞうさんがおる
12:42	ゆうげん	毎回これセット大変やな
12:42	ゆうげん	組み立て結構大変ってみた
12:44	あすか 11/19 8/11	1回組み立てればトイレにつけるのは何も大変じゃないよ
12:44	ゆうげん	トイレ出来そう??
12:55	あすか 11/19 8/11	まだ座る習慣身につけるとこからやからとりあえず座れればおっけ
13:34	ゆうげん	おけおけ
13:34	ゆうげん	なぎちゃんトイレまでするようなったら
13:34	ゆうげん	成長に泣いちゃう
14:20	ゆうげん	牛乳買いに来たけど
14:20	ゆうげん	暑すぎる
15:03	あすか 11/19 8/11	はやいよねー
15:03	あすか 11/19 8/11	ほんま暑い
15:15	あすか 11/19 8/11	雷と雨やばい
15:26	ゆうげん	天気悪いの?
15:31	あすか 11/19 8/11	天気予報そんなことなかったんやけど
15:31	あすか 11/19 8/11	雨と雷すごい今
15:38	ゆうげん	ほえ
15:38	ゆうげん	東京は真逆
15:38	ゆうげん	すごい快晴
15:39	あすか 11/19 8/11	そなのね
15:40	ゆうげん	はやく
15:40	ゆうげん	秋
15:41	あすか 11/19 8/11	身近でも最近出産してる人3人くらい居ててインスタでも沢山見かけるし辛
15:42	あすか 11/19 8/11	本当は2学年差で授かりたかったのに色んなタイミング的に厳しいから我慢？してる状況やん、つらーーーー
15:43	ゆうげん	2人目かぁ
15:44	ゆうげん	めっちゃ欲しいけど
15:44	あすか 11/19 8/11	"子育てって大変すぎるし
ナギがいてまたもう1人って
これまた大変なんやろけど
子育てって何にも変えられへん
経験で尊すぎる"
15:44	ゆうげん	ヤバそう
15:44	あすか 11/19 8/11	色んなやばさ超えるよな
15:44	あすか 11/19 8/11	我が子の尊さって
15:45	あすか 11/19 8/11	母が、何人でも産みたいって言ってたのほんとにわかりすぎる
15:45	あすか 11/19 8/11	これって女性だけの感情なんかな？
15:45	あすか 11/19 8/11	"こんなに大変やのに、
また授かりたいって思うの"
15:47	あすか 11/19 8/11	欲しいタイミングで授かりたかったけど、それが難しいってなって、周りがまたベビー増えてきてて､､､こんなに「はぁ…」てなると思わんかった
15:47	あすか 11/19 8/11	🙃
15:47	あすか 11/19 8/11	話して消化したいのに
15:48	ゆうげん	まあ俺も
15:48	ゆうげん	そう思うよ
15:49	あすか 11/19 8/11	こういう話した時ゆー君があんまり乗り気じゃないというか、あんまり同じ温度で話きいてくれてないというか、気のせいかもやけどそんな風に感じて余計モヤモヤするw
15:49	ゆうげん	いや
15:49	ゆうげん	そんなことは無いよ
15:49	ゆうげん	もちろん
15:49	ゆうげん	女の子欲しい
15:49	あすか 11/19 8/11	"子育てってホンマにさ、
多分ゆーくんが思うよりも
大変やねん"
15:49	あすか 11/19 8/11	くそ大変
15:50	あすか 11/19 8/11	新生児がいれば、わんぱく息子が居ようが頻回の授乳で寝不足なるし
15:50	あすか 11/19 8/11	でもさ、まじそれ通り越して尊い
15:50	あすか 11/19 8/11	この経験、ほんまに尊い
15:50	あすか 11/19 8/11	女の子もほしいし、女の子じゃなくてもほしい
15:51	あすか 11/19 8/11	お義母さんとか4人すご！て思ったけど、いいなぁて思うな〜。
15:52	あすか 11/19 8/11	2人目、今の予定通り授かることできれば28歳か私､､､
15:52	あすか 11/19 8/11	(笑)
15:52	ゆうげん	今25やろ?
15:52	あすか 11/19 8/11	予定通り授かれるかもわからんから不安
15:53	あすか 11/19 8/11	今年26
15:53	ゆうげん	26妊娠27出産目指そう
15:53	あすか 11/19 8/11	それは4学年差にならんやつちゃうか
15:55	ゆうげん	ギリ調整
15:55	あすか 11/19 8/11	[写真]
15:55	あすか 11/19 8/11	これでナギと4学年差らしい
15:56	あすか 11/19 8/11	まだまだだね
15:56	ゆうげん	別に3歳差でもいいとおもうけどな
15:56	あすか 11/19 8/11	金銭的にやばくならん？
15:57	あすか 11/19 8/11	中学高校って入学卒業とかなんか色々かぶるで
15:57	ゆうげん	受験入学だけやろ?
15:58	あすか 11/19 8/11	結構大きそうやけどなぁ
15:58	あすか 11/19 8/11	それが重なることの金銭的負担
15:59	ゆうげん	あすかの年齢考えたら
15:59	ゆうげん	早い方がいい
15:59	ゆうげん	負担とか
16:02	あすか 11/19 8/11	うーん
16:02	あすか 11/19 8/11	難しいなぁ
16:03	あすか 11/19 8/11	どうしたらいいかわからん
16:03	あすか 11/19 8/11	[写真]
16:06	ゆうげん	とにかく
16:06	ゆうげん	家たったら
16:06	ゆうげん	ほしい
16:07	あすか 11/19 8/11	またつわり時期別居の可能性…やん🙃つわりあるかわからんけど
16:14	ゆうげん	うーん
16:14	ゆうげん	難しい
16:37	あすか 11/19 8/11	ね、難しいね
16:37	あすか 11/19 8/11	まだましかなぁ
16:37	あすか 11/19 8/11	帰ってくる頻度は高なる？
17:14	ゆうげん	帰ってくる?
17:16	あすか 11/19 8/11	家建っても東京やん？
17:16	ゆうげん	そりゃあ
17:16	あすか 11/19 8/11	大阪に帰ってくる頻度
17:16	ゆうげん	まいしゅうかえる
17:16	あすか 11/19 8/11	それならマシかなぁって
17:17	ゆうげん	"なぎママの服と
化粧品と
ムラシャンと
スマホケースと
あとなんか"
17:17	ゆうげん	おくった
17:17	ゆうげん	明日着く
17:17	あすか 11/19 8/11	ありがとう
17:18	あすか 11/19 8/11	今日こそ頑張ってお互い起きとけたらいいな､､､
17:18	ゆうげん	早めに通話しよう
17:18	あすか 11/19 8/11	うん
17:18	あすか 11/19 8/11	色々話さなきゃやもんな
17:19	ゆうげん	そそ
17:20	ゆうげん	なぎのふくも
17:20	ゆうげん	結構入ってる
17:21	あすか 11/19 8/11	楽しみにしてる
17:21	あすか 11/19 8/11	なんかさ、インスタとかで見る韓国服
17:21	あすか 11/19 8/11	めっちゃ可愛いよね
17:21	ゆうげん	ほぼ全部白アイボリー
17:21	ゆうげん	あすかの服は
17:21	あすか 11/19 8/11	そうなんやね、楽しみにしてる
17:21	ゆうげん	いいの揃ってるから
17:21	あすか 11/19 8/11	良いの？
17:21	ゆうげん	韓国服いらんかな
17:21	ゆうげん	あ
17:21	ゆうげん	倉庫にね
17:22	あすか 11/19 8/11	子ども服人気よ、韓国服
17:22	あすか 11/19 8/11	みんなかわいい服着てるなーいいなーて思いながらみてる
17:22	ゆうげん	あんま変わらん気がする
17:22	あすか 11/19 8/11	可愛いよ、韓国服
17:22	あすか 11/19 8/11	倉庫？私の服は倉庫に置いとく用？
17:31	ゆうげん	いや
17:31	ゆうげん	今回送るのは普段使い
17:32	ゆうげん	あすかので韓国の入らん
17:32	あすか 11/19 8/11	私じゃないよ、なぎの子ども服の話
17:36	ゆうげん	ナギのどんなやつ?
17:36	ゆうげん	てか女の子産まれたら
17:36	ゆうげん	服やばい
17:36	ゆうげん	どうしよう
17:36	ゆうげん	いっぱい欲しくなる
17:37	あすか 11/19 8/11	女の子とか
17:37	あすか 11/19 8/11	安いとこでも可愛いのめっちゃあるよな
17:37	あすか 11/19 8/11	"バースデーとか西松屋とかも
女の子の服めっちゃかわいい"
17:37	あすか 11/19 8/11	男の子もだいぶ豊富にはなったけどなぁ
18:19	ゆうげん	女の子やったら
18:19	ゆうげん	どんなん着せたい?
18:56	あすか 11/19 8/11	まじまじ見たことないからわからんけど、ナギの服よく見てるお店とか女の子もかわいい
18:56	あすか 11/19 8/11	[写真]
18:56	あすか 11/19 8/11	[写真]
18:56	あすか 11/19 8/11	あとはハンドメイドでも
18:56	あすか 11/19 8/11	[写真]
18:56	あすか 11/19 8/11	こんなかごバッグとか作ってみたいし
18:57	あすか 11/19 8/11	前に作ってた向日葵のピン留めもとかもつけたい
19:01	ゆうげん	いいね
19:01	ゆうげん	女の子
19:01	ゆうげん	授かれるかねぇ
19:15	あすか 11/19 8/11	どやろね
19:15	あすか 11/19 8/11	どっちでも授かれたら嬉しいけど
19:15	あすか 11/19 8/11	いつかは女の子ほし
19:55	あすか 11/19 8/11	☎ 通話時間 39:33
20:28	ゆうげん	☎ 通話時間 27:06
21:31	ゆうげん	[写真]
21:31	ゆうげん	旅行代金あとちょい
21:41	あすか 11/19 8/11	旅行代金あとちょい？
21:41	ゆうげん	ナギの
21:41	あすか 11/19 8/11	今上あがってきた
21:41	あすか 11/19 8/11	ナギの旅行代金？
21:41	ゆうげん	そう
21:41	ゆうげん	60000
22:03	あすか 11/19 8/11	ナギのご飯代やっけ？
22:03	あすか 11/19 8/11	なぎ寝た
